Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Mounting Type","Package / Case","Operating Temperature","Features","Size / Dimension","Height - Seated (Max)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4424-2-ND,04023J3R9BBSTR,AVX Corporation,CAP THIN FILM 3.9PF 25V 0402,5000,0,"0.19800","0","5000","Tape & Reel (TR)","Accu-P®","Active","3.9pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4424-1-ND,04023J3R9BBSTR,AVX Corporation,CAP THIN FILM 3.9PF 25V 0402,9085,0,"0.72000","0","1","Cut Tape (CT)","Accu-P®","Active","3.9pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4424-6-ND,04023J3R9BBSTR,AVX Corporation,CAP THIN FILM 3.9PF 25V 0402,9085,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","3.9pF","±0.1pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-10666-2-ND,04023J0R8ABSTR,AVX Corporation,CAP THIN FILM 0.8PF 25V 0402,5000,0,"0.21025","0","5000","Tape & Reel (TR)","Accu-P®","Active","0.8pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-10666-1-ND,04023J0R8ABSTR,AVX Corporation,CAP THIN FILM 0.8PF 25V 0402,8052,0,"0.79000","0","1","Cut Tape (CT)","Accu-P®","Active","0.8pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-10666-6-ND,04023J0R8ABSTR,AVX Corporation,CAP THIN FILM 0.8PF 25V 0402,8052,0,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","0.8pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4410-2-ND,04023J2R0ABSTR,AVX Corporation,CAP THIN FILM 2PF 25V 0402,10000,5000,"0.22330","0","5000","Tape & Reel (TR)","Accu-P®","Active","2pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4410-1-ND,04023J2R0ABSTR,AVX Corporation,CAP THIN FILM 2PF 25V 0402,15392,5000,"0.97000","0","1","Cut Tape (CT)","Accu-P®","Active","2pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4410-6-ND,04023J2R0ABSTR,AVX Corporation,CAP THIN FILM 2PF 25V 0402,15392,5000,"Digi-Reel","0","1","Digi-Reel®","Accu-P®","Active","2pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
http://datasheets.avx.com/Accu-P.pdf,//media.digikey.com/Renders/AVX%20Renders/0402-(1005-Metric)-Accu-P-Series.jpg,478-4401-2-ND,04023J1R1ABSTR,AVX Corporation,CAP THIN FILM 1.1PF 25V 0402,5000,0,"0.22330","0","5000","Tape & Reel (TR)","Accu-P®","Active","1.1pF","±0.05pF","25V","Surface Mount","0402 (1005 Metric)","-55°C ~ 125°C","RF, High Q, Low Loss","0.039"" L x 0.022"" W (1.00mm x 0.55mm)","0.020"" (0.50mm)"
