Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Device Size","Specifications"
http://www.cde.com/resources/catalogs/hardware.pdf,-,31762-56-ND,31762-56,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","225","31762","Obsolete","Mounting Bracket","Oval Can Types","5.750"" H (146.05mm)","Side Mount"
-,-,30434-24-ND,30434-24,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-25-ND,30434-25,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-29-ND,30434-29,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-31-ND,30434-31,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-34-ND,30434-34,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-35-ND,30434-35,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-36-ND,30434-36,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-39-ND,30434-39,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-43-ND,30434-43,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-51-ND,30434-51,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-53-ND,30434-53,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-57-ND,30434-57,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-60-ND,30434-60,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-69-ND,30434-69,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
-,-,30434-71-ND,30434-71,Cornell Dubilier Electronics (CDE),AC/DC,0,0,"Obsolete","0","300","30434","Obsolete","Mounting Bracket","Oval Can Types","-","End Mount"
