Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KA5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1057-2-ND,CL05B103KA5NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 25V X7R 0402,5690000,0,"0.00315","0","10000","Tape & Reel (TR)","CL","Active","10000pF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KA5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1057-1-ND,CL05B103KA5NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 25V X7R 0402,5693927,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","10000pF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL05B103KA5NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1057-6-ND,CL05B103KA5NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 25V X7R 0402,5693927,0,"Digi-Reel","0","1","Digi-Reel®","CL","Active","10000pF","±10%","25V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101GA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7751-2-ND,GRM0335C1H101GA01D,Murata Electronics North America,CAP CER 100PF 50V C0G/NP0 0201,1335000,0,"0.00320","0","15000","Tape & Reel (TR)","GRM","Active","100pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101GA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7751-1-ND,GRM0335C1H101GA01D,Murata Electronics North America,CAP CER 100PF 50V C0G/NP0 0201,1348558,0,"0.10000","0","1","Cut Tape (CT)","GRM","Active","100pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM0335C1H101GA01-01.pdf,"//media.digikey.com/Renders/Murata%20Renders/0201-(0603-Metric)-0,33mm.jpg",490-7751-6-ND,GRM0335C1H101GA01D,Murata Electronics North America,CAP CER 100PF 50V C0G/NP0 0201,1348558,0,"Digi-Reel","0","1","Digi-Reel®","GRM","Active","100pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A103KO3NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1315-2-ND,CL03A103KO3NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 16V X5R 0201,2600000,0,"0.00328","0","10000","Tape & Reel (TR)","CL","Active","10000pF","±10%","16V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A103KO3NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1315-1-ND,CL03A103KO3NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 16V X5R 0201,2612582,0,"0.10000","0","1","Cut Tape (CT)","CL","Active","10000pF","±10%","16V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
http://www.samsungsem.com/kr/support/product-search/mlcc/CL03A103KO3NNNC.jsp,//media.digikey.com/Renders/Samsung%20Electro-Mechanics%20America/0805-(1.40)-CL-Series.jpg,1276-1315-6-ND,CL03A103KO3NNNC,Samsung Electro-Mechanics,CAP CER 10000PF 16V X5R 0201,2612582,0,"Digi-Reel","0","1","Digi-Reel®","CL","Active","10000pF","±10%","16V","X5R","-55°C ~ 85°C","-","-","General Purpose","-","Surface Mount, MLCC","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","-","0.013"" (0.33mm)","-","-"
https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=EMK105B7104KV-F  &u=M,//media.digikey.com/Renders/Taiyo%20Yuden%20Renders/0402-(1005-Metric).jpg,587-1451-2-ND,EMK105B7104KV-F,Taiyo Yuden,CAP CER 0.1UF 16V X7R 0402,14830000,0,"0.00373","0","10000","Tape & Reel (TR)","M","Active","0.1µF","±10%","16V","X7R","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
