Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
http://www.vishay.com/docs/28421/220edlcenycap.pdf,//media.digikey.com/Photos/Vishay%20BC%20Photos/MFG_ENYCAP-220-EDLC.jpg,4828PHBK-ND,MAL222091001E3,Vishay BC Components,CAP 40F -20% +50% 2.7V T/H,1834,0,"5.65000","0","1","Tray","ENYCAP™ 220 EDLC","Active","40F","-20%, +50%","2.7V","12mOhm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.319"" (33.50mm)","-40°C ~ 85°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4327_KR_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5H474-R.jpg,283-2822-ND,KR-5R5H105-R,Eaton - Electronics Division,CAP 1F -20% +80% 5.5V T/H,4830,0,"5.67000","0","1","Bulk","PowerStor KR","Active","1F","-20%, +80%","5.5V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.787"" (20.00mm)","0.748"" Dia (19.00mm)","0.256"" (6.50mm)","-25°C ~ 70°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4327_KR_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/KR-5R5V334-R.jpg,283-2816-ND,KR-5R5V105-R,Eaton - Electronics Division,CAP 1F -20% +80% 5.5V T/H,1449,0,"5.67000","0","1","Bulk","PowerStor KR","Active","1F","-20%, +80%","5.5V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.748"" Dia (19.00mm)","0.768"" (19.50mm)","-25°C ~ 70°C"
http://datasheets.avx.com/AVX-SCC-3.0V.pdf,//media.digikey.com/Photos/AVX%20Photos/MFG_SCC.jpg,478-11292-ND,SCCV40E506SRB,AVX Corporation,CAPACITOR 50F -10% +30% 3V T/H,382,0,"5.74000","0","1","Bulk","SCC","Active","50F","-10%, +30%","3V","-","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.315"" (8.00mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-40°C ~ 65°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4308_PM_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PM-5R0V105-R.JPG,283-3015-ND,PM-5R0V105-R,Eaton - Electronics Division,CAP 1F -20% +80% 5V T/H,3255,0,"5.87000","0","1","Bulk","PowerStor PM","Active","1F","-20%, +80%","5V","200mOhm","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.866"" (22.00mm)","-40°C ~ 60°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4393_PB_Series.pdf,"//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PB%20SERIES%2013.0H,10.8L.jpg",283-2788-ND,PB-5R0V104-R,Eaton - Electronics Division,CAP 100MF -20% +80% 5V T/H,3151,0,"6.20000","0","1","Bulk","PowerStor PB","Active","100mF","-20%, +80%","5V","4Ohm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.287"" (7.30mm)","0.445"" L x 0.236"" W (11.30mm x 6.00mm)","0.512"" (13.00mm)","-25°C ~ 70°C"
http://nichicon-us.com/english/products/pdfs/e-juw.pdf,//media.digikey.com/Photos/Nichicon%20Photos/JUWT1685MHD.JPG,493-4336-ND,JUWT1226MHD,Nichicon,CAP 22F 20% 2.7V T/H,7201,0,"6.21000","0","1","Bulk","EVerCAP® JUW","Active","22F","±20%","2.7V","300mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.319"" (33.50mm)","-25°C ~ 70°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4327_KR_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/COOPERBUSSMANN-SERIES-KR-5R5C.jpg,283-2811-ND,KR-5R5C155-R,Eaton - Electronics Division,CAP 1.5F -20% +80% 5.5V T/H,7783,0,"6.22000","0","1","Bulk","PowerStor KR","Active","1.5F","-20%, +80%","5.5V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.280"" (7.10mm)","-25°C ~ 70°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4376_HV_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV1635-2R7356-R.JPG,283-4192-ND,HV1635-2R7356-R,Eaton - Electronics Division,CAP 35F -10% +30% 2.7V T/H,9982,0,"6.31000","0","1","Bulk","PowerStor HV","Active","35F","-10%, +30%","2.7V","24mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.496"" (38.00mm)","-40°C ~ 65°C"
http://www.maxwell.com/images/documents/5_0_1_5F_Module_ds_datasheet.pdf,//media.digikey.com/photos/NessCap%20Photos/EMHSR-0001C5-005R0.JPG,589-1007-ND,EMHSR-0001C5-005R0,Maxwell Technologies Inc.,CAP 1.5F -10% +20% 5V T/H,17074,0,"6.39000","0","1","Bulk","EMHSR","Active","1.5F","-10%, +20%","5V","143mOhm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.347"" (8.80mm)","0.689"" L x 0.374"" W (17.50mm x 9.50mm)","0.906"" (23.00mm)","-40°C ~ 65°C"
