Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Slotted/Unslotted","Size","Length","Thickness","Material","Plating"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S4900-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 49"",0,0,"5.03000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","49.000"" (1244.60mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U4900-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 49"",0,0,"5.03000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","49.000"" (1244.60mm)","0.059"" (1.50mm)","Steel","Zinc"
-,-,198-146-ND,198-146,Altech Corporation,TS35-146 DIN RAIL FOR TG1608 AND,0,7,"5.06000","0","1","TG","Active","Top Hat","Slotted","-","5.748"" (146.00mm)","-","-","-"
-,-,198-186-ND,198-186,Altech Corporation,TS35-186 DIN RAIL FOR TG2012 ENC,0,2,"5.06000","0","1","TG","Active","Top Hat","Slotted","-","7.323"" (186.00mm)","-","-","-"
-,-,915063-ND,915063,Weidmüller,DIN RAIL 35MMX7.5MM UNSLOT 9"",0,0,"5.09000","0","10","-","Active","-","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","9.000"" (228.60mm)","0.039"" (1.00mm)","-","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5500-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 55"",0,0,"5.11000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","55.000"" (1397.00mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-U7874.jpg,ADR3575-U5500-ND,TS3575SOL,American Electrical Inc.,DIN RAIL 35MMX7.5MM UNSLOT 55"",0,0,"5.11000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","55.000"" (1397.00mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S5000-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 50"",0,0,"5.13000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","50.000"" (1270.00mm)","0.059"" (1.50mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-U7874.jpg,ADR3515-U5000-ND,TS3515SOL,American Electrical Inc.,DIN RAIL 35MMX15MM UNSLOT 50"",0,0,"5.13000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","50.000"" (1270.00mm)","0.059"" (1.50mm)","Steel","Zinc"
-,-,1920-2145-ND,198-081,Altech Corporation,TS35/81 DIN RAIL FOR TK1111 ABOX,6,377,"5.15000","0","1","TK","Active","Top Hat","Slotted","-","3.189"" (81.00mm)","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electonics%20AMP%20PDFs/1-1437685-x_Dwg.pdf,-,2TK2D-12-ND,2TK2D-12,TE Connectivity AMP Connectors,DIN RAIL 73.66MMX17.78MM SLOTTED,0,0,"5.18400","0","240","Buchanan","Active","C Section","Slotted","2.900"" W x 0.700"" H (73.66mm x 17.78mm)","12.000"" (304.80mm)","-","Poly-Vinyl Chloride (PVC)","-"
-,-,8TK2-12-ND,8TK2-12,TE Connectivity AMP Connectors,DIN RAIL 58.42MMX17.78MM SLOTTED,0,0,"5.18400","0","120","Buchanan","Active","C Section","Slotted","2.300"" W x 0.700"" H (58.42mm x 17.78mm)","12.000"" (304.80mm)","-","Poly-Vinyl Chloride (PVC)","-"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-S7874.jpg,ADR3575-S5600-ND,TS3575SL,American Electrical Inc.,DIN RAIL 35MMX7.5MM SLOTTED 56"",0,0,"5.20000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","56.000"" (1422.40mm)","0.039"" (1.00mm)","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3575-U7874.jpg,ADR3575-U5600-ND,TS3575SOL,American Electrical Inc.,DIN RAIL 35MMX7.5MM UNSLOT 56"",0,0,"5.20000","0","1","358","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","56.000"" (1422.40mm)","0.039"" (1.00mm)","Steel","Zinc"
-,-,197-170-ND,197-170,Altech Corporation,TS15-170 DIN RAIL FOR TG2015 ENC,0,0,"5.20000","0","1","TG","Active","Top Hat","Slotted","-","6.693"" (170.00mm)","-","-","-"
-,-,ATBDR35151-ND,ATBDR35151,Amphenol PCD,DIN RAIL 35X15MM UNSLOT STEEL 1M,0,0,"5.22500","0","100","ATBDR","Active","Top Hat","Unslotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","39.370"" (1000.00mm)","-","Steel","Zinc"
-,-,ATBDR352-ND,ATBDR352,Amphenol PCD,DIN RAIL 35MMX7.5MM UNSLOT 2M,0,0,"5.22500","0","100","ATBDR","Active","Top Hat","Unslotted","1.378"" W x 0.295"" H (35.00mm x 7.50mm)","78.740"" (2000.00mm)","-","Steel","Zinc"
https://www.americanelectrical.com/pdfs/DINRail/DINRail.pdf,//media.digikey.com/photos/American%20Elect%20Photos/ADR3515-S7874.jpg,ADR3515-S5100-ND,TS3515SL,American Electrical Inc.,DIN RAIL 35MMX15MM SLOTTED 51"",0,0,"5.23000","0","1","358","Active","Top Hat","Slotted","1.378"" W x 0.591"" H (35.00mm x 15.00mm)","51.000"" (1295.40mm)","0.059"" (1.50mm)","Steel","Zinc"
