Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Size / Dimension"
-,-,FBA01DC-H-6-ND,FBA01DC-H-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA02DC-H-6-ND,FBA02DC-H-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA03DC-H-6-ND,FBA03DC-H-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA04DC-6-ND,FBA04DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA05DC-6-ND,FBA05DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA06DC-6-ND,FBA06DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA07DC-6-ND,FBA07DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA10DC-6-ND,FBA10DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA11DC-6-ND,FBA11DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA12DC-6-ND,FBA12DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA13DC-6-ND,FBA13DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA15DC-6-ND,FBA15DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA16DC-6-ND,FBA16DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA17DC-6-ND,FBA17DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA19DC-6-ND,FBA19DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA20DC-6-ND,FBA20DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA21DC-6-ND,FBA21DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA22DC-6-ND,FBA22DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA23DC-6-ND,FBA23DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA24DC-6-ND,FBA24DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA25DC-6-ND,FBA25DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA26DC-6-ND,FBA26DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA27DC-6-ND,FBA27DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA28DC-6-ND,FBA28DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
-,-,FBA40DC-6-ND,FBA40DC-6,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"4.88333","0","6","-","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/62452_Web.pdf,-,62452-ND,62452,"Makeblock Co., LTD.",360MOBILE PHONE BRACKET,0,0,"4.99000","0","1","-","Active","Holder","-","-"
-,-,PBB0080-ND,PBB0080,Panduit Corp,FENCE SIGN HOLDER,0,0,"5.72000","0","1","-","Active","Fence Sign Holder","Silver","4.00"" L x 1.00"" W (101.6mm x 25.4mm)"
-,-,AS-1-ND,AS-1,Essentra Components,AXIS SPRING TPE/NYLON BLACK,0,0,"6.35840","0","100","-","Active","Spring","Black","-"
-,-,PBB0123-ND,PBB0123,Panduit Corp,POLY-COATED YELLOW STEEL CHAIN,0,0,"7.07000","0","1","-","Active","Chain Link","Yellow","120.00' L (36.58m)"
-,-,BRKT-ANGL-ND,BRKT-ANGL,Eaton - Bussmann Electrical Division,ANGLED STEEL SUPPORT BRACKET GAL,0,0,"7.54400","0","10","-","Active","-","-","-"
-,-,BRKT-FLT-ND,BRKT-FLT,Eaton - Bussmann Electrical Division,FLAT STEEL SUPPORT BRACKET GALVA,0,0,"8.40400","0","10","-","Active","-","-","-"
-,-,BATH11-ES-ND,BATH11-ES,3M,COMMAND SHOWER CADDY WITH WA,0,0,"8.76000","0","1","Command™","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/ML_Series.pdf,-,ML-S-1-ND,ML-S-1,Essentra Components,MAGNETIC LATCH SMALL WHITE,0,0,"8.91400","0","10","ML","Active","Latch","White","0.93"" L x 0.30"" W (23.6mm x 7.7mm)"
-,-,2HA-ND,2HA,3M,FIRE BARRIER 2"" CAST IN HEIGHT,0,0,"9.13500","0","12","*","Active","Fire Barrier Cast-In Device","-","-"
-,-,BATH12-ES-ND,BATH12-ES,3M,COMMAND CORNER CADDY WITH WA,0,0,"9.32000","0","1","Command™","Active","-","-","-"
-,-,2MDA-ND,2MDA,3M,FIRE BARRIER 2"" CAST IN MTL,0,0,"10.02750","0","12","*","Active","Fire Barrier Cast-In Device","-","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/ML_Series.pdf,-,ML-L-2-ND,ML-L-2,Essentra Components,MAGNETIC LATCH LARGE WHITE,0,0,"10.20100","0","10","ML","Active","Latch","White","2.30"" L x 0.43"" W (58.5mm x 11.0mm)"
-,-,BATH15-ES-ND,BATH15-ES,3M,COMMAND FOG-RESISTANT MIRROR,0,0,"10.30000","0","2","Command™","Active","-","-","-"
-,-,3MDA-ND,3MDA,3M,FIRE BARRIER 3"" CAST IN METAL,0,0,"10.55250","0","12","*","Active","Fire Barrier Cast-In Device","-","-"
-,-,WS200-ND,WS200,3M,TUCK-IN WRAP STRIP,0,0,"10.73583","0","24","*","Active","Fire Barrier Wrap Strip","-","-"
-,-,3HA-ND,3HA,3M,FIRE BARRIER 3"" CAST IN HEIGHT,0,0,"10.85000","0","12","*","Active","Fire Barrier Cast-In Device","-","-"
-,-,4HA-ND,4HA,3M,FIRE BARRIER 4"" CAST IN HGT,0,0,"10.92000","0","12","*","Active","Fire Barrier Cast-In Device","-","-"
-,-,FBA03-H-3PK-ND,FBA03-H-3PK,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"10.93000","0","2","-","Active","-","-","-"
-,-,FBA00-H-3PK-ND,FBA00-H-3PK,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"11.04500","0","2","-","Active","-","-","-"
-,-,FBA01-H-3PK-ND,FBA01-H-3PK,3M,FILTRETE BASIC PLEATED AIR FILTE,0,0,"11.04500","0","2","-","Active","-","-","-"
