Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rivet Diameter","Rivet Length","Head Diameter","Head Height","Hole Diameter","Grip Range","Features","Color","Material"
http://www.keyelco.com/product-pdf.cfm?p=8634,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-25K-ND,25,Keystone Electronics,EYELET 0.156"" BRASS TIN PLATED,6652,4200,"0.11000","0","1","-","Active","Eyelets","0.059"" (1.50mm)","0.156"" (3.96mm)","0.105"" (2.67mm)","-","0.062"" (1.57mm) 1/16""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8647,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-48-ND,48,Keystone Electronics,EYELET 0.250"" BRASS TIN PLATED,2590,29300,"0.12000","0","1","-","Active","Eyelets","0.121"" (3.07mm)","0.250"" (6.35mm) 1/4""","0.200"" (5.08mm)","-","0.125"" (3.18mm) 1/8""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.keyelco.com/product-pdf.cfm?p=8636,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_22.jpg,36-27-ND,27,Keystone Electronics,EYELET 0.219"" BRASS TIN PLATED,1727,48300,"0.13000","0","1","-","Active","Eyelets","0.059"" (1.50mm)","0.219"" (5.56mm)","0.105"" (2.67mm)","-","0.062"" (1.57mm) 1/16""","-","Requires Installation Tool","-","Brass, Tin Plated"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/photos/Richco%20Photos/SR-3545B.JPG,RPC1136-ND,SR-3545B,Essentra Components,RIVET SNAP 0.177"" NYLON BLACK,127100,0,"0.44000","0","1","SR","Active","Snap Rivet","0.138"" (3.51mm)","0.177"" (4.50mm)","0.252"" (6.40mm)","0.063"" (1.60mm) 1/16""","0.144"" (3.66mm)","0.083"" ~ 0.118"" (2.11mm ~ 3.00mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1711-ND,SR-3065B,Essentra Components,RIVET SNAP 0.260"" NYLON BLACK,45282,0,"0.44000","0","1","SR","Active","Snap Rivet","0.118"" (3.00mm)","0.260"" (6.60mm)","0.252"" (6.40mm)","0.063"" (1.60mm) 1/16""","0.124"" (3.15mm)","0.157"" ~ 0.197"" (3.99mm ~ 5.00mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1650-ND,SR-3055B,Essentra Components,RIVET SNAP 0.217"" NYLON BLACK,5835,0,"0.44000","0","1","SR","Active","Snap Rivet","0.118"" (3.00mm)","0.217"" (5.50mm)","0.252"" (6.40mm)","0.063"" (1.60mm) 1/16""","0.124"" (3.15mm)","0.118"" ~ 0.158"" (3.00mm ~ 4.01mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/photos/Richco%20Photos/SR-3045B.JPG,RPC1414-ND,SR-3045B,Essentra Components,RIVET SNAP 0.177"" NYLON BLACK,9050,0,"0.45000","0","1","SR","Active","Snap Rivet","0.118"" (3.00mm)","0.177"" (4.50mm)","0.252"" (6.40mm)","0.063"" (1.60mm) 1/16""","0.124"" (3.15mm)","0.079"" ~ 0.118"" (2.01mm ~ 3.00mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1652-ND,SR-4050B,Essentra Components,RIVET SNAP 0.197"" NYLON BLACK,10147,0,"0.48000","0","1","SR","Active","Snap Rivet","0.158"" (4.01mm)","0.197"" (5.00mm)","0.315"" (8.00mm)","0.071"" (1.80mm)","0.163"" (4.14mm)","0.098"" ~ 0.138"" (2.50mm ~ 3.51mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1422-ND,SR-4060B,Essentra Components,RIVET SNAP 0.236"" NYLON BLACK,10680,0,"0.50000","0","1","SR","Active","Snap Rivet","0.158"" (4.01mm)","0.236"" (5.99mm)","0.315"" (8.00mm)","0.071"" (1.80mm)","0.163"" (4.14mm)","0.138"" ~ 0.177"" (3.51mm ~ 4.50mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1423-ND,SR-4070B,Essentra Components,RIVET SNAP 0.276"" NYLON BLACK,22013,0,"0.53000","0","1","SR","Active","Snap Rivet","0.158"" (4.01mm)","0.276"" (7.01mm)","0.315"" (8.00mm)","0.071"" (1.80mm)","0.163"" (4.14mm)","0.177"" ~ 0.217"" (4.50mm ~ 5.51mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/SR-4090B.JPG,RP992-ND,SR-4090B,Essentra Components,RIVET SNAP 0.354"" NYLON BLACK,5349,0,"0.57000","0","1","SR","Active","Snap Rivet","0.158"" (4.01mm)","0.354"" (9.00mm)","0.315"" (8.00mm)","0.071"" (1.80mm)","0.163"" (4.14mm)","0.256"" ~ 0.295"" (6.50mm ~ 7.49mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1779-ND,SR-2655B,Essentra Components,RIVET SNAP 0.220"" NYLON BLACK,1689,0,"0.59000","0","1","SR","Active","Snap Rivet","0.102"" (2.59mm)","0.220"" (5.59mm)","0.197"" (5.00mm)","0.055"" (1.40mm)","0.108"" (2.74mm)","0.134"" ~ 0.169"" (3.40mm ~ 4.29mm)","-","Black","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/SR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_20161.jpg,RPC1412-ND,SR-2048B,Essentra Components,RIVET SNAP 0.189"" NYLON BLACK,18378,0,"0.70000","0","1","SR","Active","Snap Rivet","0.079"" (2.01mm)","0.189"" (4.80mm)","0.165"" (4.19mm)","0.047"" (1.19mm) 3/64""","0.085"" (2.16mm)","0.114"" ~ 0.142"" (2.90mm ~ 3.61mm)","-","Black","Nylon"
