Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Holding Type","Mounting Type","Between Board Height","Length - Overall","Support Hole Diameter","Support Panel Thickness","Mounting Hole Diameter","Mounting Panel Thickness","Features","Material"
http://www.keyelco.com/product-pdf.cfm?p=9731,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_903x.jpg,36-9035-ND,9035,Keystone Electronics,BRD SPT SNAP LOCK SCREW MNT 1/2"",6777,0,"0.31000","0","1","-","Active","Snap Lock","Screw Mount","0.500"" (12.70mm) 1/2""","0.625"" (15.88mm) 5/8""","0.234"" (5.94mm)","0.062"" (1.57mm) 1/16""","0.153"" (3.89mm)","-","-","Nylon"
http://www.panduit.com/heiler/PartDrawings/C-WACBLS-GB0239HL--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/CBLS25-C.jpg,298-1135-ND,CBLS50-C,Panduit Corp,BRD SPT SNAP LOCK NYLON 1/2"",2160,0,"0.31000","0","1","CBLS","Active","Snap Lock","Snap Lock","0.500"" (12.70mm) 1/2""","1.228"" (31.20mm)","0.156"" (3.96mm) 5/32""","0.060"" (1.50mm)","0.187"" (4.75mm) 3/16""","0.080"" (2.03mm)","Winged","Nylon"
https://katalog.we-online.de/em/datasheet/709670110.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WA-SNSN.jpg,732-10378-ND,709670110,Wurth Electronics Inc.,BOARD SUPRT SNAP LOCK NYLON 11MM,1058,0,"0.31000","0","1","WA-SNSN","Active","Snap Lock","Snap Lock","0.433"" (11.00mm)","0.732"" (18.60mm)","0.098"" (2.50mm)","0.063"" (1.60mm)","0.098"" (2.50mm)","0.063"" (1.60mm)","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9749,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_906x.jpg,36-9061-ND,9061,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/4"",6204,5200,"0.32000","0","1","-","Active","Snap Lock","Snap Lock","0.250"" (6.35mm) 1/4""","0.782"" (19.86mm)","0.156"" (3.96mm) 5/32""","0.062"" (1.57mm) 1/16""","0.213"" (5.40mm)","0.062"" (1.57mm) 1/16""","Releasable, Reverse Mounting","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9639,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_887x.jpg,36-8872-ND,8872,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/4"",3190,3000,"0.33000","0","1","-","Active","Snap Lock","Snap Lock","0.250"" (6.35mm) 1/4""","0.811"" (20.60mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","Winged","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_8888.jpg,36-8888-ND,8888,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/8"",25548,65800,"0.35000","0","1","-","Active","Snap Lock","Snap Lock","0.125"" (3.18mm) 1/8""","0.425"" (10.80mm)","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_8889.jpg,36-8889-ND,8889,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/16"",12373,35300,"0.35000","0","1","-","Active","Snap Lock","Snap Lock","0.188"" (4.78mm) 3/16""","0.487"" (12.37mm)","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9753,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_906y.jpg,36-9065-ND,9065,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/4"",2586,5100,"0.35000","0","1","-","Active","Snap Lock","Snap Lock","0.250"" (6.35mm) 1/4""","0.559"" (14.20mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.187"" (4.75mm) 3/16""","0.062"" (1.57mm) 1/16""","Releasable, Reverse Mounting","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9639,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_887x.jpg,36-8873-ND,8873,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/8"",5072,11500,"0.35000","0","1","-","Active","Snap Lock","Snap Lock","0.375"" (9.53mm) 3/8""","0.935"" (23.76mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","Winged","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9770,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_884x.jpg,36-8847-ND,8847,Keystone Electronics,BRD SPT SNAP LOCK NYLON 10MM,12052,3400,"0.37000","0","1","-","Active","Snap Lock","Snap Lock","0.394"" (10.00mm)","0.771"" (19.58mm)","0.157"" (3.99mm)","0.062"" (1.57mm) 1/16""","0.157"" (4.00mm)","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9673,//media.digikey.com/photos/Keystone%20Elect%20Photos/8890.JPG,36-8890-ND,8890,Keystone Electronics,BRD SPT SNAP LOCK NYLON 1/4"",9209,30700,"0.37000","0","1","-","Active","Snap Lock","Snap Lock","0.250"" (6.35mm) 1/4""","0.550"" (13.97mm)","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/DLMSPM.pdf,//media.digikey.com/photos/Richco%20Photos/DLMSPM-2-01.JPG,RPC1085-ND,DLMSPM-2-01,Essentra Components,BRD SPT SNAP LOCK NYLON 1/8"",6744,0,"0.37000","0","1","DLMSPM","Active","Snap Lock","Snap Lock","0.125"" (3.18mm) 1/8""","0.409"" (10.40mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/DLMSPM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/DLMSPM-3-01.jpg,RPC1318-ND,DLMSPM-3-01,Essentra Components,BRD SPT SNAP LOCK NYLON 3/16"",46619,0,"0.38000","0","1","DLMSPM","Active","Snap Lock","Snap Lock","0.188"" (4.78mm) 3/16""","0.472"" (12.00mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9673,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_889x.jpg,36-8891-ND,8891,Keystone Electronics,BRD SPT SNAP LOCK NYLON 3/8"",4895,29900,"0.38000","0","1","-","Active","Snap Lock","Snap Lock","0.375"" (9.53mm) 3/8""","0.675"" (17.14mm)","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","0.100"" (2.54mm)","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/DLMSPM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/DLMSPM-5-01.JPG,RPC1319-ND,DLMSPM-5-01,Essentra Components,BRD SPT SNAP LOCK NYLON 5/16"",43866,0,"0.39000","0","1","DLMSPM","Active","Snap Lock","Snap Lock","0.313"" (7.95mm) 5/16""","0.594"" (15.09mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.keyelco.com/product-pdf.cfm?p=9770,//media.digikey.com/photos/Keystone%20Elect%20Photos/8848.JPG,36-8848-ND,8848,Keystone Electronics,BRD SPT SNAP LOCK NYLON 12MM,20892,13300,"0.39000","0","1","-","Active","Snap Lock","Snap Lock","0.472"" (12.00mm)","0.850"" (21.60mm)","0.157"" (3.99mm)","0.062"" (1.57mm) 1/16""","0.157"" (4.00mm)","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/DLMSPM.pdf,//media.digikey.com/photos/Richco%20Photos/DLMSPM-4-01.JPG,RP852-ND,DLMSPM-4-01,Essentra Components,BRD SPT SNAP LOCK NYLON 1/4"",14084,0,"0.39000","0","1","DLMSPM","Active","Snap Lock","Snap Lock","0.250"" (6.35mm) 1/4""","0.535"" (13.60mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/MSPM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23284.jpg,RPC2011-ND,MSPM-4-01,Essentra Components,BRD SPT SNAP FIT/LOCK NYLON 1/4"",8752,0,"0.39000","0","1","MSPM","Active","Snap Fit","Snap Lock","0.250"" (6.35mm) 1/4""","0.543"" (13.80mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/MSPM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_23284.jpg,RPC1355-ND,MSPM-5-01,Essentra Components,BRD SPT SNAP FIT/LOCK NYLN 5/16"",4142,0,"0.39000","0","1","MSPM","Active","Snap Fit","Snap Lock","0.313"" (7.95mm) 5/16""","0.602"" (15.30mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
http://www.essentracomponents.com.sg/images-line/pdfs/DLMSPM.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_DLMSPM-7-01.jpg,RPC1506-ND,DLMSPM-7-01,Essentra Components,BRD SPT SNAP LOCK NYLON 7/16"",28909,0,"0.42000","0","1","DLMSPM","Active","Snap Lock","Snap Lock","0.438"" (11.13mm) 7/16""","0.720"" (18.30mm)","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","0.125"" (3.18mm) 1/8""","0.062"" (1.57mm) 1/16""","-","Nylon"
