Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Threaded/Unthreaded","Gender","Screw, Thread Size","Diameter - Inside","Diameter - Outside","Between Board Height","Length - Overall","Features","Material","Plating","Color"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9913-375.jpg,492-1046-ND,9913-375,Bivar Inc.,ROUND SPACER #2 NYLON 3/8"",12099,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/939-060.jpg,492-1775-ND,939-060,Bivar Inc.,ROUND SPACER NYLON 1.52MM,11226,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.047"" (1.19mm)","0.125"" (3.18mm) 1/8""","0.060"" (1.52mm)","0.060"" (1.52mm)","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/938-100.JPG,492-1774-ND,938-100,Bivar Inc.,ROUND SPACER NYLON 2.54MM,10200,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.032"" (0.81mm)","0.085"" (2.16mm)","0.100"" (2.54mm)","0.100"" (2.54mm)","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9908-312.jpg,492-1075-ND,9908-312,Bivar Inc.,ROUND SPACER #4 NYLON 5/16"",8509,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.313"" (7.95mm) 5/16""","0.313"" (7.95mm) 5/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/9913-062.jpg,492-1041-ND,9913-062,Bivar Inc.,ROUND SPACER #2 NYLON 1/16"",8294,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#2","0.091"" (2.31mm)","0.188"" (4.78mm) 3/16""","0.063"" (1.60mm) 1/16""","0.063"" (1.60mm) 1/16""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/360Images/Bivar-Inc/492-1076-ND/HTML5Viewer.html,492-1076-ND,9908-375,Bivar Inc.,ROUND SPACER #4 NYLON 3/8"",7899,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#4","0.125"" (3.18mm) 1/8""","0.188"" (4.78mm) 3/16""","0.375"" (9.53mm) 3/8""","0.375"" (9.53mm) 3/8""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/906-200.JPG,492-1767-ND,906-200,Bivar Inc.,ROUND SPACER NYLON 5.08MM,7744,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.085"" (2.16mm)","0.148"" (3.76mm)","0.200"" (5.08mm)","0.200"" (5.08mm)","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9912-250.jpg,492-1119-ND,9912-250,Bivar Inc.,ROUND SPACER #8 NYLON 1/4"",7653,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#8","0.171"" (4.34mm)","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","0.250"" (6.35mm) 1/4""","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/9XX-XXX.pdf,//media.digikey.com/Photos/Bivar%20Inc%20Photos/911-200.JPG,492-1771-ND,911-200,Bivar Inc.,ROUND SPACER NYLON 5.08MM,7619,0,"0.10000","0","1","900","Active","Round Spacer","Unthreaded","Female, Female","-","0.125"" (3.18mm) 1/8""","0.250"" (6.35mm) 1/4""","0.200"" (5.08mm)","0.200"" (5.08mm)","-","Nylon","-","Natural"
https://www.bivar.com/Files/Datasheets/99XX-XXX.pdf,//media.digikey.com/photos/Bivar%20Inc%20Photos/9905-437.jpg,492-1107-ND,9905-437,Bivar Inc.,ROUND SPACER #6 NYLON 7/16"",5297,0,"0.10000","0","1","99XX","Active","Round Spacer","Unthreaded","Female, Female","#6","0.147"" (3.73mm)","0.250"" (6.35mm) 1/4""","0.438"" (11.13mm) 7/16""","0.438"" (11.13mm) 7/16""","-","Nylon","-","Natural"
