Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Color","Material","Hole Diameter","Flange Diameter","Panel Thickness"
http://www.keyelco.com/product-pdf.cfm?p=2691,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_76xy.jpg,36-7610-ND,7610,Keystone Electronics,PLUG HOLE 1.375""DIA STL 12 PRONG,0,1500,"1.24000","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","1.375"" (34.93mm)","1.562"" (39.67mm)","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)"
http://www.keyelco.com/product-pdf.cfm?p=2692,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_76xy.jpg,36-7611-ND,7611,Keystone Electronics,PLUG HOLE 1.500""DIA STL 12 PRONG,0,3300,"1.49000","0","100","-","Active","Body Plug","Natural","Steel, Nickel Plated","1.500"" (38.10mm) 1 1/2""","1.640"" (41.66mm)","0.031"" ~ 0.062"" (0.79mm ~ 1.57mm)"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1737070000.pdf,-,1737070000-ND,1737070000,Weidmüller,CABLE PLUG BLANK M16 PLAST EXE,0,0,"2.72980","0","50","VP","Active","Body Plug","Black","Nylon","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1719350000.pdf,-,1719350000-ND,1719350000,Weidmüller,PLUG BLANKING EXE PG9 BRASS,0,0,"7.60000","0","50","VP","Active","Body Plug","-","Brass, Nickel Plated","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1737110000.pdf,-,1737110000-ND,1737110000,Weidmüller,CABLE PLUG BLANK M40 PLAST EXE,0,10,"13.46100","0","10","VP","Active","Body Plug","Black","Nylon","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1737120000.pdf,-,1737120000-ND,1737120000,Weidmüller,CABLE PLUG BLANK M50 PLAST EXE,0,0,"16.50800","0","5","VP","Active","Body Plug","Black","Nylon","-","-","-"
-,-,P34-ND,P34,Laird Technologies IAS,ACCY MOBILE 3/4""HOLE PLUG BK 6PK,0,0,"21.09000","0","10","-","Active","Body Plug","Black","-","0.750"" (19.05mm) 3/4""","-","-"
-,-,P38-ND,P38,Laird Technologies IAS,ACCY MOBILE 3/8""HOLE PLUG BK 6PK,0,0,"22.23700","0","10","-","Active","Body Plug","Black","-","0.375"" (9.53mm) 3/8""","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/BP.pdf,-,BP-10517-ND,BP-10517,Essentra Components,BODY PLUG 1.77"" HOLE SIZE,0,0,"Obsolete","0","100","BP","Obsolete","Body Plug","Black","Thermoplastic Elastomer","1.772"" (45.00mm)","2.138"" (54.30mm)","0.031"" ~ 0.079"" (0.79mm ~ 2.00mm)"
-,-,BP-16235-ND,BP-16235,Essentra Components,BODY PLUG .79"" HOLE SIZE,0,0,"Obsolete","0","1000","BP","Obsolete","Body Plug","Black","Thermoplastic Elastomer","0.787"" (20.00mm)","1.142"" (29.00mm)","0.031"" ~ 0.079"" (0.79mm ~ 2.00mm)"
