Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Rotation Angle","Material","Plating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_09331.jpg,RPC2391-ND,09331,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,50,0,"11.18000","0","1","-","Active","Side Hinge","100°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Lift_off_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_149911002.jpg,RPC2445-ND,149911002,Essentra Access Solutions,STYLED LIFT OFF HINGE LH ZAMAK C,40,0,"11.92000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Lift_off_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/14991200x.JPG,RPC2447-ND,149912002,Essentra Access Solutions,STYLED LIFT OFF HINGE LH ZAMAK B,32,0,"11.92000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Black Coating"
https://www.essentraaccesssolutions.com/YuklenenDosyalar/UrunKataloglari/d5e03620-d171-444e-8f91-6506083cd87c.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_79363.jpg,RPC2690-ND,79363,Essentra Access Solutions,SIDE MOUNTED HINGE STEEL ZN FINI,100,0,"12.04000","0","1","-","Active","Side Hinge","180°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/69563x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_695631.jpg,RPC2675-ND,695631,Essentra Access Solutions,CONCEALED HINGE 65X32.5 STEEL ZN,96,0,"12.17000","0","1","-","Active","Concealed Hinge","120°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/69563x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_695632.jpg,RPC2676-ND,695632,Essentra Access Solutions,CONCEALED HINGE 65X32.5 STEEL ZN,99,0,"12.82000","0","1","-","Active","Concealed Hinge","120°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_39331.jpg,RPC2636-ND,39331,Essentra Access Solutions,SIDE MOUNTED HINGE BRASS CHROME,50,0,"12.91000","0","1","-","Active","Side Hinge","180°","Brass","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/39563x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_395631.jpg,RPC2637-ND,395631,Essentra Access Solutions,CONCEALED HINGE 65X32.5 STEEL ZN,98,0,"13.27000","0","1","-","Active","Concealed Hinge","120°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/13991xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1399112.jpg,RPC2432-ND,1399112,Essentra Access Solutions,STYLED LEAF HINGE 80X110 ZAMAK C,75,0,"13.57000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/13991xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1399122.jpg,RPC2435-ND,1399122,Essentra Access Solutions,STYLED LEAF HINGE 80X110 ZAMAK B,75,0,"13.57000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/39563x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_395634.jpg,RPC2640-ND,395634,Essentra Access Solutions,CONCEALED HINGE 65X32.5 STEEL ZN,100,0,"13.72000","0","1","-","Active","Concealed Hinge","120°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/39563x_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/395632.jpg,RPC2638-ND,395632,Essentra Access Solutions,CONCEALED HINGE 65X32.5 STEEL ZN,99,0,"13.72000","0","1","-","Active","Concealed Hinge","120°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/39563x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_395633.jpg,RPC2639-ND,395633,Essentra Access Solutions,CONCEALED HINGE 65X32.5 STEEL ZN,99,0,"13.72000","0","1","-","Active","Concealed Hinge","120°","Steel","Zinc"
https://www.essentraaccesssolutions.com/YuklenenDosyalar/UrunKataloglari/5002386e-cd81-432d-ae07-25e8510ba167.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_89363M.jpg,RPC2691-ND,89363M,Essentra Access Solutions,SIDE MOUNTED HINGE STEEL ZN FINI,100,0,"13.75000","0","1","-","Active","Side Hinge","180°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/109563_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_109563.jpg,RPC2414-ND,109563,Essentra Access Solutions,CONCEALED HINGE STEEL ZN FINISH,99,0,"14.89000","0","1","-","Active","Concealed Hinge","110°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Leaf_Hinge_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_219912.jpg,RPC2496-ND,219912,Essentra Access Solutions,CONSTANT TORQUE LEAF HINGE 57X51,48,0,"16.27000","0","1","-","Active","Leaf Hinge","-","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/13991xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1399113.jpg,RPC2433-ND,1399113,Essentra Access Solutions,STYLED LEAF HINGE 80X150 ZAMAK C,80,0,"16.54000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/13991xx_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_1399123.jpg,RPC2436-ND,1399123,Essentra Access Solutions,STYLED LEAF HINGE 80X150 ZAMAK B,80,0,"16.54000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_209912.jpg,RPC2492-ND,209912,Essentra Access Solutions,CONSTANT TORQUE LEAF HINGE 57X51,49,0,"17.56000","0","1","-","Active","Leaf Hinge","-","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/249920_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/2x9920.JPG,RPC2506-ND,249920,Essentra Access Solutions,ADJUSTABLE TORQUE LEAF HINGE 58X,97,0,"17.86000","0","1","-","Active","Leaf Hinge","-","Polyamide","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/19920x_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_199203.jpg,RPC2488-ND,199203,Essentra Access Solutions,LEAF HINGE 50X50 POLYMER BLACK F,23,0,"5.06000","0","1","-","Active","Leaf Hinge","270°","Polyamide","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/119920x_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/1199201.JPG,RPC2427-ND,1199201,Essentra Access Solutions,HEAVY DUTY STYLED HINGE 50X50 PO,0,0,"5.52000","0","1","-","Active","Leaf Hinge","180°","Polyamide","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Flat_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/89963001.JPG,RPC2694-ND,89963001,Essentra Access Solutions,LIFT OFF LEAF HINGE RH 100X75 ST,18,0,"8.46000","0","1","-","Active","Leaf Hinge","180°","Steel","Zinc"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/399111_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/399122.JPG,RPC2648-ND,399122,Essentra Access Solutions,LEAF HINGE 60X90 ZAMAK BLACK POW,25,0,"8.96000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/399111_DS.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_399113.jpg,RPC2643-ND,399113,Essentra Access Solutions,LEAF HINGE 60X120 ZAMAK CHROME F,25,0,"9.09000","0","1","-","Active","Leaf Hinge","270°","Zamak","Chrome"
"//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/39911x,39912x_DS.pdf",//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_399123.jpg,RPC2649-ND,399123,Essentra Access Solutions,LEAF HINGE 60X120 ZAMAK BLACK PO,25,0,"9.09000","0","1","-","Active","Leaf Hinge","270°","Zamak","Black Coating"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Lift_off_Hinge_DS.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/149911001.JPG,RPC2444-ND,149911001,Essentra Access Solutions,STYLED LIFT OFF HINGE RH ZAMAK C,15,0,"10.91000","0","1","-","Active","Lift Off Hinge","180°","Zamak","Chrome"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/89010_Web.pdf,-,89010MB-ND,89010,"Makeblock Co., LTD.",BUTT HINGE 40*24MM(PAIR),0,0,"5.99000","0","1","-","Active","Leaf Hinge","270°","Stainless Steel","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1215_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1215.jpg,1215-ND,1215,Adafruit Industries LLC,HDWR HINGE PLASTIC 20X20 EXTRUSN,0,0,"0.95000","0","1","-","Active","Leaf Hinge","180°","Plastic","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-11293_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-11293.jpg,PRT-11293-ND,PRT-11293,SparkFun Electronics,MICRORAX KNUCKLE HINGE,0,0,"Obsolete","0","1","-","Obsolete","Knuckle Hinge","90°","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-11292_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-11292.jpg,PRT-11292-ND,PRT-11292,SparkFun Electronics,MICRORAX ELBOW HINGE,0,0,"Obsolete","0","1","-","Obsolete","Elbow Hinge","180°","-","-"
