Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4D45000.jpg,1758-1013-ND,4D45000.1500,Rose+Krieger,F-40X80/3 40X80MM ""3 SLOT"" EXTRU,20,0,"70.25000","0","1","Frameworks®","Active","Extruded Aluminum Profile","59.055"" L x 3.150"" W x 1.575"" H (1500.00mm x 80.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4285000.jpg,1758-1011-ND,4285000.2000,Rose+Krieger,F-40X80L 40X80MM LIGHT EXTRUSION,20,0,"71.98000","0","1","Frameworks®","Active","Extruded Aluminum Profile","78.740"" L x 3.150"" W x 1.575"" H (2000.00mm x 80.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4885000.jpg,1758-1015-ND,4885000.1000,Rose+Krieger,F-80X80-2L 80X80MM EXTRUSION 1 M,11,0,"78.77000","0","1","Frameworks®","Active","Extruded Aluminum Profile","39.370"" L x 1.575"" W x 3.150"" H (1000.00mm x 40.00mm x 80.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4D45000.jpg,1758-1014-ND,4D45000.2000,Rose+Krieger,F-40X80/3 40X80MM ""3 SLOT"" EXTRU,20,0,"93.08000","0","1","Frameworks®","Active","Extruded Aluminum Profile","78.740"" L x 3.150"" W x 1.575"" H (2000.00mm x 80.00mm x 40.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4885000.jpg,1758-1016-ND,4885000.1500,Rose+Krieger,F-80X80-2L 80X80MM EXTRUSION 1.5,10,0,"117.25000","0","1","Frameworks®","Active","Extruded Aluminum Profile","59.055"" L x 1.575"" W x 3.150"" H (1500.00mm x 40.00mm x 80.00mm)"
https://www.rk-rose-krieger.com/fileadmin/catalogue/profiltechnik/bl_aluprofilsystem_en.pdf,//media.digikey.com/Photos/Rose%20&%20Bopla%20Enclosures/MFG_4885000.jpg,1758-1017-ND,4885000.2000,Rose+Krieger,F-80X80-2L 80X80MM EXTRUSION 2 M,10,0,"155.74000","0","1","Frameworks®","Active","Extruded Aluminum Profile","78.740"" L x 1.575"" W x 3.150"" H (2000.00mm x 40.00mm x 80.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/PRT-10228_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_PRT-10228.jpg,1568-1794-ND,PRT-10228,SparkFun Electronics,ANGLE BRACKET 440,150,0,"0.50000","0","1","-","Active","Bracket","90° Angle"
//media.digikey.com/pdf/Data%20Sheets/Kitronik%20PDFs/Actuators_Motor_Accessories.pdf,//media.digikey.com/Photos/Kitronik%20Ltd/MFG_2545.jpg,1927-1022-ND,2545,Kitronik Ltd.,90MM BLUE THREE BLADE PROPELLER,329,0,"0.78000","0","1","-","Active","Impeller","3.543"" (90.00mm) Outer Diameter"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/FIT0523_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_FIT0523.jpg,1738-1396-ND,FIT0523,DFRobot,COPPER COUPLING 4MM,46,0,"2.06000","0","1","-","Active","Shaft Coupler","-"
https://www.rk-rose-krieger.com/fileadmin/catalogue/verbindungstechnik/vt_itas_rohrverbinder_en.pdf,-,1758-1086-ND,93800,Rose+Krieger,HARDWARE SET FOR STAIR RAILING S,50,0,"4.40000","0","1","StairWorks®","Active","Holder","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/ROB-12136_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_ROB-12136.jpg,1568-1691-ND,ROB-12136,SparkFun Electronics,SHAFT COUPLER 1/8"" TO 1/8"",40,0,"4.99000","0","1","-","Active","Shaft Coupler","0.125"" (3.18mm) Diameter to 0.125"" (3.18mm) Diameter"
http://www.makeblock.com.ph/catalogue.pdf,-,1890-1053-ND,84044,"Makeblock Co., LTD.",FULLY THREADED ROD PAIR,30,0,"4.99000","0","1","-","Active","Beam","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/83700_Web.pdf,//media.digikey.com/Photos/Makeblock/83700.jpg,1890-1054-ND,83700,"Makeblock Co., LTD.",04C 10T SPROCKET,30,0,"4.99000","0","1","-","Active","Sprocket","0.315"" (8.00mm) Inner Diameter"
http://www.makeblock.com.ph/catalogue.pdf,//media.digikey.com/Photos/Makeblock/MFG_83049.jpg,1890-1057-ND,83040,"Makeblock Co., LTD.",TIMING BELT 123T(PAIR),28,0,"4.99000","0","1","-","Active","Timing Belt","-"
//media.digikey.com/pdf/Data%20Sheets/Makeblock%20PDFs/60018_Web.pdf,//media.digikey.com/Photos/Makeblock/MFG_60018.JPG,1890-1067-ND,60018,"Makeblock Co., LTD.",SLIDE BEAM0824-080-BLUE PAIR,30,0,"4.99000","0","1","-","Active","Beam","-"
http://www.makeblock.com.ph/catalogue.pdf,//media.digikey.com/Photos/Makeblock/60508.JPG,1890-1068-ND,60508,"Makeblock Co., LTD.",BEAM0808-040-A-BLUE 4PC,30,0,"4.99000","0","1","-","Active","Beam","-"
