Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Size / Dimension","Thickness","Density","Material","Material Flammability Rating","Color"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,-,CFNT-EGS0.125RINGPAD-ND,CFNT-EGS 0.125 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.125 RING PAD,0,0,"0.35000","0","1200","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.125"" (3.18mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CFNT-EGS0.125SQUAREPAD-ND,CFNT-EGS 0.125 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.125 SQUARE PA,0,0,"0.35000","0","1200","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.125"" (3.18mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CFNT-EGS0.25DISKPAD-ND,CFNT-EGS 0.25 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.25 DISK PAD,0,0,"0.39376","0","900","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.250"" (6.35mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CFNT-EGS0.25SQUAREPAD-ND,CFNT-EGS 0.25 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CFNT-EGS 0.25 SQUARE PAD,0,0,"0.39376","0","900","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.250"" (6.35mm)","83 kg/m³","Polyurethane","UL94 HBF","Yellow"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CF-40EG0.5DISKPAD-ND,CF-40EG 0.5 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.5 DISK PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,-,CF-40EG0.5RINGPAD-ND,CF-40EG 0.5 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.5 RING PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CF-40EG0.5SQUAREPAD-ND,CF-40EG 0.5 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-40EG 0.5 SQUARE PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Yellow"
http://multimedia.3m.com/mws/media/1383349O/e-a-r-confor-disk-pad-print.pdf,-,CF-42EG0.5DISKPAD-ND,CF-42EG 0.5 DISK PAD,"3M - Aearo Technologies, LLC",CONFOR CF-42EG 0.5 DISK PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1383351O/e-a-r-confor-ring-pad-print.pdf,-,CF-42EG0.5RINGPAD-ND,CF-42EG 0.5 RING PAD,"3M - Aearo Technologies, LLC",CONFOR CF-42EG 0.5 RING PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" Diameter (25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
http://multimedia.3m.com/mws/media/1383350O/e-a-r-confor-square-pad-print.pdf,-,CF-42EG0.5SQUAREPAD-ND,CF-42EG 0.5 SQUARE PAD,"3M - Aearo Technologies, LLC",CONFOR CF-42EG 0.5 SQUARE PAD,0,0,"0.48125","0","800","CONFOR™ EG","Active","1.00"" W x 1.00"" L (25.4mm x 25.4mm)","0.500"" (12.70mm)","96.1 kg/m³","Polyurethane","UL94 HF-1","Pink"
