Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Inner Diameter","Outer Diameter","Width","Material","Static Load Rating","Dynamic Load Rating","Features"
https://www.mechatronics.com/bearing-group/pdf/NTA411.pdf,-,1995-1038-ND,NTA411,Mechatronics Bearing Group,BEARING 1/4""ID 11/16""OD 5/64""W,294,0,"2.89000","0","1","-","Active","Thrust Bearing","0.250"" (6.35mm) 1/4""","0.687"" (17.45mm)","0.078"" (1.98mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/NTA1220.pdf,-,1995-1040-ND,NTA1220,Mechatronics Bearing Group,BEARING 1/4""ID 11/16""OD 0.03""W,300,0,"3.54000","0","1","-","Active","Thrust Bearing","0.750"" (19.05mm) 3/4""","1.250"" (31.75mm)","0.078"" (1.98mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/NTA815.pdf,-,1995-1042-ND,NTA815,Mechatronics Bearing Group,BEARING 1/2""ID 15/16""OD 5/64""W,294,0,"3.54000","0","1","-","Active","Thrust Bearing","0.500"" (12.70mm) 1/2""","0.937"" (23.80mm)","0.078"" (1.98mm)","-","-","-","-"
-,-,1995-1012-ND,6001DDC3G81,Mechatronics Bearing Group,BALL BEARING 12X28X8MM POLY-EM,390,0,"3.58000","0","1","*","Active","-","-","-","-","-","-","-","-"
-,-,1995-1013-ND,6001ZZC3G81,Mechatronics Bearing Group,BALL BEARING 12X28X8MM-POLY-EM,143,0,"3.70000","0","1","6000","Active","Ball Bearing","0.472"" (12.00mm)","1.102"" (28.00mm)","0.315"" (8.00mm)","Bearing Steel","500 lbs","805 lbs","Shield (2)"
https://www.mechatronics.com/bearing-group/pdf/NTA1423.pdf,-,1995-1034-ND,NTA1423,Mechatronics Bearing Group,BEARING 7/8""ID 1-7/16""OD 5/64""W,300,0,"3.72000","0","1","-","Active","Thrust Bearing","0.875"" (22.23mm) 7/8""","1.437"" (36.50mm)","0.078"" (1.98mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/NTA1625.pdf,-,1995-1036-ND,NTA1625,Mechatronics Bearing Group,BEARING 1""ID 1-9/16""OD 5/64""W,295,0,"3.72000","0","1","-","Active","Thrust Bearing","1.000"" (25.40mm) 1""","1.562"" (39.68mm)","0.078"" (1.98mm)","-","-","-","-"
https://www.mechatronics.com/bearing-group/pdf/GEZ25ES.pdf,-,1995-1030-ND,GEZ25ES,Mechatronics Bearing Group,BEARING DUTY OPEN 1X1.625X0.875"",200,0,"3.72000","0","1","Load","Active","Spherical Bearing","1.000"" (25.40mm) 1""","1.625"" (41.28mm)","-","-","37359 lbs","-","-"
https://www.mechatronics.com/bearing-group/pdf/COM8T.pdf,-,1995-1056-ND,COM8T,Mechatronics Bearing Group,BEARING 0.5""ID 1""OD 0.5""W PTFE,492,0,"4.16000","0","1","COM","Active","Spherical Bearing","0.500"" (12.70mm) 1/2""","1.000"" (25.40mm) 1""","0.500"" (12.70mm) 1/2""","Polytetrafluoroethylene (PTFE)","13250 lbs","-","-"
https://www.mechatronics.com/bearing-group/pdf/COM10T.pdf,-,1995-1057-ND,COM10T,Mechatronics Bearing Group,BEARING0.625""ID1.19""OD0.63""WPTFE,500,0,"4.81000","0","1","COM","Active","Spherical Bearing","0.625"" (15.88mm) 5/8""","1.188"" (30.16mm)","0.625"" (15.88mm) 5/8""","Polytetrafluoroethylene (PTFE)","21280 lbs","-","-"
https://www.mechatronics.com/bearing-group/pdf/GEZ31ES.pdf,-,1995-1031-ND,GEZ31ES,Mechatronics Bearing Group,BEARING DUTY OPEN 1.25X2X1.093"",200,0,"5.09000","0","1","Load","Active","Spherical Bearing","1.250"" (31.75mm)","2.000"" (50.80mm)","1.093"" (27.76mm)","-","58507 lbs","19468 lbs","-"
https://www.mechatronics.com/bearing-group/pdf/GEZ38ES.pdf,-,1995-1032-ND,GEZ38ES,Mechatronics Bearing Group,BEARING DUTY OPEN 1.5X2X1.125"",200,0,"7.51000","0","1","Load","Active","Spherical Bearing","1.500"" (38.10mm)","2.438"" (61.91mm)","1.312"" (33.33mm)","-","84379 lbs","28129 lbs","-"
https://www.mechatronics.com/bearing-group/pdf/GEZ38ES-2RS.pdf,-,1995-1033-ND,GEZ38ES-2RS,Mechatronics Bearing Group,BEARING DUTY SEALED 1.5X2X1.125"",200,0,"9.21000","0","1","Load","Active","Spherical Bearing","1.500"" (38.10mm)","2.438"" (61.91mm)","1.312"" (33.33mm)","-","84379 lbs","28129 lbs","Contact Seal"
https://www.mechatronics.com/bearing-group/pdf/6000-2RS.pdf,-,1995-1011-ND,6000-2RS,Mechatronics Bearing Group,BALL BEARING SEALED 10X26X8MM,464,0,"0.84000","0","1","6000","Active","Ball Bearing","0.394"" (10.00mm)","1.024"" (26.00mm)","0.315"" (8.00mm)","Bearing Steel","440 lbs","790 lbs","Contact Seal (2)"
https://www.mechatronics.com/bearing-group/pdf/04NU04.pdf,-,1995-1049-ND,04NU04,Mechatronics Bearing Group,BEARING 0.25""ID0.3125""OD PTFE,183,0,"0.86000","0","1","INCH","Active","Sleeve Bearing","0.250"" (6.35mm) 1/4""","0.313"" (7.95mm) 5/16""","0.250"" (6.35mm) 1/4""","Polytetrafluoroethylene (PTFE)","-","-","Self Lubricating"
https://www.mechatronics.com/bearing-group/pdf/10NU10.pdf,-,1995-1050-ND,10NU10,Mechatronics Bearing Group,BEARING 0.625""ID0.7188""OD PTFE,200,0,"1.01000","0","1","INCH","Active","Sleeve Bearing","0.627"" (15.93mm)","0.719"" (18.27mm)","0.625"" (15.88mm) 5/8""","Polytetrafluoroethylene (PTFE)","-","-","Self Lubricating"
