Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Panel Cutout Dimensions","Mounting Type","Material"
https://www.hammfg.com/files/parts/pdf/MHKL2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_MHK2.jpg,HM5541-ND,MHKL2,Hammond Manufacturing,6 KEYED PADLOCKING 3-PT LATCH,3,2,"151.63000","0","1","MHK","Active","Rotating","-","Screw Holes, Back","Zinc"
https://www.hammfg.com/files/parts/pdf/MHK2.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_MHK2.jpg,HM5536-ND,MHK2,Hammond Manufacturing,6 PADLOCKING 3-PT LATCH,4,4,"162.08000","0","1","MHK","Active","Rotating","-","Screw Holes, Back","Zinc"
https://www.hammfg.com/files/parts/pdf/MHKD3.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_MHK2.jpg,HM5539-ND,MHKD3,Hammond Manufacturing,6 PADLOCKING W/ DEFEATER 3-PT,2,3,"163.33000","0","1","MHK","Active","Rotating","-","Screw Holes, Back","Zinc"
https://www.panduit.com/content/dam/panduit/en/products/assets/a/ac/ace/ace0/ace03/media/D-PUFL07--SA-ENG-G5iPDUSolutNA-W.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_ACE01.jpg,298-16862-ND,ACE01,Panduit Corp,G5 IPDU SWINGHANDLE NO CARD READ,3,0,"320.61000","0","1","SmartZone™","Active","Swinghandle","-","Screw Holes, Back","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/a/ac/ace/ace0/ace03/media/D-PUFL07--SA-ENG-G5iPDUSolutNA-W.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_ACE03.jpg,298-16864-ND,ACE03,Panduit Corp,G5 IPDU SWINGHANDLE WITH CARD RE,2,0,"505.56000","0","1","SmartZone™","Active","Swinghandle","-","Screw Holes, Back","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/a/ac/ace/ace0/ace03/media/D-PUFL07--SA-ENG-G5iPDUSolutNA-W.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_ACE02.jpg,298-16863-ND,ACE02,Panduit Corp,G5 IPDU SWINGHANDLE WITH CARD RE,2,0,"675.31000","0","1","SmartZone™","Active","Swinghandle","-","Screw Holes, Back","-"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_31820200.jpg,RPC2609-ND,31820200,Essentra Access Solutions,SMALL SWING HANDLE POLYMER SEALE,25,0,"14.33000","0","1","-","Active","Swinghandle","Rectangular - 100.00mm x 25.00mm","Screw Holes, Back","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_2182000.jpg,RPC2495-ND,2182000,Essentra Access Solutions,SWING HANDLE LATCH POLYMER SEALE,25,0,"16.31000","0","1","-","Active","Swinghandle","Rectangular - 50.00mm x 25.00mm (2)","Screw Holes, Back","Plastic"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_31811200.jpg,RPC2607-ND,31811200,Essentra Access Solutions,SMALL SWING HANDLE HYBRID SEALED,25,0,"17.37000","0","1","-","Active","Swinghandle","Rectangular - 100.00mm x 25.00mm","Screw Holes, Back","Zamak, Chrome Plated"
//media.digikey.com/pdf/Data%20Sheets/Richco%20Inc%20PDFs/Access_Solutions_Cat.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_31812200.jpg,RPC2608-ND,31812200,Essentra Access Solutions,SMALL SWING HANDLE HYBRID SEALED,25,0,"17.37000","0","1","-","Active","Swinghandle","Rectangular - 100.00mm x 25.00mm","Screw Holes, Back","Zamak, Black Coating"
