Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Features","For Use With/Related Products","Size / Dimension","Color","Material"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2709558,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2709558.jpg,277-14659-ND,2709558,Phoenix Contact,UPPER PART OF HOUSING,37,0,"3.82000","0","1","ME","Active","Housing","Positions - 4","22.5mm Wide Housing","3.898"" L x 0.886"" W x 1.516"" H (99.00mm x 22.50mm x 38.50mm)","Green","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201388.jpg,277-10399-ND,2201388,Phoenix Contact,ELECTRONIC HOUSING COVER,84,0,"4.00000","0","1","EH","Active","Housing","Vented","90mm Wide Housing","3.543"" W (90.00mm)","Black","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2200519.jpg,277-10387-ND,2200519,Phoenix Contact,ELECTRONIC HOUSING BASE,60,0,"4.00000","0","1","EH","Active","Base","-","67.5mm Wide Housing","2.657"" W (67.50mm)","Gray","Plastic, ABS"
http://www.keyelco.com/product-pdf.cfm?p=1612,//media.digikey.com/photos/Keystone%20Elect%20Photos/2037.jpg,36-2037-ND,2037,Keystone Electronics,PANEL PHENOLIC 3 3/4X6 1/4"" BLK,28,0,"4.19000","0","1","-","Active","Cover, Lid","-","700 Case","6.250"" L x 3.750"" W x 0.093"" H (158.75mm x 95.25mm x 1.60mm)","Black","Plastic, Phenolic"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2201249.jpg,277-10397-ND,2201249,Phoenix Contact,ELECTRONIC HOUSING BASE,68,0,"4.24000","0","1","EH","Active","Base","-","22.5mm Wide Housing","0.886"" W (22.50mm)","Black","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/2418650000.pdf,//media.digikey.com/Photos/Weidmuller/241865000.jpg,281-2790-ND,2418650000,Weidmüller,CH20M22 SIDE ELEMENT 2 LEVEL,65,90,"4.43000","0","1","Omnimate","Active","Panel, Side","Levels - 2","CH20M Housing System","0.827"" L x 0.886"" W x 4.177"" H (21.00mm x 22.50mm x 106.10mm)","Black","Plastic, Polyamide"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2908773.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2908773.jpg,277-2841-ND,2908773,Phoenix Contact,SIDE ELEMENT LEFT W/FOOT,40,260,"4.62000","0","1","UM","Active","Panel, Side","Foot","-","4.803"" L x 0.197"" W (122.00mm x 5.00mm)","Green","Plastic, Non Specified"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2764179.pdf,//media.digikey.com/photos/Phoenix%20Photos/2764179.JPG,277-2908-ND,2764179,Phoenix Contact,HOUSING COVER,47,0,"4.65000","0","1","EG","Active","Cover, Lid","Positions - 16","45mm Wide Housing","2.953"" L x 1.772"" W x 0.689"" H (75.00mm x 45.00mm x 17.50mm)","Green","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/EH_F_Series_ElectHousings_3-5-15.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2200664.jpg,277-10390-ND,2200664,Phoenix Contact,ELECTRONIC HOUSING BASE,64,0,"4.66000","0","1","EH","Active","Base","-","90mm Wide Housing","3.543"" W (90.00mm)","Black","Plastic, ABS"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=2764409,//media.digikey.com/Photos/Phoenix%20Photos/2764409.jpg,277-14674-ND,2764409,Phoenix Contact,HOUSING COVER-CONNECT ONE SIDE,30,0,"4.85000","0","1","EG","Active","Cover, Lid","Positions - 16","45mm Wide Housing","2.953"" L x 1.772"" W x 0.689"" H (75.00mm x 45.00mm x 17.50mm)","Green","Plastic, ABS"
//media.digikey.com/pdf/Data%20Sheets/BUD%20Industries%20PDFs/NBX-10979-PL_Dwg.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/NBX-10979-PL.JPG,377-1668-ND,NBX-10979-PL,Bud Industries,PANEL PLASTIC 5.37X9.25"" FOR NB,17,38,"4.90000","0","1","NB","Active","Panel, Inner","-","NBB Series","9.250"" L x 5.370"" W x 0.157"" H (234.95mm x 136.40mm x 3.99mm)","Unpainted","Plastic, ABS"
