Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Connector Type","Number of Positions","Number of Rows","Termination Style"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91608SD_230920130822.pdf,-,DN-91608SD-ND,DN-91608SD,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT6,0,0,"40.23000","0","1","Digitus®","Active","Modular Panel","RJ45","8","1","LSA Block"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/11-0585-001-csu.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_P108-48-MOD.jpg,P108-48-MOD-ND,P108-48-MOD,HellermannTyton,48PORT BLNK MOD PATCH PANEL,0,0,"42.94000","0","1","-","Active","Modular Panel","RJ45 Jack (Not Provided)","48","3","-"
https://assets.tripplite.com/product-pdfs/en/n49208sst.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N492-08S-ST.jpg,N492-08S-ST-ND,N492-08S-ST,Tripp Lite,TOOLLESS PASS-THROUGH FIBER PATC,0,0,"44.11000","0","1","-","Active","Patch Panel, Fiber","ST","8","2","-"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91508S_230920130814.pdf,-,DN-91508S-ND,DN-91508S,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT5E,0,0,"44.14000","0","1","Digitus®","Active","Modular Panel","RJ45","8","1","LSA Block"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91608S_230920130821.pdf,-,DN-91608S-ND,DN-91608S,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT6,0,0,"44.60000","0","1","Digitus®","Active","Modular Panel","RJ45","8","1","LSA Block"
-,-,RMTE07-ND,RMTE07,HellermannTyton,TELEPHONE EXPANSION MODULE,0,0,"45.04489","0","90","-","Active","Telephone Jack Panel","-","7","1","-"
-,-,RMTM06-ND,RMTM06,HellermannTyton,TELEPHONE MASTER MODULE,0,0,"45.04489","0","90","-","Active","Telephone Jack Panel","-","10","2","-"
http://www.assmann-wsw.com/fileadmin/datasheets/DN-91325-1.pdf,-,DN-91325-B-ND,DN-91325-B,Assmann WSW Components,PATCH PNL 19"" RJ45 CAT3,0,0,"45.13000","0","1","Digitus®","Active","Modular Panel","RJ45","25","1","LSA Block"
https://assets.tripplite.com/product-pdfs/en/n252012.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N252-012.jpg,N252-012-ND,N252-012,Tripp Lite,PANEL PATCH CAT6 568B 12PORT,0,0,"45.25000","0","1","Network","Active","Patch Panel, Cat6","RJ45","12","1","Punch Down"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91512S_230920130817.pdf,-,DN-91512S-ND,DN-91512S,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT5E,0,0,"47.69000","0","1","Digitus®","Active","Modular Panel","RJ45","12","1","LSA Block"
https://assets.tripplite.com/product-pdfs/en/n49206dsc.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N492-06D-SC.jpg,N492-06D-SC-ND,N492-06D-SC,Tripp Lite,TOOLLESS PASS-THROUGH FIBER PATC,0,0,"50.55000","0","1","-","Active","Patch Panel, Fiber","SC","12","2","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKFP24KSRBSY--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_NKFP24KSRBSY.jpg,NKFP24KSRBSY-ND,NKFP24KSRBSY,Panduit Corp,PATCH PANEL MOD 24PORT 1 ROW,0,0,"51.43000","0","1","NetKey®","Active","Modular Panel, Keystone","-","24","1","-"
-,-,A-PAN-16S-ND,A-PAN-16S,Assmann WSW Components,PATCH PANEL 19"" 16 PORT,0,0,"52.41000","0","10","A-PAN","Active","Modular Panel","-","16","1","-"
-,-,RMD08-ND,RMD08,HellermannTyton,TELEPHONE/DATA MOD,0,0,"52.70283","0","60","-","Active","Telephone Jack Panel","RJ45","8","1","-"
http://www.panduit.com/heiler/PartDrawings/C-NKNKPPN48P--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_NKPPN48P.JPG,298-15093-ND,NKPPN48P,Panduit Corp,PATCH PANEL 38 PORT 2 ROW,2,0,"55.02000","0","1","NetKey®","Obsolete","Modular Panel, Keystone","-","48","2","-"
-,-,RMTV061X4-ND,RMTV061X4,HellermannTyton,TELEPHONE-VIDEO COMBO MOD,0,0,"55.88000","0","1","-","Active","Telephone Jack Panel","-","10","2","-"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91612S_230920130823.pdf,-,DN-91612S-ND,DN-91612S,Assmann WSW Components,PATCH PNL 10"" RJ45 CAT6,0,0,"57.41000","0","1","Digitus®","Active","Modular Panel","RJ45","12","1","LSA Block"
http://www.assmann-wsw.com/fileadmin/datasheets/datasheet_DN-91516S_230920130818.pdf,-,DN-91516S-ND,DN-91516S,Assmann WSW Components,PATCH PNL 19"" RJ45 CAT5E,0,0,"59.90000","0","1","Digitus®","Active","Modular Panel","RJ45","16","1","LSA Block"
-,-,CPPL24WRBLY-ND,CPPL24WRBLY,Panduit Corp,"PATCH PANEL, 24 PORT, RECESSED,",0,0,"62.97000","0","1","-","Active","-","-","-","-","-"
https://gp1.wpc.edgecastcdn.net/00AC62/documents/catalogs/LITPDNCS_US_CAT.pdf,-,RMA1X6-ND,RMA1X6,HellermannTyton,AUDIO DISTRIBUTION MODULE,0,0,"67.08100","0","50","-","Active","Audio Jack Panel","-","6","1","-"
https://assets.tripplite.com/product-pdfs/en/n49208dlc.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_N492-08D-LC.jpg,N492-08D-LC-ND,N492-08D-LC,Tripp Lite,TOOLLESS PASS-THROUGH FIBER PATC,0,0,"67.31000","0","1","-","Active","Patch Panel, Fiber","LC","16","2","-"
-,-,GSTPP-1U24SC-ND,GSTPP-1U24SC,HellermannTyton,"GST MODULAR PATCH PANEL 24 PORT,",0,0,"68.00000","0","1","-","Active","Modular Panel, Keystone","GST Jack (Not Provided)","24","1","-"
-,-,CFAPPBL2A-ND,CFAPPBL2A,Panduit Corp,FIBER ADAPTER PATCH PANEL ANGLED,0,0,"68.99000","0","1","-","Active","-","-","-","-","-"
http://www.assmann-wsw.com/fileadmin/datasheets/DN-91350-1.pdf,-,DN-91350-B-ND,DN-91350-B,Assmann WSW Components,PATCH PNL 19"" RJ45 CAT3,0,0,"70.17000","0","1","Digitus®","Active","Modular Panel","RJ45","50","2","LSA Block"
