Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Height","Length - Center to Center","Thread/Screw/Hole Size","Material","Mounting Type"
http://www.keyelco.com/product-pdf.cfm?p=1686,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-524-ND,524,Keystone Electronics,HANDLE .312""DIA 10-32THREAD ALUM,0,247,"6.97000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","4.500"" (114.30mm)","#10-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1695,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_7145.jpg,36-7145-ND,7145,Keystone Electronics,HANDLE INSTR RND .312""DIA BRASS,0,464,"7.07000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","3.000"" (76.20mm)","#10-32","Brass","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1683,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-521-ND,521,Keystone Electronics,HANDLE .312""DIA 10-32THREAD ALUM,0,304,"7.09000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.000"" (127.00mm)","#10-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1656,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-484-ND,484,Keystone Electronics,HANDLE RND 0.250""DIA 1.50""H BRSS,0,0,"7.09000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","6.000"" (152.40mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1661,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_48x.jpg,36-489-ND,489,Keystone Electronics,HANDLE RND 0.250""DIA 1.75""H BRSS,0,0,"7.09000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","6.000"" (152.40mm)","#8-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1710,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_717x.jpg,36-7178-ND,7178,Keystone Electronics,HANDLE INSTR RND .312""DIA ALUM,0,655,"7.14000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","6.000"" (152.40mm)","#10-32","Aluminum","Screw Holes, Back"
-,-,ST-08.096.22-ND,ST-08.096.22,"Davies Molding, LLC",HANDLE 2 POINT STEEL,0,0,"7.15100","0","10","ST","Active","Instrumentation","1.299"" (33.00mm)","3.780"" (96.00mm)","M4","Steel","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1683,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_5xy.jpg,36-522-ND,522,Keystone Electronics,HANDLE .312""DIA 10-32THREAD ALUM,0,0,"7.23000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.500"" (139.70mm)","#10-32","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1669,//media.digikey.com/Photos/Keystone%20Elect%20Photos/496.jpg,36-493-ND,493,Keystone Electronics,HANDLE RND 0.312""DIA 1.75""H BRSS,0,406,"7.47000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","4.000"" (101.60mm)","#10-32","Brass, Nickel Finish","Screw Holes, Back"
-,-,S1-12.088.01-ND,S1-12.088.01,"Davies Molding, LLC",PULL HANDLE,0,0,"7.64300","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","3.465"" (88.01mm)","M5","Aluminum","Screw Holes, Back"
-,-,S1-12.055.01-ND,S1-12.055.01,"Davies Molding, LLC",PULL HANDLE,0,0,"7.74700","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","2.165"" (55.00mm)","M5","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1666,//media.digikey.com/Photos/Keystone%20Elect%20Photos/496.jpg,36-491-ND,491,Keystone Electronics,HANDLE RND 0.312""DIA 1.50""H BRSS,0,0,"7.75000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.000"" (127.00mm)","#10-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1669,//media.digikey.com/Photos/Keystone%20Elect%20Photos/496.jpg,36-495-ND,495,Keystone Electronics,HANDLE RND 0.312""DIA 1.75""H BRSS,0,199,"7.75000","0","100","-","Active","Instrumentation","1.750"" (44.45mm)","5.000"" (127.00mm)","#10-32","Brass, Nickel Finish","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1666,//media.digikey.com/Photos/Keystone%20Elect%20Photos/496.jpg,36-492-ND,492,Keystone Electronics,HANDLE BRASS 10/32THR .312""DIA,0,281,"7.89000","0","100","-","Active","Instrumentation","1.500"" (38.10mm)","5.500"" (139.70mm)","#10-32","Brass, Nickel Finish","Screw Holes, Back"
-,-,S1-12.025.01-ND,S1-12.025.01,"Davies Molding, LLC",PULL HANDLE,0,0,"8.08400","0","10","S1","Active","Instrumentation","1.575"" (40.00mm)","0.984"" (25.00mm)","M5","Aluminum","Screw Holes, Back"
http://www.keyelco.com/product-pdf.cfm?p=1700,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_7150.jpg,36-7150-ND,7150,Keystone Electronics,HANDLE INSTR RND .375""DIA BRASS,0,1469,"8.21000","0","100","-","Active","Instrumentation","1.375"" (34.93mm)","4.000"" (101.60mm)","#10-32","Brass","Screw Holes, Back"
-,-,ST-05.032.22-ND,ST-05.032.22,"Davies Molding, LLC",HANDLE 2 POINT STEEL,0,0,"8.25800","0","10","ST","Active","Instrumentation","0.827"" (21.00mm)","1.260"" (32.00mm)","M3","Steel","Screw Holes, Back"
