Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size / Dimension","Features","Color","Material","For Use With/Related Products","Ventilation"
http://www.budind.com/pdf/hb14212.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/RM-14222.jpg,377-1392-ND,RM-14222,Bud Industries,CHASSIS RACKMOUNT 5.25""X 22"",25,0,"70.40000","0","1","-","Active","Chassis, Open","22.000"" L x 17.000"" W x 5.250"" H (558.80mm x 431.80mm x 133.35mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Vented"
-,//media.digikey.com/Photos/Schroff/20860120.JPG,1439-1126-ND,20860120,Schroff,RCKMNT CHASSIS 19"" 1U 84HP 220MM,71,0,"82.34000","0","1","multipacPRO","Active","Chassis, Enclosed","8.661"" L x 17.598"" W x 1.720"" H (220.00mm x 447.00mm x 43.70mm)","-","Natural","Metal, Steel","19"" Panel Width Racks","Non-Vented"
http://www.budind.com/pdf/hb14212.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/RM-14223.jpg,377-1393-ND,RM-14223,Bud Industries,CHASSIS RACKMOUNT 7"" X 22"",77,0,"82.60000","0","1","-","Active","Chassis, Open","22.000"" L x 17.000"" W x 7.000"" H (558.80mm x 431.80mm x 177.80mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Vented"
http://www.budind.com/pdf/hb14400.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/CH-14404.jpg,377-1209-ND,CH-14404,Bud Industries,RACK SMALL MNT CHASSIS ALUMINUM,82,33,"86.75000","0","1","-","Active","Chassis, Open","16.120"" L x 17.000"" W x 3.500"" H (409.45mm x 431.80mm x 88.90mm)","-","Natural","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RSVS1921.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RSVS1921BK1.jpg,HM1609-ND,RSVS1921BK1,Hammond Manufacturing,SHELF SLIDE 21X16.6X1.5"" BLACK,22,134,"131.25000","0","1","RS","Active","Shelf, Sliding","21.000"" L x 16.640"" W x 1.500"" H (533.40mm x 422.66mm x 38.10mm)","-","Black","Metal, Steel","19"" Panel Width Racks","Vented"
http://www.budind.com/pdf/hb14101.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/HC-14101.jpg,377-1239-ND,HC-14101,Bud Industries,CHASSIS VALULINE 3.5"" X 17"" X13"",22,0,"157.70000","0","1","Valuline","Active","Chassis, Enclosed","13.000"" L x 17.000"" W x 3.500"" H (330.20mm x 431.80mm x 88.90mm)","Handles","White","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.hammondmfg.com/pdf/RM3U1908SBK.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM3U1908SBK.jpg,HM1001-ND,RM3U1908SBK,Hammond Manufacturing,CHASSIS 8X16.6X5.25"" BLACK,20,6,"161.63000","0","1","RM","Active","Chassis, Enclosed","8.000"" L x 16.600"" W x 5.250"" H (203.20mm x 421.64mm x 133.35mm)","-","Black","Metal, Aluminum","19"" Panel Width Racks","Non-Vented"
http://www.budind.com/pdf/hb1785.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/KS-1785-BT.jpg,377-1244-ND,KS-1785-BT,Bud Industries,SHELF SLIDING KEYBOARD ASSEMBLY,6,0,"165.30000","0","1","-","Active","Shelf, Keyboard, Sliding","20.500"" L x 18.312"" W x 3.468"" H (520.70mm x 465.12mm x 88.09mm)","Mouse Pad","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
"//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Drawers,Slides-Panel_Mount.pdf",//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RDRW1900316BK1.jpg,HM1596-ND,RDRW1900316BK1,Hammond Manufacturing,DRAWER 16.1X17.4X3.5"" BLACK,8,81,"179.90000","0","1","RDRW","Active","Drawer, Enclosed, Locking, Pull Out","16.070"" L x 17.360"" W x 3.500"" H (408.18mm x 440.94mm x 88.90mm)","Handles, Locks","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
"//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Drawers,Slides-Panel_Mount.pdf",//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RDRW1900322BK1.jpg,HM2266-ND,RDRW1900322BK1,Hammond Manufacturing,DRAWER 22.1X17.4X3.5"" BLACK,9,75,"185.50000","0","1","RDRW","Active","Drawer, Enclosed, Locking, Pull Out","22.070"" L x 17.360"" W x 3.500"" H (560.58mm x 440.94mm x 88.90mm)","Handles, Locks","Black","Metal, Steel","19"" Panel Width Racks","Non-Vented"
