Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Features","For Use With/Related Products"
http://www.hammondmfg.com/pdf/9R3pg97-101P.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_XPFA120BK.jpg,HM5839-ND,XPFA120BK,Hammond Manufacturing,RACK - FILTER GRILL BLACK,60,1023,"17.33000","0","1","XPFA","Active","Fan Grill","-","Square 4.70"" Fan"
https://www.hammfg.com/dci/products/accessories/1421n.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421NP-Series.jpg,HM2629-ND,1421NP25,Hammond Manufacturing,CLIP NUT STEEL 10-32 25/PK,52,229,"17.58000","0","1","1421NP","Active","Mounting Hardware","Clip Nuts","Enclosures"
https://www.hammfg.com/dci/products/accessories/1421a.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1421A100B.jpg,HM827-ND,1421A100B,Hammond Manufacturing,MACH SCRW OVAL COMB 10-32 100/PK,30,20,"18.90000","0","1","1421","Active","Mounting Hardware","Screws","Enclosures"
http://web.schroff.de/style/catalogues/ep23/e/05_e_desktop_cases.pdf,//media.digikey.com/Photos/Schroff/24560884.JPG,1439-1192-ND,24560884,Schroff,SUBRACK INSUL STRIP 84HP 10PCS,67,0,"21.61000","0","1","ratiopacPRO","Active","Insulation Strip","-","Backplanes"
http://www.panduit.com/heiler/PartDrawings/10J017CC-JC_00A.PDF,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_UGB-IN-SO.jpg,298-15926-ND,UGB-IN-SO,Panduit Corp,UNIV GROUND BAR INSUL STAND-OF,22,0,"22.68000","0","1","StructuredGround™","Active","Grounding Kit","-","Cabinet Racks"
https://www.hammfg.com/files/parts/pdf/CAGKIT1032-50.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_CAGKIT1032-100.jpg,HM5273-ND,CAGKIT1032-50,Hammond Manufacturing,CAGE NUT COMB 50/PK,54,111,"28.80000","0","1","-","Active","Mounting Hardware","Nuts, Screws, Washers","Rack Mount Equipment"
//media.digikey.com/pdf/Data%20Sheets/Hammond%20PDFs/Hardware_1421.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/1421CNA100.jpg,HM1477-ND,1421CNA100,Hammond Manufacturing,CAGE NUT STEEL 10-32 100/PK,20,33,"28.80000","0","1","1421CN","Active","Mounting Hardware","Caged Nuts","Enclosures"
http://www.hammondmfg.com/pdf/RASA12_16.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RASA16BK3.jpg,HM767-ND,RASA16BK3,Hammond Manufacturing,ANGLE SUPPORT ADJ BLACK 14.95"",14,581,"28.90000","0","1","RASA","Active","Support Brackets","Angled","Cabinet Racks"
http://www.budind.com/pdf/hb1861.pdf,//media.digikey.com/photos/BUD%20Industries%20Photos/RC-7758-PR.jpg,377-1264-ND,RC-7758-PR,Bud Industries,CASTER HEAVY DUTY 1 PAIR,74,0,"32.90000","0","1","-","Active","Casters, Wheels","Heavy Duty, Non-Locking 2","Open and Enclosed Cabinet Racks"
http://www.budind.com/pdf/hb5000.pdf,"//media.digikey.com/photos/BUD%20Industries%20Photos/mfgAS-5000-A,AS-5001-A,AS-5002-A,AS-5004-A.jpg",377-1201-ND,AS-5002-A,Bud Industries,SLIDE 3/4 EXTENSION 20"" PAIR,48,9,"35.10000","0","1","AS","Active","Mounting Brackets","Sliding Mechanism","Cabinet Racks"
https://www.hammfg.com/dci/products/accessories/1421a.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1421A100W.jpg,HM828-ND,1421A100W,Hammond Manufacturing,WASHER CUP 10-32 PLASTIC 100/PK,17,27,"36.00000","0","1","1421","Active","Mounting Hardware","Washers","Enclosures"
https://www.hammfg.com/electrical/products/climate/skt.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/SKT011419NO-C.JPG,HM1613-ND,SKT011419NO-C,Hammond Manufacturing,THERMOSTAT CELSIUS NO BLUE,56,727,"36.13000","0","1","SKT","Active","Thermostat","Normally Open","Cabinet Racks"
https://www.hammfg.com/electrical/products/climate/skt.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_SKT011409NC.jpg,HM1679-ND,SKT011409NC-C,Hammond Manufacturing,THERMOSTAT CELSIUS NC RED,26,421,"36.13000","0","1","SKT","Active","Thermostat","Normally Closed","Cabinet Racks"
https://www.hammfg.com/dci/products/accessories/brp.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_BRP1UBK.jpg,HM2316-ND,BRP1UBK,Hammond Manufacturing,PANEL RACK BRUSHED BLK 1U,53,72,"36.55000","0","1","BRP","Active","Cable Management","-","19"" Panel Width Racks"
http://www.budind.com/pdf/hb1351.pdf,"//media.digikey.com/photos/BUD%20Industries%20Photos/CSB-1352,CSB-1353,CSB-1354,CSB-1355,CSB-8180,CSB-8181.jpg",377-2071-ND,CSB-1355,Bud Industries,BRACKT CHASS SUPPRT 28X3.73""PAIR,45,0,"39.00000","0","1","-","Active","Support Brackets","-","Chassis"
https://www.hammfg.com/electrical/products/accessories/grdkit.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_GRDKIT01.jpg,HM5448-ND,GRDKIT02,Hammond Manufacturing,GROUND CABLE KIT,23,66,"40.00000","0","1","-","Active","Grounding Kit","6 Jumper Wires","Enclosures"
https://assets.tripplite.com/product-pdfs/en/srcagenuts.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SRCAGENUTS.jpg,TL1204-ND,SRCAGENUTS,Tripp Lite,KIT SCREWS/WASHERS 1=50SETS,16,0,"40.14000","0","1","SmartRack™","Active","Hardware Kit","Nuts, Screws, Washers","SmartRack™ Enclosures"
-,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_CLPKIT1032-25.jpg,HM5298-ND,CLPKIT1032,Hammond Manufacturing,SCREWS AND CLIP NUTS 10-32 100EA,31,0,"42.30000","0","1","CLPKIT","Active","Mounting Hardware","-","Rack Mount Equipment"
https://assets.tripplite.com/product-pdfs/en/sr1ubrush.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SR1UBRUSH.jpg,TL1224-ND,SR1UBRUSH,Tripp Lite,CABINET COOLING BRUSH STRIP 1URM,44,0,"43.11000","0","1","SmartRack™","Active","Plate, Front","-","Cable Management Cover"
https://www.hammfg.com/files/parts/pdf/RM1U18BRKT.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM1U18BRKT.jpg,HM1599-ND,RM1U18BRKT,Hammond Manufacturing,BRACKET REAR KIT FOR 1U,22,60,"45.01000","0","1","RM","Active","Mounting Brackets","-","RM1U1918SBK, RM1U1918VBK"
https://www.hammfg.com/files/parts/pdf/RM2U18BRKT.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM2U18BRKT.jpg,HM1601-ND,RM2U18BRKT,Hammond Manufacturing,BRACKET REAR KIT FOR 2U,13,3,"49.52000","0","1","RM","Active","Mounting Brackets","-","RM2U1918SBK, RM2U1918VBK"
https://www.hammfg.com/files/parts/pdf/CAGKIT1032-100.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_CAGKIT1032-100.jpg,HM5272-ND,CAGKIT1032-100,Hammond Manufacturing,CAGE-NUT COMBO 10-32 100/PK,21,99,"52.50000","0","1","-","Active","Screw","-","Rack Mount Equipment"
https://www.hammfg.com/electrical/products/modular/grdbar.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_GRDBAR19.jpg,HM2319-ND,GRDBAR19,Hammond Manufacturing,BUSBAR COPPER RACK 19"" HRZNTL,8,206,"52.80000","0","1","GRDBAR","Active","Bus Bar","-","Cabinet Racks"
https://www.hammfg.com/dci/products/accessories/1421n.pdf,//media.digikey.com/photos/Hammond%20Mfg%20Photos/1421N100.jpg,HM1479-ND,1421N100,Hammond Manufacturing,CLIP NUT STEEL 10-32 100/PK,16,39,"53.38000","0","1","1421N","Active","Mounting Hardware","Clip Nuts","Enclosures"
https://www.hammfg.com/files/parts/pdf/RM3U18BRKT.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/RM3U18BRKT.jpg,HM1602-ND,RM3U18BRKT,Hammond Manufacturing,BRACKET REAR KIT FOR 3U,20,17,"54.45000","0","1","RM","Active","Mounting Brackets","-","RM3U1918SBK, RM3U1918VBK"
http://www.hammondmfg.com/pdf/RSLIDE22.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RSLIDE22.jpg,HM771-ND,RSLIDE22,Hammond Manufacturing,SLIDE RAIL MOUNTED 22X19"" PAIR,13,29,"60.80000","0","1","2000","Active","Rails","Sliding Mechanism","Cabinet Racks"
https://www.hammfg.com/dci/products/accessories/raab.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_RAAB2436BK.jpg,HM2323-ND,RAAB2436BK,Hammond Manufacturing,ANGLE BRKT ADJ RKMNT 24-36"",37,206,"64.00000","0","1","RAAB","Active","Support Brackets","-","19"" or 23"" Panel Width Racks"
https://assets.tripplite.com/product-pdfs/en/4postrailkit1u.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_4POSTRAILKIT1U.jpg,TL1818-ND,4POSTRAILKIT1U,Tripp Lite,SERVER CABINET SHELF KIT 1U,27,0,"64.54000","0","1","SmartRack™","Active","Rails","-","UPS Systems"
https://www.hammfg.com/files/parts/pdf/CCR22TZPL.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/CCR22TZPL.JPG,HM2191-ND,CCR22TZPL,Hammond Manufacturing,RACK PANEL RAIL,23,25,"67.20000","0","1","CCR","Active","Rails","For 22.75"" Panel (2 pieces)","C2, C3, REFK Series"
http://www.panduit.com/heiler/SpecificationSheets/D-GRSP01--SA-ENG-StructGrdUnivGrdBarSys-W.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_UGB2%5E0-414-18.jpg,298-10528-ND,UGB2/0-414-18,Panduit Corp,18 PORT UNIVERSAL GROUND BAR,13,0,"73.50000","0","1","StructuredGround™","Active","Grounding Kit","Ports - 18","Cabinet Racks"
http://www.hammondmfg.com/pdf/CCR35TZPL.pdf,//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_CCR35TZPL.jpg,HM2192-ND,CCR35TZPL,Hammond Manufacturing,RAILS TAPPED 35"" PANEL HEIGT 1PR,25,182,"80.25000","0","1","CCR","Active","Rails","For 35"" Panel (2 pieces)","C2, C3, REFK Series"
