Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
http://advdownload.advantech.com/productfile/PIS/BB-VESR901/Product%20-%20Datasheet/VESR900%20Copper%20series_1416ds20171129112438.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_VESR902T.jpg,1165-1068-ND,BB-VESR902T,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,6,97,"315.18000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","2"
http://advdownload.advantech.com/productfile/PIS/BB-VESR901/Product%20-%20Datasheet/VESR900%20Copper%20series_1416ds20171129112438.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_VESR9%20SERIES.jpg,1165-1179-ND,BB-VESR902D,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,5,0,"316.21000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","2"
https://www.lantronix.com/wp-content/uploads/pdf/XPress-DR_PB.pdf,//media.digikey.com/Photos/LANTRONIX/XSDRSN-03.JPG,1829-1055-ND,XSDRSN-03,"Lantronix, Inc.",ETHERNET TO SER RS-232/422/485,20,0,"354.00000","0","1","XPress™","Active","Ethernet to Serial","RS-232/422/485","2"
https://www.lantronix.com/wp-content/uploads/pdf/XPress-DR-Plus_PB.pdf,//media.digikey.com/Photos/LANTRONIX/XSDR22000-01.jpg,1829-1030-ND,XSDR22000-01,"Lantronix, Inc.",ETHERNET TO SERIAL 2 PORT INDUST,5,0,"398.00000","0","1","XPress™","Active","Ethernet to Serial","-","2"
https://www.digi.com/pdf/prd_ds_portserverts.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/MFG_PortServerTS.JPG,602-1532-ND,70002043,Digi International,ETHERNET TO SERIAL RS-232,20,0,"410.00000","0","1","PortServer™ TS","Active","Ethernet to Serial","RS-232","2"
http://advdownload.advantech.com/productfile/PIS/BB-ESP901/Product%20-%20Datasheet/ESP90x_5012ds20171129110947.pdf,//media.digikey.com/Photos/B&B%20Electronics/ESP904.JPG,1165-1236-ND,BB-ESP904,"B&B SmartWorx, Inc.",ETHERNET TO SER RS-232/422/485,17,54,"521.18000","0","1","Vlinx™","Active","Ethernet to Serial","RS-232/422/485","4"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2313452.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2313452.jpg,277-2995-ND,2313452,Phoenix Contact,ETHERNET TO SER RS-232/422/485,5,42,"543.00000","0","1","-","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.digi.com/pdf/prd_ds_portservertspmei.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/70001992.jpg,602-2018-ND,70001992,Digi International,ETHERNET TO SER RS-232/422/485,17,0,"569.00000","0","1","PortServer™ TS P","Active","Ethernet to Serial","RS-232/422/485","2"
https://www.digi.com/pdf/prd_ds_digioneiaphaz.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/MFG_70002326.JPG,602-1513-ND,70002326,Digi International,ETHERNET TO SER RS-232/422/485,19,0,"638.00000","0","1","DigiOne® IAP Haz","Active","Ethernet to Serial","RS-232/422/485","1"
https://www.anybus.com/docs/librariesprovider7/default-document-library/manuals-design-guides/hms-hmsi-27-316.pdf,//media.digikey.com/Photos/HMS-Industrial-Networks/AB7072-B.jpg,1976-1006-ND,AB7072-B,HMS Networks,SERIAL-ETHERNET/IP CONVERTER,10,0,"735.90000","0","1","Communicator™, EtherNet/IP™","Active","Converter, Serial to Ethernet","RS-232/422/485","2"
https://www.anybus.com/docs/librariesprovider7/default-document-library/manuals-design-guides/hms-hmsi-27-309.pdf,//media.digikey.com/Photos/HMS-Industrial-Networks/AB7013-C_view1.jpg,1976-1004-ND,AB7013-C,HMS Networks,SERIAL-PROFINET CONVERTER,6,0,"735.90000","0","1","Communicator™, PROFINET®","Active","Converter, Serial to PROFINET","RS-232/422/485","1"
