Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Configuration","Copper Ports","Copper Type","Fiber Ports","Fiber Type","SFP/XFP Ports","Features","Distance","MTU","Voltage - Input","Connector Type","Mounting Type","Ingress Protection","Operating Temperature"
-,-,850-14221-ND,850-14221,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1290-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14222-ND,850-14222,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1310-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14223-ND,850-14223,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1330-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14224-ND,850-14224,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1350-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14225-ND,850-14225,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1370-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14226-ND,850-14226,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1390-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14227-ND,850-14227,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1410-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14228-ND,850-14228,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1430-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14229-ND,850-14229,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1450-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14230-ND,850-14230,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1470-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14231-ND,850-14231,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1490-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14232-ND,850-14232,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1510-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14233-ND,850-14233,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1530-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14234-ND,850-14234,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1550-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14235-ND,850-14235,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1570-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14236-ND,850-14236,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1590-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,850-14237-ND,850-14237,"B&B SmartWorx, Inc.","IMCV-LIM, 10/100-CWDM-SM1610-SC",0,0,"615.00000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
-,-,854-17746-ND,854-17746,"B&B SmartWorx, Inc.",IE MINIFIBERLINX-II/LASTGASP MOD,0,0,"619.50000","0","1","Bulk","IE-MiniFiberLinX-II","Active","Managed","Fixed","1","10/100","1","Singlemode","-","-","60km","-","-","RJ45, SC","Chassis Mount, DIN Rail","-","-"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_850-155xy%20Series.jpg,BB-850-15513-ND,BB-850-15513,"B&B SmartWorx, Inc.",IMCV SNMP MANAGEABLE CONVRTR,0,0,"620.00000","0","1","Bulk","iMcV","Active","Managed","Modular - Card","1","10/100/1000","1","Gigabit (Singlemode)","-","LFPT, SNMP Manageable","40km","-","-","RJ45, SC","Rack Mount","-","0°C ~ 50°C"
http://advdownload.advantech.com/productfile/PIS/BB-850-18108/Product%20-%20Datasheet/IE-IMcV-T1-E1-J1_LineTerm_1017ds20171129111320.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_850-181xy.jpg,BB-850-18125-ND,BB-850-18125,"B&B SmartWorx, Inc.","IE-IMCV-T1/E1/J1-LINETERM, TP/SS",0,0,"620.00000","0","1","Bulk","iMcV","Active","Managed","Modular - Card","1","T1/E1/J1","1","100BASE-FX (Singlemode)","-","SNMP Manageable","40km","-","-","RJ48, SC","Rack Mount","-","0°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/B&B%20Smartworx%20PDFs/PoE(+)Giga-McBasic_Man.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_852-11xyz.jpg,BB-852-11912-ND,BB-852-11912,"B&B SmartWorx, Inc.",POE GIGA MCBASIC 2TX/SX-MM850-SC,0,0,"620.00000","0","1","Bulk","Giga-McBasic","Active","-","Fixed","2","10/100/1000","1","Gigabit (Multimode)","-","LFPT","550m","Jumbo","100 ~ 240VAC","RJ45, SC","Chassis Mount","-","0°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/B&B%20Smartworx%20PDFs/PoE(+)Giga-McBasic_Man.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_852-11xyz.jpg,BB-852-11913-ND,BB-852-11913,"B&B SmartWorx, Inc.",POE GIGA MCBASIC 2TX/LX-MM1300-S,0,0,"620.00000","0","1","Bulk","Giga-McBasic","Active","-","Fixed","2","10/100/1000","1","Gigabit (Multimode)","-","LFPT","2km","Jumbo","100 ~ 240VAC","RJ45, SC","Chassis Mount","-","0°C ~ 50°C"
