Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Memory Size","Memory Type","Type","Speed - Read","Speed - Write","Operating Temperature","Size / Dimension"
http://consumer.apacer.com/eng/upload/download/20170413142730_banner_.pdf,-,AP32GAH650S-ND,AP32GAH650S,Apacer Memory America,USB FLASH DRIVE 32GB USB 2.0/3.0,0,0,"78.62400","0","1000","AH650","Active","32GB","-","USB 2.0, 3.0","-","-","0°C ~ 60°C","64.40mm L x 22.80mm W x 10.30mm H"
-,-,SFU34096E1AE1TO-C-MS-1A1-STD-ND,SFU34096E1AE1TO-C-MS-1A1-STD,Swissbit,IND USB FLASH DRIVE U-500K 4 GB,0,0,"78.94000","0","1","U-500K","Active","4GB","FLASH - NAND (SLC)","USB 3.1","175MB/s","90MB/s","0°C ~ 70°C","67.80mm L x 18.00mm H x 8.30mm W"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA064GAG0CG-3TM-ND,APHA064GAG0CG-3TM,Apacer Memory America,USB FLASH DRIVE 64GB MLC 2.0/3.0,0,0,"80.13000","0","1","EH353","Active","64GB","FLASH - NAND (MLC)","USB 2.0, 3.0","185MB/s","95MB/s","0°C ~ 70°C","59.00mm L x 18.40mm W x 9.10mm H"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA064GAK0CG-3TM-ND,APHA064GAK0CG-3TM,Apacer Memory America,USB FLASH DRIVE 64GB MLC 2.0/3.0,0,0,"80.13000","0","1","EH353","Active","64GB","FLASH - NAND (MLC)","USB 2.0, 3.0","185MB/s","95MB/s","0°C ~ 70°C","59.00mm L x 18.40mm W x 9.10mm H"
http://eflash.apacerus.com/SPEC/USB/Drive/AH321_SLC&MLC_APHAxxxXX13XG-XXX_Spec_rev2.5.pdf,-,APHA004GT13EG-6T-ND,APHA004GT13EG-6T,Apacer Memory America,USB FLASH DRIVE 4GB SLC USB 2.0,0,0,"80.82000","0","1","AH321","Active","4GB","FLASH - NAND (SLC)","USB 2.0","28MB/s","21MB/s","-40°C ~ 85°C","53.60mm L x 19.00mm W x 8.00mm H"
http://eflash.apacerus.com/SPEC/USB/Drive/AH322_SLC&MLC_APHAxxxXX23XG-XXX_Spec_rev2.5.pdf,-,APHA004GT23EG-6T-ND,APHA004GT23EG-6T,Apacer Memory America,USB FLASH DRIVE 4GB SLC USB 2.0,0,0,"80.82000","0","1","AH322","Active","4GB","FLASH - NAND (SLC)","USB 2.0","28MB/s","21MB/s","-40°C ~ 70°C","52.18mm L x 18.00mm W x 8.50mm H"
//media.digikey.com/pdf/Data%20Sheets/ATP%20Electronics%20PDFs/Nanodura_Series_Spec.pdf,-,AF8GUFP3NC(I)-OEM-ND,AF8GUFP3NC(I)-OEM,"ATP Electronics, Inc.",USB FLASH DRIVE 8GB SLC USB 2.0,0,0,"84.10500","0","1000","-","Active","8GB","FLASH - NAND (SLC)","USB 2.0","21MB/s","16MB/s","-40°C ~ 85°C","26.60mm L x 12.00mm W x 4.50mm H"
-,-,SFU34096E1AE1TO-I-MS-1A1-STD-ND,SFU34096E1AE1TO-I-MS-1A1-STD,Swissbit,IND USB FLASH DRIVE U-500K 4 GB,0,0,"84.42000","0","1","U-500K","Active","4GB","FLASH - NAND (SLC)","USB 3.1","175MB/s","90MB/s","-40°C ~ 85°C","67.80mm L x 18.00mm H x 8.30mm W"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA064GAG0EG-3TM-ND,APHA064GAG0EG-3TM,Apacer Memory America,USB FLASH DRIVE 64GB MLC 2.0/3.0,0,0,"86.33000","0","1","EH353","Active","64GB","FLASH - NAND (MLC)","USB 2.0, 3.0","185MB/s","95MB/s","-40°C ~ 85°C","59.00mm L x 18.40mm W x 9.10mm H"
//media.digikey.com/pdf/Data%20Sheets/Apacer/APHAzzzzax0xG-xT(M).pdf,-,APHA064GAK0EG-3TM-ND,APHA064GAK0EG-3TM,Apacer Memory America,USB FLASH DRIVE 64GB MLC 2.0/3.0,0,0,"86.33000","0","1","EH353","Active","64GB","FLASH - NAND (MLC)","USB 2.0, 3.0","185MB/s","95MB/s","-40°C ~ 85°C","59.00mm L x 18.40mm W x 9.10mm H"
http://eflash.apacerus.com/spec/USB/Drive/EH353/Industrial-USB_EH353.pdf,//media.digikey.com/Photos/Apacer%20Photos/APHA064GAG0EG-1TM.jpg,APHA004GAG0EG-2T-ND,APHA004GAG0EG-2T,Apacer Memory America,USB FLASH DRV 4GB SLC USB2.0/3.0,0,0,"87.02000","0","1","EH353","Active","4GB","FLASH - NAND (SLC)","USB 2.0, 3.0","65MB/s","50MB/s","-40°C ~ 85°C","59.00mm L x 18.40mm W x 9.10mm H"
https://www.swissbit.com/wp-content/uploads/2015/03/swissbit_prduktbroschuere_10_2014_150dpi_v1.pdf,//media.digikey.com/Photos/Swissbit%20NA%20Inc/SFU22048E3BP2TO-I-MS-121-STD.JPG,SFU24096E3BP2TO-C-DT-121-STD-ND,SFU24096E3BP2TO-C-DT-121-STD,Swissbit,USB FLASH DRIVE 4GB SLC USB 2.0,0,0,"90.07000","0","1","unitedCONTRAST II","Active","4GB","FLASH - NAND (SLC)","USB 2.0","32MB/s","23MB/s","0°C ~ 70°C","67.85mm L x 17.97mm W x 8.35mm H"
-,-,SFU3064GC1AE2TO-C-LF-1A1-STD-ND,SFU3064GC1AE2TO-C-LF-1A1-STD,Swissbit,IND USB FLASH DRIVE U-50N 64 GB,0,0,"93.07000","0","1","U-50N","Active","64GB","FLASH - NAND (MLC)","USB 3.1","135MB/s","65MB/s","0°C ~ 70°C","24.00mm L x 12.10mm H x 4.50mm W"
https://industrial.apacer.com/upfiles/ADUpload/allshare/USB_Drive_AH321-M.pdf,-,APHA032GT13EG-CM-ND,APHA032GT13EG-CM,Apacer Memory America,USB FLASH DRIVE 32GB MLC USB 2.0,0,0,"93.73876","0","500","AH321","Active","32GB","FLASH - NAND (MLC)","USB 2.0","33MB/s","16MB/s","-40°C ~ 85°C","53.30mm L x 18.80mm W x 8.00mm H"
http://eflash.apacerus.com/spec/USB/Drive/AH322/Industrial-USB_AH322.pdf,-,APHA032GT23EG-CM-ND,APHA032GT23EG-CM,Apacer Memory America,USB FLASH DRIVE 32GB MLC USB 2.0,0,0,"93.73876","0","500","AH322","Active","32GB","FLASH - NAND (MLC)","USB 2.0","33MB/s","16MB/s","-40°C ~ 85°C","55.29mm L x 18.00mm W x 8.50mm H"
