Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Kit Type","Main Purpose","Interconnect System","Suggested Programming Environment","Utilized IC / Part","Included MCU/MPU Board(s)"
http://learn.flotil.la/getting-started,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_PIM023.jpg,1778-1095-ND,PIM023,Pimoroni Ltd,FLOTILLA - MEDIUM STARTER KIT,5,0,"44.15000","0","1","Flotilla","Active","Starter Kit","Inventor Kit","Flotilla","Rockpool","ATmega32U4","Flotilla Dock"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-13708_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-13708_A.jpg,1568-1850-ND,KIT-13708,SparkFun Electronics,SIMON SAYS SOLDER KIT W/HANDBOOK,2,0,"44.95000","0","1","Simon Says","Active","Solder","Through Hole Practice","-","-","ATmega328","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14007_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14007.jpg,1568-1627-ND,KIT-14007,SparkFun Electronics,PIRETROCADE FOR RASPBERRY PI,2,0,"45.00000","0","1","PiRetrocade","Active","Components","Accessories Kit","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/PIM359_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_PIM359.JPG,1778-PIM359-ND,PIM359,Pimoroni Ltd,INCLUDES MICRO:BIT � MINI.MU GLO,1,0,"45.22000","0","1","-","Active","Project Kit","Sound Generator","micro:bit","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/KIT0003_Web.pdf,//media.digikey.com/Photos/DFRobot/KIT0003.jpg,1738-KIT0003-ND,KIT0003,DFRobot,ECODUINO -  AN AUTO PLANTING KIT,1,0,"55.52000","0","1","EcoDuino","Active","Project Kit","MCU","-","Arduino IDE","ATmega32U4","DFR0198"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/PIM420_Web.pdf,-,1778-PIM420-ND,PIM420,Pimoroni Ltd,LINEAR (QUIET) KEYS KEYBOW MINI,5,0,"60.11000","0","1","-","Active","Project Kit","Lighting Kit","Raspberry Pi Zero WH (40 pin)","-","-","Raspberry Pi Zero WH"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/PIM407_Web.pdf,-,1778-1251-ND,PIM407,Pimoroni Ltd,PICADE CONSOLE,0,0,"67.92000","0","1","Picade","Active","Starter Kit","Arcade Game Kit","-","RetroPie","-","Picade X HAT"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/KIT-14488_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_KIT-14488.jpg,1568-1726-ND,KIT-14488,SparkFun Electronics,SPECTACLE MOTION KIT,1,0,"93.75000","0","1","-","Active","Motion Kit","Motor Control","-","-","-","-"
http://cdn2.evilmadscience.com/KitInstrux/bulbdial/bulbdialInstrux.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_EMS-955_A.jpg,1778-1129-ND,EMS 955,Pimoroni Ltd,BULBDIAL CLOCK KIT,2,0,"96.02000","0","1","-","Active","Project Kit","-","-","-","-","-"
https://reference.digilentinc.com/_media/reference/microprocessor/basys-mx3/basys_mx3_rm.pdf,"//media.digikey.com/photos/Digilent,%20Inc/410-336.JPG",1286-1189-ND,410-336,"Digilent, Inc.",BASYS MX3: PIC32MX TRAINER BOARD,1,0,"99.00000","0","1","-","Active","Trainer","MCU","-","MPLAB X","PIC32MX370","Basys MX3"
