Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Main Purpose","Type","Specifications"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14014_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/DEV-14014.JPG,1568-1459-ND,DEV-14014,SparkFun Electronics,LED YELLOW LILYPAD 5PCS,7,0,"2.95000","0","1","LilyPad","Active","Lighting","LED Yellow","5 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14010_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/DEV-14010.jpg,1568-1461-ND,DEV-14010,SparkFun Electronics,LILYPAD LED PINK (5PCS),5,0,"2.95000","0","1","LilyPad","Active","Lighting","LED Pink","5 Pieces"
https://github.com/sparkfun/LilyPad_LED_Rainbow,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-13903.jpg,1568-1455-ND,DEV-13903,SparkFun Electronics,DEV BOARD LILYPAD LED STRIP 7CLR,20,0,"3.50000","0","1","LilyPad","Active","Lighting","LED Rainbow","7 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/114990055_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_114990055.jpg,1597-1480-ND,114990055,"Seeed Technology Co., Ltd",CONDUCTIVE STAINLESS STEEL SEWIN,0,0,"3.57000","0","1","-","Active","Sewing","Conductive Thread","72.17' (22m)"
https://cdn-learn.adafruit.com/downloads/pdf/conductive-thread.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_603.jpg,1528-1254-ND,603,Adafruit Industries LLC,THREAD 316L THIN CONDUCTIVE 35',21,0,"4.50000","0","1","-","Active","Sewing","Conductive Thread","35' (10.66m)"
https://learn.adafruit.com/downloads/pdf/getting-started-with-flora.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1260.jpg,1528-1310-ND,1260,Adafruit Industries LLC,FLORA PLATFORM RGB NEOPXL V2 4PK,21,0,"7.95000","0","1","Flora","Active","Lighting","Neopixel","4 Pieces"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1167_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1167.jpg,1528-2741-ND,1167,Adafruit Industries LLC,KNIT CONDUCTIVE FABRIC - SILVER,12,0,"9.95000","0","1","-","Active","Sewing","Conductive Fabric","7.87"" x 7.87"" (200mm x 200mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-12921_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-12921.jpg,1568-1576-ND,DEV-12921,SparkFun Electronics,LILYPAD XBEE,3,0,"14.95000","0","1","LilyPad","Active","RF","XBEE","-"
https://github.com/sparkfun/LilyPad_Accelerometer-ADXL335/tree/V_2.0,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-09267.jpg,1568-1538-ND,DEV-09267,SparkFun Electronics,LILYPAD ACCELEROMETER ADXL335,24,0,"15.50000","0","1","LilyPad","Active","Sensor","Accelerometer","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-14063_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_DEV-14063.jpg,1568-1471-ND,DEV-14063,SparkFun Electronics,LILYPAD LILYMINI PROTOSNAP,20,0,"15.95000","0","1","LilyPad","Active","MCU","ATSAMD11D14A-M","ProtoSnap"
