Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Title","Author(s)","Publisher","ISBN"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449345372.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449345372.JPG,1653-1014-ND,9781449345372,O'Reilly Media,GETTING STARTED WITH BEAGLEBONE,4,0,"14.99000","0","1","-","Active","Book","MAKE: Getting Started with BeagleBone","Matt Richardson","Maker Media, Inc.","978-1-4493-4537-2"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/125964376X_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_125964376X.jpg,1751-1020-ND,125964376X,McGraw-Hill Education,BOOK: PROGRAMMING FPGAS,1,0,"15.96000","0","1","-","Active","Book","Programming FPGAs","Simon Monk","McGraw-Hill Education","9781259643767"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/007177596X_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_007177596X.jpg,1751-1019-ND,007177596X,McGraw-Hill Education,BOOK: ARDUINO + ANDROID PROJECTS,4,0,"19.95000","0","1","-","Active","Book","Arduino + Android Projects for the Evil Genius","Simon Monk","McGraw-Hill Education","9780071775960"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449367084.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449367084.JPG,1653-1017-ND,9781449367084,O'Reilly Media,GETTING STARTED WITH SENSORS,9,0,"19.99000","0","1","-","Active","Book","MAKE: Getting Started with Sensors","Kimmo Karvinen, Tero Karvinen","Maker Media, Inc.","978-1-4493-6708-4"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449363338.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449363338.JPG,1653-1013-ND,9781449363338,O'Reilly Media,GETTING STARTED WITH ARDUINO,7,0,"19.99000","0","1","-","Active","Book","MAKE: Getting Started with Arduino (3rd Edition)","Massimo Banzi, Michael Shiloh","Maker Media, Inc.","978-1-4493-6333-8"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449320560.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449320560.JPG,1653-1022-ND,9781449320560,O'Reilly Media,MAKER'S NOTEBOOK,7,0,"19.99000","0","1","-","Active","Book","Maker's Notebook","The Editors of Make","Maker Media, Inc.","978-1-4493-2056-0"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680452464_WEB.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680452464.jpg,1653-1039-ND,9781680452464,O'Reilly Media,GETTING STARTED W/RASPBERRY PI,6,0,"19.99000","0","1","-","Active","Book","MAKE: Getting Started with Raspberry Pi (3rd Edition)","Matt Richardson, Shawn Wallace","Maker Media, Inc.","978-1-68045-246-4"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449360665.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449360665.JPG,1653-1004-ND,9781449360665,O'Reilly Media,MAKE: BASIC ARDUINO PROJECTS,5,0,"19.99000","0","1","-","Active","Book","MAKE: Basic Arduino Projects","Don Wilcher","Maker Media, Inc.","978-1-4493-6066-5"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457187018.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457187018.JPG,1653-1018-ND,9781457187018,O'Reilly Media,GETTING STARTED WITH THE PHOTON,4,0,"19.99000","0","1","-","Active","Book","MAKE: Getting Started with the Photon","Simon Monk","Maker Media, Inc.","978-1-4571-8701-8"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680451177.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680451177.jpg,1653-1033-ND,9781680451177,O'Reilly Media,FORREST MIMS' SCIENCE EXPERIMENT,2,0,"19.99000","0","1","-","Active","Book","MAKE: Forrest Mims' Science Experiment","Forrest M. Mims III","Maker Media, Inc.","978-1-68045-117-7"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449345228.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449345228.JPG,1653-1003-ND,9781449345228,O'Reilly Media,MAKE: ANALOG SYNTHESIZERS,1,0,"22.99000","0","1","-","Active","Book","MAKE: Analog Synthesizers","Ray Wilson","Maker Media, Inc.","978-1-4493-4522-8"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449333898.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449333898.JPG,1653-1007-ND,9781449333898,O'Reilly Media,ENCYCLOPEDIA OF ELEC COMP V1,5,0,"24.99000","0","1","-","Active","Book","MAKE: Encyclopedia of Electronic Components Volume 1","Charles Platt","Maker Media, Inc.","978-1-4493-3389-8"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457185946.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457185946.JPG,1653-1012-ND,9781457185946,O'Reilly Media,GETTING STARTED WITH TRINKET,4,0,"26.99000","0","1","-","Active","Book","MAKE: Getting Started with Adafruit Trinket","Mike Barela","Maker Media, Inc.","978-1-4571-8594-6"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781449334185.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781449334185.JPG,1653-1008-ND,9781449334185,O'Reilly Media,ENCYCLOPEDIA OF ELEC COMP V2,5,0,"29.99000","0","1","-","Active","Book","MAKE: Encyclopedia of Electronic Components Volume 2","Charles Platt","Maker Media, Inc.","978-1-4493-3418-5"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781457187094.pdf,//media.digikey.com/Photos/O%27Reilly-Media/9781457187094.JPG,1653-1005-ND,9781457187094,O'Reilly Media,MAKE: BLUETOOTH,4,0,"29.99000","0","1","-","Active","Book","MAKE: Bluetooth","Alasdair Allan","Maker Media, Inc.","978-1-4571-8709-4"
//media.digikey.com/pdf/Data%20Sheets/O'Reilly_PDFs/9781680451719.pdf,//media.digikey.com/Photos/O'Reilly-Media/MFG_9781680451719.jpg,1653-1041-ND,9781680451719,O'Reilly Media,MAKE:DRONES TEACH ARDUINO TO FLY,2,0,"29.99000","0","1","-","Active","Book","MAKE: Drones","David McGriffy","Maker Media, Inc.","978-1-68045-171-9"
//media.digikey.com/pdf/Data%20Sheets/McGraw%20Hill%20Ed%20PDFs/1259587541_Web.pdf,//media.digikey.com/Photos/McGraw-Hill%20Education/MFG_1259587541.jpg,1751-1013-ND,1259587541,McGraw-Hill Education,BOOK: PRACTICAL ELECTRONICS,2,0,"30.00000","0","1","-","Active","Book","Practical Electronics for Inventors (4th Edition)","Paul Scherz, Simon Monk","McGraw-Hill Education","9781259587542"
