Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Tape Type","Adhesive","Backing, Carrier","Thickness","Thickness - Adhesive","Thickness - Backing, Carrier","Width","Length","Color","Usage","Temperature Range"
https://multimedia.3m.com/mws/media/103938O/3m-insulating-and-conductive-tapes-product-bulletin.pdf,//media.digikey.com/Photos/3M%20Photos/40PR-3%5E4X36YD%20(2).JPG,3M159191-ND,40PR-3/4""X36YD,3M,TAPE ESD CLEAR/BLACK 3/4""X 36YD,122,0,"17.19000","0","1","Roll","40","Active","Antistatic - ESD Symbols","Acrylic","Polyester Film","0.0022"" (2.2 mils, 0.056mm)","-","-","0.75"" (19.05mm) 3/4""","108' (32.9m) 36 yds","Clear, Black Print","Anti-Static","-"
http://multimedia.3m.com/mws/media/37390O/3m-polyester-film-electrical-tape-56.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_56-72YD.jpg,3M157372-ND,56-YELLOW-3/4""X72YD,3M,TAPE MASKING YELLOW 3/4""X 72YDS,433,0,"17.69000","0","1","Roll","56","Active","Masking","Rubber","Polyester Film","0.0023"" (2.3 mils, 0.058mm)","0.0013"" (1.3 mils, 0.033mm)","0.0010"" (1.0 mils, 0.025mm)","0.75"" (19.05mm) 3/4""","216' (66.0m) 72 yds","Yellow","Insulating","266°F (130°C) Max"
https://multimedia.3m.com/mws/media/887990O/3m-electrical-tape-mastics-special-use-tapes-2013-catalog.pdf,//media.digikey.com/Photos/3M%20Photos/2229-1X10FT.JPG,SCP479-ND,2229-1X10FT,3M,TAPE MASTIC TAPE BLK 1""X 3.3YDS,116,0,"18.60000","0","1","Roll","Scotch-Seal™ 2229","Active","Mastic Tape","-","-","0.1250"" (125.0 mils, 3.175mm) 1/8""","-","-","1.00"" (25.40mm)","10' (3.0m) 3.3 yds","Black","Insulating, Padding, Sealing","32 ~ 100°F (0 ~ 38°C)"
http://multimedia.3m.com/mws/media/136011O/3mtm-polyimide-film-tape-5413-tds.pdf,//media.digikey.com/Photos/3M%20Photos/1%5E2-5-5413.jpg,3M10235-ND,1/2-5-5413,3M (TC),TAPE FILM AMBER 1/2""X 5YDS,284,0,"18.88000","0","1","Roll","5413","Active","Film","Silicone Thermosetting","Polyimide","0.0027"" (2.7 mils, 0.069mm)","0.0017"" (1.7 mils, 0.043mm)","0.0010"" (1.0 mils, 0.025mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Amber","Masking, High Temperature","-100 ~ 500°F (-73 ~ 260°C)"
-,//media.digikey.com/Photos/3M%20Photos/MFG_471-BLACK.jpg,3M155898-ND,1-5-5906,3M (TC),TAPE DBL COATED BLACK 1""X 5YDS,140,0,"18.96000","0","1","-","VHB™ 5906","Active","Double Coated, Double Sided","Acrylic","Acrylic Foam","0.0060"" (6.0 mils, 0.152mm)","-","-","1.00"" (25.40mm)","15' (4.6m) 5 yds","Black","General Purpose","200°F (93°C)"
http://multimedia.3m.com/mws/media/37464O/scotch-professional-grade-vinyl-electrical-tape-super-88.pdf,//media.digikey.com/Photos/3M%20Photos/88-SUPER-1X36YD.jpg,3M157404-ND,88-SUPER-1X36YD,3M,TAPE ELECTRICAL BLACK 1""X 36YDS,110,0,"19.95000","0","1","Roll","Scotch® Super 88","Active","Electrical","Pressure Sensitive Adhesive (PSA)","PVC (Poly Vinyl Chloride)","0.0085"" (8.5 mils, 0.216mm)","-","-","1.00"" (25.40mm)","108' (32.9m) 36 yds","Black","General Purpose","176°F (80°C)"
http://multimedia.3m.com/mws/media/986695O/3m-vhb-tape-specialty-tapes.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_4905-5YD.jpg,3M10161-ND,1/2-5-4905,3M (TC),TAPE DBL COATED CLEAR 1/2""X 5YDS,281,0,"20.94000","0","1","Roll","VHB™ 4905","Active","Double Coated, Double Sided","Acrylic","Polyethylene Film","0.0200"" (20.0 mils, 0.508mm)","-","-","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Clear","General Purpose","200°F (93°C)"
http://multimedia.3m.com/mws/media/137442O/high-tack-dc-w-300-adhesive-444-444pc-9009-9019-9039.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_444.jpg,3M159238-ND,444-1/2""X36YD,3M,TAPE DBL COATED WHT 1/2""X 36YDS,233,0,"21.21000","0","1","Roll","444","Active","Double Coated, Double Sided","Acrylic, 300","Polycoated Kraft Liner","0.0039"" (3.9 mils, 0.099mm)","0.0020"" (2.0 mils, 0.051mm)","0.0019"" (1.9 mils, 0.048mm)","0.50"" (12.70mm) 1/2""","108' (32.9m) 36 yds","White","Insulating, Sealing, Splicing","70°F ~ 100°F (21°C ~ 38°C)"
http://documents.desco.com/PDF/47026.pdf,//media.digikey.com/Photos/Desco%20Photos/MFG_47026.jpg,16-1295-ND,47026,Desco,TAPE HI TEMP GOLD 1/4""X 36YD,131,0,"21.62000","0","1","Roll","Protektive Pak®","Active","High Temp Polyimide","Conductive Silicon","Polyimide","0.0024"" (2.4 mils, 0.061mm)","0.0010"" (1.0 mils, 0.025mm)","0.0014"" (1.4 mils, 0.036mm)","0.25"" (6.35mm) 1/4""","108' (32.9m) 36 yds","Gold","Wave Soldering","500°F (260°C)"
http://multimedia.3m.com/mws/media/41163O/3m-scotchrap-tapes-50-51-pipe-primer-3m-scotchfil-putty.pdf,//media.digikey.com/photos/3M%20Photos/50-UNPRINTED-2X100FT-BULK.JPG,3M155794-ND,50-UNPRINTED-2X100FT-BULK,3M,TAPE PROTECTIVE BLK 2""X 33.3YDS,266,0,"27.56000","0","1","Roll","Scotchrap™","Active","Protective","High Tack","PVC (Poly Vinyl Chloride)","0.0100"" (10.0 mils, 0.254mm)","-","-","2.00"" (50.80mm)","100' (30.5m) 33.3 yds","Black","Corrosion Protection","-54 ~ 176°F (-48  ~ 80°C)"
http://multimedia.3m.com/mws/media/120497O/ptfe-extruded-film-tape-5490-5491.pdf,//media.digikey.com/Photos/3M%20Photos/1%5E2-5-5490.jpg,3M10252-ND,1/2-5-5490,3M (TC),TAPE FILM GRAY 1/2""X 5YDS,177,0,"27.68000","0","1","Roll","5490","Active","Film","Silicone","PTFE (Polytetrafluoroethylene)","0.0037"" (3.7 mils, 0.094mm)","0.0017"" (1.7 mils, 0.043mm)","0.0020"" (2.0 mils, 0.051mm)","0.50"" (12.70mm) 1/2""","15' (4.6m) 5 yds","Gray","Masking, Protection, Sealing","-65 ~ 400°F (-54 ~ 204°C)"
http://multimedia.3m.com/mws/media/326683O/vhbtm-adhesive-transfer-tapes-f9460pc-f9469pc-f9473pc.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_F9460PC.jpg,3M156787-ND,F9460PC,3M,TAPE ADHSV TRNSFR CLR 1/2""X 60YD,809,0,"33.49000","0","1","Roll","VHB™ F9460PC","Active","Adhesive Transfer","Acrylic, 100MP","Polycoated Kraft Liner","0.0060"" (6.0 mils, 0.152mm)","0.0020"" (2.0 mils, 0.051mm)","0.0040"" (4.0 mils, 0.102mm)","0.50"" (12.70mm) 1/2""","180' (55.0m) 60 yds","Clear","Attachment, High Temperature Applications","300°F (149°C)"
http://multimedia.3m.com/mws/media/137442O/high-tack-dc-w-300-adhesive-444-444pc-9009-9019-9039.pdf,//media.digikey.com/Photos/3M%20Photos/MFG_444.jpg,3M157338-ND,444-1""X36YD,3M,TAPE DBL COATED WHITE 1""X 36YDS,121,0,"33.57000","0","1","Roll","444","Active","Double Coated, Double Sided","Acrylic, 300","Polycoated Kraft Liner","0.0039"" (3.9 mils, 0.099mm)","0.0020"" (2.0 mils, 0.051mm)","0.0019"" (1.9 mils, 0.048mm)","1.00"" (25.40mm)","108' (32.9m) 36 yds","White","Insulating, Sealing, Splicing","70°F ~ 100°F (21°C ~ 38°C)"
