Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Voltage - Input","Output","Type","Size / Dimension","Mounting Type"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12598-5M.pdf,//media.digikey.com/photos/JKL/BXA-12598-5M.jpg,289-1118-ND,BXA-12598-5M,JKL Components Corp.,INVERTER DIMMING SINGLE 12V 5MA,0,0,"Obsolete","0","100","-","Obsolete","12V","1200V","CCFL and UV Lamps","3.74"" L x 0.65"" W x 0.26"" H (95mm x 16.5mm x 6.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12610-7M.pdf,//media.digikey.com/photos/JKL/BXA-12610-7M.jpg,289-1119-ND,BXA-12610-7M,JKL Components Corp.,INVERTER DIMMING DUAL 12V 7MA,0,0,"Obsolete","0","100","-","Obsolete","12V","1800V","CCFL and UV Lamps","6.50"" L x 0.71"" W x 0.30"" H (165mm x 18mm x 7.5mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/BXA-12613-7M.pdf,//media.digikey.com/photos/JKL/BXA-12613-7M.jpg,289-1120-ND,BXA-12613-7M,JKL Components Corp.,INVERTER DIMMING DUAL 12V 7MA,0,0,"Obsolete","0","100","-","Obsolete","12V","1000V","CCFL and UV Lamps","5.31"" L x 0.63"" W x 0.31"" H (135mm x 16mm x 8mm)","Chassis Mount"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1125-ND,NDL-212,JKL Components Corp.,INVERTER 80-120CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.93"" L x 0.93"" W x 0.75"" H (23.5mm x 23.5mm x 19mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1126-ND,NDL-210,JKL Components Corp.,INVERTER 70-100CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.93"" L x 0.93"" W x 0.75"" H (23.5mm x 23.5mm x 19mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1127-ND,NDL-208,JKL Components Corp.,INVERTER 60-140CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.93"" L x 0.93"" W x 0.75"" H (23.5mm x 23.5mm x 19mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1128-ND,NDL-206,JKL Components Corp.,INVERTER 40-100CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.93"" L x 0.93"" W x 0.75"" H (23.5mm x 23.5mm x 19mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1129-ND,NDL-106,JKL Components Corp.,INVERTER 40-80CM2 FOR EL LAMP,0,0,"Obsolete","0","1000","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.87"" L x 0.83"" W x 0.55"" H (22mm x 21mm x 14mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1130-ND,NDL-104,JKL Components Corp.,INVERTER 25-40CM2 FOR EL LAMP,0,0,"Obsolete","0","1000","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.87"" L x 0.83"" W x 0.55"" H (22mm x 21mm x 14mm)","Through Hole"
//media.digikey.com/pdf/Data%20Sheets/JKL%20PDFs/NDL_Series.pdf,-,289-1131-ND,NDL-102,JKL Components Corp.,INVERTER 20-30CM2 FOR EL LAMP,0,0,"Obsolete","0","100","-","Obsolete","3 ~ 5.5V","80 V ~ 120 V","Electroluminescent (EL) Backlighting","0.87"" L x 0.83"" W x 0.55"" H (22mm x 21mm x 14mm)","Through Hole"
