Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Current - DC Forward (If) (Max)","Radiant Intensity (Ie) Min @ If","Wavelength","Voltage - Forward (Vf) (Typ)","Viewing Angle","Orientation","Operating Temperature","Mounting Type","Package / Case"
http://www.vishay.com/docs/81894/vsmb3940.pdf,//media.digikey.com/Photos/Vishay%20Photos/VSMB3940X01-GS08.JPG,VSMB3940X01-GS08CT-ND,VSMB3940X01-GS08,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,25918,0,"0.81000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","7mW/sr @ 1000mA","940nm","1.35V","120°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, J-Lead"
http://www.vishay.com/docs/81894/vsmb3940.pdf,//media.digikey.com/Photos/Vishay%20Photos/VSMB3940X01-GS08.JPG,VSMB3940X01-GS08DKR-ND,VSMB3940X01-GS08,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,25918,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Infrared (IR)","100mA","7mW/sr @ 1000mA","940nm","1.35V","120°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, J-Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496004/SFH%204056.pdf,//media.digikey.com/photos/Osram%20Opto%20Photos/SFH%204056.jpg,475-3042-2-ND,SFH 4056,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA SMD,136000,0,"0.25066","0","2000","Tape & Reel (TR)","CHIPLED","Active","Infrared (IR)","70mA","35mW/sr @ 70mA","860nm","1.6V","44°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, No Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496004/SFH%204056.pdf,"//media.digikey.com/photos/Osram%20Opto%20Photos/MFG_SFH-40(4,5)6.jpg",475-3042-1-ND,SFH 4056,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA SMD,136466,0,"0.89000","0","1","Cut Tape (CT)","CHIPLED","Active","Infrared (IR)","70mA","35mW/sr @ 70mA","860nm","1.6V","44°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, No Lead"
https://dammedia.osram.info/media/resource/hires/osram-dam-2496004/SFH%204056.pdf,//media.digikey.com/photos/Osram%20Opto%20Photos/SFH%204056.jpg,475-3042-6-ND,SFH 4056,OSRAM Opto Semiconductors Inc.,EMITTER IR 860NM 70MA SMD,136466,0,"Digi-Reel","0","1","Digi-Reel®","CHIPLED","Active","Infrared (IR)","70mA","35mW/sr @ 70mA","860nm","1.6V","44°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, No Lead"
http://www.vishay.com/docs/81033/tsml1000.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/TSMF1020.jpg,751-1221-2-ND,TSML1020,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,18000,0,"0.28950","0","1000","Tape & Reel (TR)","-","Active","Infrared (IR)","100mA","3mW/sr @ 20mA","940nm","1.2V","24°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/81033/tsml1000.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/TSMF1020.jpg,751-1221-1-ND,TSML1020,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,19683,0,"0.96000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","3mW/sr @ 20mA","940nm","1.2V","24°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/81033/tsml1000.pdf,//media.digikey.com/Renders/Vishay%20Semi%20Renders/TSMF1020.jpg,751-1221-6-ND,TSML1020,Vishay Semiconductor Opto Division,EMITTER IR 940NM 100MA SMD,19683,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Infrared (IR)","100mA","3mW/sr @ 20mA","940nm","1.2V","24°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/83398/vsmy2850.pdf,//media.digikey.com/Photos/Vishay%20Photos/MFG_VSMY2850GX01.jpg,VSMY2850GTR-ND,VSMY2850G,Vishay Semiconductor Opto Division,EMITTER IR 850NM 100MA SMD,120000,0,"0.29025","0","6000","Tape & Reel (TR)","-","Active","Infrared (IR)","100mA","50mW/sr @ 100mA","850nm","1.65V","20°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/83398/vsmy2850.pdf,//media.digikey.com/Photos/Vishay%20Photos/MFG_VSMY2850GX01.jpg,VSMY2850GCT-ND,VSMY2850G,Vishay Semiconductor Opto Division,EMITTER IR 850NM 100MA SMD,127115,0,"1.06000","0","1","Cut Tape (CT)","-","Active","Infrared (IR)","100mA","50mW/sr @ 100mA","850nm","1.65V","20°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/83398/vsmy2850.pdf,//media.digikey.com/Photos/Vishay%20Photos/MFG_VSMY2850GX01.jpg,VSMY2850GDKR-ND,VSMY2850G,Vishay Semiconductor Opto Division,EMITTER IR 850NM 100MA SMD,127115,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Infrared (IR)","100mA","50mW/sr @ 100mA","850nm","1.65V","20°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/83398/vsmy2850.pdf,//media.digikey.com/Photos/Vishay%20Photos/MFG_VSMY2850RGX01.jpg,VSMY2850RGTR-ND,VSMY2850RG,Vishay Semiconductor Opto Division,EMITTER IR 850NM 100MA SMD,54000,0,"0.29025","0","6000","Tape & Reel (TR)","SurfLight™","Active","Infrared (IR)","100mA","50mW/sr @ 100mA","850nm","1.65V","20°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/83398/vsmy2850.pdf,//media.digikey.com/Photos/Vishay%20Photos/MFG_VSMY2850RGX01.jpg,VSMY2850RGCT-ND,VSMY2850RG,Vishay Semiconductor Opto Division,EMITTER IR 850NM 100MA SMD,57850,0,"1.06000","0","1","Cut Tape (CT)","SurfLight™","Active","Infrared (IR)","100mA","50mW/sr @ 100mA","850nm","1.65V","20°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
http://www.vishay.com/docs/83398/vsmy2850.pdf,//media.digikey.com/Photos/Vishay%20Photos/MFG_VSMY2850RGX01.jpg,VSMY2850RGDKR-ND,VSMY2850RG,Vishay Semiconductor Opto Division,EMITTER IR 850NM 100MA SMD,57850,0,"Digi-Reel","0","1","Digi-Reel®","SurfLight™","Active","Infrared (IR)","100mA","50mW/sr @ 100mA","850nm","1.65V","20°","Top View","-40°C ~ 85°C (TA)","Surface Mount","2-SMD, Gull Wing"
