Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Color","Size / Dimension","Contents"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/623_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_623.jpg,1528-1257-ND,623,Adafruit Industries LLC,PANEL ELECTROLUM EL 10X10CM AQUA,0,0,"13.95000","0","1","-","Active","EL Panel","Aqua","3.937"" L x 3.937"" W (100.00mm x 100.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/624_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/624.jpg,1528-1258-ND,624,Adafruit Industries LLC,PANEL ELECTROLUM EL 10X10CM BLUE,0,0,"13.95000","0","1","-","Active","EL Panel","Blue","3.937"" L x 3.937"" W (100.00mm x 100.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/625_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_625.jpg,1528-1259-ND,625,Adafruit Industries LLC,PANEL ELECTROLUM EL 10X10CM WHT,0,0,"13.95000","0","1","-","Active","EL Panel","White","3.937"" L x 3.937"" W (100.00mm x 100.00mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/545_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_545.jpg,1528-1247-ND,545,Adafruit Industries LLC,STARTER PACK EL WIRE AQUA 2.5M,0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","Aqua","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/546_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_546.jpg,1528-1248-ND,546,Adafruit Industries LLC,STARTER PACK EL WIRE WHITE 2.5M,0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","White","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/583_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_583.jpg,1528-1249-ND,583,Adafruit Industries LLC,WIRE STARTER PK EL BLU 2.5M-8.2',0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","Blue","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/585_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_585.jpg,1528-1250-ND,585,Adafruit Industries LLC,WIRE STARTER PK EL YLW 2.5M-8.2',0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","Yellow","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/586_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_586.jpg,1528-1251-ND,586,Adafruit Industries LLC,WIRE STARTER PK EL ORN 2.5M-8.2',0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","Orange","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/587_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_587.jpg,1528-1252-ND,587,Adafruit Industries LLC,WIRE STARTER PK EL RED 2.5M-8.2',0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","Red","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/588_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_588.jpg,1528-1253-ND,588,Adafruit Industries LLC,WIRE STARTER PK EL PNK 2.5M-8.2',0,0,"19.95000","0","1","-","Active","EL Wire (Starter Pack)","Pink","8.2' (2.5m)","Copper Tape, EL Wire, Foam Tape, Heat Shrink, Inverter"
