Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Configuration","Number of LEDs","Color","Controller Type","Utilized LED","Interface","Mounting Type","Size / Dimension"
https://cdn-shop.adafruit.com/product-files/2477/2477.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_2477.jpg,1528-1495-ND,2477,Adafruit Industries LLC,ADDRESS LED DISK SERIAL RGB,0,0,"134.95000","0","1","Dotstar","Active","Disk","255","Red, Green, Blue (RGB)","-","APA102","Serial (Shift Register)","User Defined","240mm Dia"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3803_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3803.jpg,3803-ND,3803,Adafruit Industries LLC,ADDRESS LED 64X32 FLEX RGB MATRX,0,0,"137.44000","0","1","-","Active","Module","2048 (32 x 64)","Red, Green, Blue (RGB)","-","-","Serial","Surface Mount","320.00mm L x 160.00mm W"
https://cdn-learn.adafruit.com/downloads/pdf/digital-led-strip.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_306.jpg,1528-1226-ND,306,Adafruit Industries LLC,ADDRESS LED STRIP SERIAL RGB 5M,0,0,"149.75000","0","1","-","Active","Strip","160","Red, Green, Blue (RGB)","LPD8806","-","Serial (Shift Register)","User Defined","5000.00mm L"
https://cdn-shop.adafruit.com/datasheets/1948_5m.pdf,-,1528-2773-ND,1948,Adafruit Industries LLC,DIGITAL RGB LED WEATHERPROOF STR,0,0,"174.75000","0","1","-","Active","Strip","48","Red, Green, Blue (RGB)","-","-","Serial","User Defined","1000.00mm L"
-,//media.digikey.com/Photos/Parallax%20Photos/32325.JPG,32325-ND,32325,Parallax Inc.,ADDRESS LED BLINK M SMART LED,0,0,"Obsolete","0","1","-","Obsolete","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/RGB_Panel_Hookup_Guide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12583.jpg,1568-1229-ND,COM-12583,SparkFun Electronics,ADDRESS LED MATRIX RGB,0,0,"Obsolete","0","1","-","Obsolete","Matrix","512 (16 x 32)","Red, Green, Blue (RGB)","-","-","-","User Defined","-"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/RGB_Panel_Hookup_Guide_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_COM-12584.jpg,1568-1230-ND,COM-12584,SparkFun Electronics,ADDRESS LED MATRIX RGB,0,0,"Obsolete","0","1","-","Obsolete","Matrix","1024 (32 x 32)","Red, Green, Blue (RGB)","-","-","-","User Defined","-"
https://github.com/sparkfun/Serial7SegmentDisplay/wiki/Serial-7-Segment-Display-Datasheet,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11440.jpg,1568-1532-ND,COM-11440,SparkFun Electronics,ADDRESS LED 7 SEG I2C GREEN,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","Green","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
https://github.com/sparkfun/Serial7SegmentDisplay/wiki/Serial-7-Segment-Display-Datasheet,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11443.jpg,1568-1534-ND,COM-11443,SparkFun Electronics,ADDRESS LED 7 SEG I2C YELLOW,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","Yellow","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
https://github.com/sparkfun/Serial7SegmentDisplay/wiki/Serial-7-Segment-Display-Datasheet,//media.digikey.com/photos/Sparkfun%20Elec%20%20Photos/MFG_COM-11644.jpg,COM-11647-ND,COM-11647,SparkFun Electronics,ADDRESS LED 7 SEG I2C BLUE,0,0,"Obsolete","0","1","-","Obsolete","7 Segment","4 Digit","Blue","ATMega328","-","I²C, SPI, UART","User Defined","40.6mm L x 22.9mm W"
