Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Composition","Diameter","Melting Point","Flux Type","Wire Gauge","Process","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-7068-6403.jpg,KE1128-ND,24-7068-6403,Kester Solder,SOLDER WATER SOL .031"" 20AWG 1LB,63,0,"92.69000","0","1","331","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.031"" (0.79mm)","423 ~ 424°F (217 ~ 218°C)","Water Soluble","20 AWG, 22 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/SMD4300AX250T5.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SMD4300AX250T5.jpg,SMD4300AX250T5-ND,SMD4300AX250T5,Chip Quik Inc.,SOLDER PASTE SN63/PB37 250G T5,6,0,"98.95000","0","1","-","Active","Solder Paste","Sn63Pb37 (63/37)","-","361°F (183°C)","Water Soluble","-","Leaded","Jar, 8.8 oz (250g)","12 Months, 6 Months","Date of Manufacture","37°F ~ 46°F (3°C ~ 8°C)"
http://www.mgchemicals.com/downloads/tds/tds-4900.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_4900-454G.jpg,473-1103-ND,4900-454G,MG Chemicals,SOLDER LF SN96 21GAUGE 1LB,10,0,"99.98000","0","1","4900","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.032"" (0.81mm)","423 ~ 430°F (217 ~ 221°C)","No-Clean","20 AWG, 21 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","65°F ~ 80°F (18°C ~ 27°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/KESTER%20SOLDER-%2024-7068-6401.jpg,KE1126-ND,24-7068-6401,Kester Solder,SOLDER WATER SOL .020"" 24AWG 1LB,62,0,"103.88000","0","1","331","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.020"" (0.51mm)","423 ~ 424°F (217 ~ 218°C)","Water Soluble","24 AWG, 25 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
http://www.chipquik.com/datasheets/SMD4300SNL250T5.pdf,//media.digikey.com/photos/Chip%20Quik%20Photos/MFG_SMD4300SNL250T5.jpg,SMD4300SNL250T5-ND,SMD4300SNL250T5,Chip Quik Inc.,SOLDER PASTE SAC305 250G T5,5,0,"103.95000","0","1","-","Active","Solder Paste","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","-","423 ~ 428°F (217 ~ 220°C)","Water Soluble","-","Lead Free","Jar, 8.8 oz (250g)","6 Months, 2 Months","Date of Manufacture","37°F ~ 46°F (3°C ~ 8°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1091,//media.digikey.com/photos/Kester%20Photos/24-7068-1404.jpg,KE1124-ND,24-7068-1404,Kester Solder,SOLDER RA .050"" 16AWG 1LB,17,0,"106.39000","0","1","48","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.050"" (1.27mm)","423 ~ 424°F (217 ~ 218°C)","Rosin Activated (RA)","16 AWG, 18 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1051,//media.digikey.com/photos/Kester%20Photos/24-7068-6411.JPG,KE1130-ND,24-7068-6411,Kester Solder,SOLDER WATER SOL .062"" 14AWG 1LB,45,0,"107.49000","0","1","331","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.062"" (1.57mm)","423 ~ 424°F (217 ~ 218°C)","Water Soluble","14 AWG, 16 SWG","Lead Free","Spool, 1 lb (454 g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=3390,//media.digikey.com/Photos/Kester%20Photos/MFG_268-Flux-Cored-Wire.jpg,KE1809-ND,96-7069-9515,Kester Solder,SN96.5AG3.0CU0.5 3.3%/268 .015 5,13,0,"111.92000","0","1","268","Active","Wire Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","0.015"" (0.38mm)","423 ~ 424°F (217 ~ 218°C)","No-Clean","27 AWG, 28 SWG","Lead Free","Spool, 17.64 oz (500g)","-","-","50°F ~ 104°F (10°C ~ 40°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=4512,//media.digikey.com/Photos/Kester%20Photos/MFG_70-4823-0910.jpg,KE1816-ND,70-4823-0910,Kester Solder,NP560 SN96.5AG3.0CU0.5 T4 500 G,16,0,"121.36000","0","1","NP560","Active","Solder Paste","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","-","423 ~ 424°F (217 ~ 218°C)","No-Clean","-","Lead Free","Jar, 17.64 oz (500g)","9 Months","Date of Manufacture","32°F ~ 50°F (0°C ~ 10°C)"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1254,//media.digikey.com/photos/Kester%20Photos/04-7068-0000.JPG,KE1135-ND,04-7068-0000,Kester Solder,SOLDER BAR 1.66LB SN96.5AG3CU0.5,74,0,"124.12000","0","1","ULTRAPURE®","Active","Bar Solder","Sn96.5Ag3Cu0.5 (96.5/3/0.5)","-","423 ~ 424°F (217 ~ 218°C)","-","-","Lead Free","Bar, 1.66 lbs (750g)","-","-","-"
