Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Positions","Pitch","Outer Dimension","Inner Dimension","Thermal Center Pad","Material"
http://www.chipquik.com/datasheets/PA0033-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0033-S.JPG,PA0033-S-ND,PA0033-S,Chip Quik Inc.,TSSOP-14 STENCIL,1,0,"11.59000","0","1","Proto-Advantage PA","Active","TSSOP","14","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0004-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0004-S.JPG,PA0004-S-ND,PA0004-S,Chip Quik Inc.,SOIC-14 STENCIL,1,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","14","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0240-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0240-S.JPG,PA0240-S-ND,PA0240-S,Chip Quik Inc.,LQFP-48 STENCIL,1,0,"11.59000","0","1","Proto-Advantage PA","Active","LQFP","48","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.394"" L x 0.394"" W (10.00mm x 10.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0032-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0032-S.JPG,IPC0032-S-ND,IPC0032-S,Chip Quik Inc.,QFN-64 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","64","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.354"" L x 0.354"" W (9.00mm x 9.00mm)","0.150"" L x 0.150"" W (3.80mm x 3.80mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0223-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0223-S.JPG,PA0223-S-ND,PA0223-S,Chip Quik Inc.,TQFP-100 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","TQFP","100","0.016"" (0.40mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.472"" L x 0.472"" W (12.00mm x 12.00mm)","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0067-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0067-S.JPG,IPC0067-S-ND,IPC0067-S,Chip Quik Inc.,DFN-10 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","DFN","10","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","0.079"" L x 0.059"" W (2.00mm x 1.50mm)","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0011-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0011-S.JPG,IPC0011-S-ND,IPC0011-S,Chip Quik Inc.,QFN-20 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","20","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.157"" L x 0.157"" W (4.00mm x 4.00mm)","0.083"" L x 0.083"" W (2.10mm x 2.10mm)","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0017-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0017-S.JPG,IPC0017-S-ND,IPC0017-S,Chip Quik Inc.,QFN-28 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","28","0.020"" (0.50mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.197"" L x 0.197"" W (5.00mm x 5.00mm)","0.122"" L x 0.122"" W (3.10mm x 3.10mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0035-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0035-S.JPG,PA0035-S-ND,PA0035-S,Chip Quik Inc.,TSSOP-20 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","TSSOP","20","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/IPC0007-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_IPC0007-S.JPG,IPC0007-S-ND,IPC0007-S,Chip Quik Inc.,QFN-16 STENCIL,0,0,"11.59000","0","1","Proto-Advantage IPC","Active","QFN/LFCSP","16","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","0.157"" L x 0.157"" W (4.00mm x 4.00mm)","0.083"" L x 0.083"" W (2.10mm x 2.10mm)","Stainless Steel"
http://www.chipquik.com/datasheets/PA0006-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0006-S.JPG,PA0006-S-ND,PA0006-S,Chip Quik Inc.,SOIC-16 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","SOIC","16","0.050"" (1.27mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
http://www.chipquik.com/datasheets/PA0037-S.pdf,//media.digikey.com/Photos/Chip%20Quik%20Photos/MFG_PA0037-S.JPG,PA0037-S-ND,PA0037-S,Chip Quik Inc.,TSSOP-28 STENCIL,0,0,"11.59000","0","1","Proto-Advantage PA","Active","TSSOP","28","0.026"" (0.65mm)","1.300"" L x 0.900"" W (33.02mm x 22.86mm)","-","-","Stainless Steel"
