Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Form","Shelf Life","Shelf Life Start","Storage/Refrigeration Temperature","Shipping Info"
https://www.kester.com/downloads?Command=Core_Download&EntryId=4507,-,64-0002-3060-ND,64-0002-3060,Kester Solder,NF1060-VF SOLDERING FLUX 5 GAL,0,0,"278.40000","0","2","-","Active","Flux - No Clean","Container, 5 gal","12 Months","Date of Manufacture","40°F ~ 77°F (4°C ~ 25°C)","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=4049,-,64-0000-0977-ND,64-0000-0977,Kester Solder,977 SOLDERING FLUX 5 GAL,0,0,"309.12000","0","2","-","Active","Flux - Organic, Water-Soluble, Liquid","Container, 5 gal","36 Months","Date of Manufacture","40°F ~ 77°F (4°C ~ 25°C)","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=4063,-,65-0000-0979-ND,65-0000-0979,Kester Solder,979 SOLDERING FLUX 53 GAL,0,0,"1838.68000","0","1","-","Active","Flux - No Clean","Container, 53 gal","12 Months","Date of Manufacture","40°F ~ 77°F (4°C ~ 25°C)","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=4049,-,65-0000-0977-ND,65-0000-0977,Kester Solder,977 SOLDERING FLUX 53 GAL,0,0,"2047.92000","0","1","-","Active","Flux - Organic, Water-Soluble, Liquid","Container, 53 gal","36 Months","Date of Manufacture","40°F ~ 77°F (4°C ~ 25°C)","-"
//media.digikey.com/pdf/Data%20Sheets/Multicore%20PDFs/MF200-EN.pdf,-,82-146-ND,M00601,Multicore,MF200 FLUX PENS (NO-CLEAN) 10ML,0,0,"Obsolete","0","25","-","Obsolete","Flux - No Clean","Pen, 0.35 oz (10g)","12 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
//media.digikey.com/pdf/Data%20Sheets/ITW%20Chemtronics/CW3220.pdf,//media.digikey.com/Photos/Chemtronics/MFG_CW3220.jpg,CW3220-ND,CW3220,Chemtronics,FLUX,0,0,"Obsolete","0","8","CircuitWorks®","Obsolete","Flux Remover - Lead Free","Container, 1 qt","24 Months","Date of Manufacture","-","-"
-,-,CW8200BLK50-ND,CW8200BLK50,Chemtronics,FLUX RA PEN 0.32OZ 50PK,0,0,"Obsolete","0","1","CircuitWorks®","Obsolete","Flux - Rosin Activated (RA)","Pen, 0.32 oz (9g)","24 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
-,-,CW8600-ND,CW8600,Chemtronics,FLUX - NO CLEAN WATER SOLUBLE,0,0,"Obsolete","0","1","CircuitWorks®","Obsolete","Flux - No Clean, Water Soluble, Tacky Solder","Syringe, 0.12 oz (3.5g)","24 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
-,-,CW8710-ND,CW8710,Chemtronics,FLUX - NO CLEAN LF TACKY,0,0,"Obsolete","0","1","CircuitWorks®","Obsolete","Flux - No Clean, Lead Free, Tacky Solder","Syringe, 0.42 oz (12g)","24 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
-,-,CW9100BLK-ND,CW9100BLK,Chemtronics,FLUX RMVR - NO CLEAN PEN 0.32OZ,0,0,"Obsolete","0","1","CircuitWorks®","Obsolete","Flux Remover - No Clean","Pen, 0.32 oz (9g)","60 Months","Date of Manufacture","-","Due to possible restrictions, a change in ship method may be required."
-,-,KE1701-ND,84-0000-0044,Kester Solder,ROSIN PASTE FLUX 1LB CAN,0,0,"Obsolete","0","10","-","Obsolete","Flux - Rosin Activated (RA)","Can, 1 lb (453.59g)","24 Months","Date of Manufacture","-","-"
-,-,KE1700-ND,83-0000-0144,Kester Solder,ROSIN PASTE FLUX 2 OZ CAN,0,0,"Obsolete","0","12","-","Obsolete","Flux - Rosin Activated (RA)","Can, 2 oz (56.70g)","24 Months","Date of Manufacture","-","-"
//media.digikey.com/pdf/Data%20Sheets/Kester%20PDFs/TSF-6522_Global_(13Jun07)[1].pdf,-,KE1806-ND,57-0000-1553,Kester Solder,PASTE FLUX NO-CLEAN 10GM SYR,0,0,"Obsolete","0","30","TSF-6522","Obsolete","Flux - No Clean, Tacky Solder","Syringe, 0.35 oz (10g), 10cc","-","-","32°F ~ 50°F (0°C ~ 10°C)","-"
https://www.kester.com/downloads?Command=Core_Download&EntryId=1167,//media.digikey.com/photos/Kester%20Photos/57-0000-1525.jpg,KE1807-ND,300403,Kester Solder,PASTE FLUX NO-CLEAN 30GM SYR,0,0,"Discontinued at Digi-Key","0","25","TSF-6522","Discontinued at Digi-Key","Flux - No Clean, Tacky Solder","Syringe, 1.1 oz (31.18g)","6 Months","Date of Manufacture","32°F ~ 50°F (0°C ~ 10°C)","Ships with Cold Pack. To ensure customer satisfaction and product integrity, air shipment is recommended."
