Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Tip - Type","Tip - Shape","Height","Width","Length","Diameter","Tip - Chip Size","Temperature Range","For Use With/Related Products"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ETK,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETK.jpg,ETK-ND,ETK,Apex Tool Group,046"" X .026"" X 1.00"" TIP,283,0,"4.30000","0","1","Weller®, ET","Active","Soldering","Screwdriver","0.026"" (0.66mm)","0.047"" (1.19mm)","1.000"" (25.40mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETV.jpg,ETV-ND,ETV,Apex Tool Group,TIP SINGLE FLAT .024"",129,0,"4.30000","0","1","Weller®, ET","Active","Soldering","Flat, Single","-","0.024"" (0.60mm)","0.700"" (17.78mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETKN.JPG,ETKN-ND,ETKN,Apex Tool Group,KNIFE TIP FOR PES51 SOLDERING,119,0,"4.30000","0","1","Weller®, ET","Active","Soldering","Knife","0.064"" (1.63mm)","0.180"" (4.57mm)","0.625"" (15.88mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ETR,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETR.JPG,ETR-ND,ETR,Apex Tool Group,TIP REPLACEMENT CONICAL.031,688,0,"4.40000","0","1","Weller®, ET","Active","Soldering","Screwdriver","0.044"" (1.12mm)","0.063"" (1.60mm)","0.625"" (15.88mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETJ.jpg,ETJ-ND,ETJ,Apex Tool Group,TIP LONG SCREWDRIVER 1/32,318,0,"4.40000","0","1","Weller®, ET","Active","Soldering","Screwdriver","0.012"" (0.30mm)","0.031"" (0.80mm)","1.000"" (25.40mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ETAA,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETAA.jpg,ETAA-ND,ETAA,Apex Tool Group,TIP SINGLE FLAT 1/16,211,0,"4.40000","0","1","Weller®, ET","Active","Soldering","Flat, Single","0.040"" (1.02mm)","0.062"" (1.57mm)","0.625"" (15.88mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ETL,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETL.jpg,ETL-ND,ETL,Apex Tool Group,TIP LONG SCREWDRIVER 5/64,198,0,"4.40000","0","1","Weller®, ET","Active","Soldering","Screwdriver","0.027"" (0.69mm)","0.079"" (2.00mm)","1.000"" (25.40mm)","-","-","-","EC1201, PES50, PES51"
https://media-weller.de/weller/data/ebooks/epaper-Weller_Catalogue_2016-17_EN/index.html,//media.digikey.com/Photos/Apex%20Tool%20Photos/TETDD.JPG,TETDD-ND,TETDD,Apex Tool Group,TIP SINGLE FLAT 3/16,172,0,"4.40000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
https://media-weller.de/weller.php?action=send&modul_erp_article__lang=us&modul_erp_article__org_id=ETCC,//media.digikey.com/Photos/Apex%20Tool%20Photos/ETCC.jpg,ETCC-ND,ETCC,Apex Tool Group,TIP SINGLE FLAT 1/8,114,0,"4.40000","0","1","Weller®, ET","Active","Soldering","Flat, Single","0.031"" (0.80mm)","0.125"" (3.18mm)","0.625"" (15.88mm)","-","-","-","EC1201, PES50, PES51"
http://www.weller-toolsus.com/MagentoShare/media/mannuals/Soldering_Tip_Brochure.pdf,//media.digikey.com/Photos/Apex%20Tool%20Photos/LTGW.JPG,T0054441099N-ND,T0054441099N,Apex Tool Group,TIP GULL WING FOR WSP80,2598,0,"4.80000","0","1","Weller®, LT","Active","Soldering","Bevel 45°","0.126"" (3.20mm)","0.094"" (2.40mm)","0.700"" (17.78mm)","-","-","-","WP80, WSP80"
