Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Size","For Use With/Related Products","Specifications"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S2325-O-M-ND,S2325-O-M,MENDA/EasyBraid,SLDR SPNG 2.5X2.3"" CTR HOL 1000P,0,0,"1.12843","0","1000","Solder Soakers™","Active","Sponge","2.50"" L x 2.30"" W (63.5mm x 58.4mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Plain.pdf,//media.digikey.com/Photos/Menda-EasyBraid/MFG_S3020-P.jpg,S3020-P-M-ND,S3020-P-M,MENDA/EasyBraid,SOLDER SPONGE 3X2"" PLAIN 1000PK,0,0,"1.12843","0","1000","Solder Soakers™","Active","Sponge","3.00"" L x 2.00"" W (76.2mm x 50.8mm)","Soldering Irons, Workstands","No Holes"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S3219-O-M-ND,S3219-O-M,MENDA/EasyBraid,SLDR SPNG 3.2X1.9"" CTR HOL 1000P,0,0,"1.16836","0","1000","Solder Soakers™","Active","Sponge","3.20"" L x 1.90"" W (81.2mm x 48.2mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S2432-O-M-ND,S2432-O-M,MENDA/EasyBraid,SLDR SPNG 3.2X2.4"" CTR HOL 1000P,0,0,"1.29684","0","1000","Solder Soakers™","Active","Sponge","3.20"" L x 2.40"" W (81.3mm x 61.0mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Multi-Hole.pdf,-,S2626-M-M-ND,S2626-M-M,MENDA/EasyBraid,SOLDER SPONGE 2.6X2.6"" SC 1000PK,0,0,"1.29684","0","1000","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","Swiss Cheese Style"
http://documents.easybraidco.com/PDF/Solder-Sponge-Plain.pdf,-,S2626-P-M-ND,S2626-P-M,MENDA/EasyBraid,SLDR SPNG 2.6X2.6"" PLAIN 1000PK,0,0,"1.29684","0","1000","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","No Holes"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,-,S2626-S-M-ND,S2626-S-M,MENDA/EasyBraid,SLDR SPNGE 2.6X2.6"" SLITS 1000PK,0,0,"1.29684","0","1000","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","Multiple Slits"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S2626-O-T-ND,S2626-O-T,MENDA/EasyBraid,SLDR SPNG 2.6X2.6"" CTR HOLE 10PK,0,0,"1.74300","0","100","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Plain.pdf,-,S2626-P-T-ND,S2626-P-T,MENDA/EasyBraid,SOLDR SPONGE 2.6X2.6"" PLAIN 10PK,0,0,"1.74300","0","100","Solder Soakers™","Active","Sponge","2.60"" L x 2.60"" W (66.0mm x 66.0mm)","Soldering Irons, Workstands","No Holes"
https://www.techspray.com/Content/Images/uploaded/Documents/PLATO%20170S%20Brochure.pdf,-,CS-14-ND,CS-14,Techspray,SLDR SPNG 2.75X2.16"" PLAIN 10PK,0,0,"1.97000","0","10","Plato®","Active","Sponge","2.75"" L x 2.16"" W (70.0mm x 55.0mm)","Soldering Irons, Workstands","No Holes"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S3219-O-T-ND,S3219-O-T,MENDA/EasyBraid,SLDR SPNG 3.2X1.9"" CTR HOLE 10PK,0,0,"2.00500","0","10","Solder Soakers™","Active","Sponge","3.20"" L x 1.90"" W (81.2mm x 48.2mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S4017-O-T-ND,S4017-O-T,MENDA/EasyBraid,SLDR SPONGE 4X1.7"" CNTRHOLE 10PK,0,0,"2.07900","0","10","Solder Soakers™","Active","Sponge","4.00"" L x 1.70"" W (101.6mm x 43.1mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,-,S2745-S-M-ND,S2745-S-M,MENDA/EasyBraid,SLDR SPNG 4.5X2.7"" SLITS 1000PK,0,0,"2.09019","0","1000","Solder Soakers™","Active","Sponge","4.50"" L x 2.70"" W (114.3mm x 68.5mm)","Soldering Irons, Workstands","Multiple Slits"
http://documents.easybraidco.com/PDF/Solder-Sponge-Center-Hole.pdf,-,S3444-O-M-ND,S3444-O-M,MENDA/EasyBraid,SLDR SPNG 4.4X3.4"" CTR HOL 1000P,0,0,"2.21692","0","1000","Solder Soakers™","Active","Sponge","4.40"" L x 3.40"" W (111.8mm x 86.4mm)","Soldering Irons, Workstands","Single Center Hole"
http://documents.easybraidco.com/PDF/Solder-Sponge-Slits.pdf,-,S3444-S-M-ND,S3444-S-M,MENDA/EasyBraid,SLDR SPNG 4.4X3.4"" SLITS 1000PK,0,0,"2.21692","0","1000","Solder Soakers™","Active","Sponge","4.40"" L x 3.40"" W (111.8mm x 86.4mm)","Soldering Irons, Workstands","Multiple Slits"
http://documents.easybraidco.com/PDF/Solder-Sponge-Multi-Hole.pdf,-,S2235-M-T-ND,S2235-M-T,MENDA/EasyBraid,SOLDER SPONGE 3.5X2.2"" SC 10PK,0,0,"2.22300","0","10","Solder Soakers™","Active","Sponge","3.50"" L x 2.20"" W (88.9mm x 55.9mm)","Soldering Irons, Workstands","Swiss Cheese Style"
