Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Applications","Voltage - Rated","Current Rating (Amps)","Mounting Type","Package / Case","Supplier Device Package"
https://assets.nexperia.com/documents/data-sheet/PMC85XP.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SOT1118.jpg,1727-1236-2-ND,"PMC85XP,115",Nexperia USA Inc.,MOSFET NPN/P CH 30V 2.6A 6HUSON,12000,0,"0.13613","0","3000","Tape & Reel (TR)","-","Active","NPN Pre-Biased, P-Channel","General Purpose","30V","2.6A","Surface Mount","6-UDFN Exposed Pad","6-HUSON-EP (2x2)"
https://assets.nexperia.com/documents/data-sheet/PMC85XP.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SOT1118.jpg,1727-1236-1-ND,"PMC85XP,115",Nexperia USA Inc.,MOSFET NPN/P CH 30V 2.6A 6HUSON,13637,0,"0.55000","0","1","Cut Tape (CT)","-","Active","NPN Pre-Biased, P-Channel","General Purpose","30V","2.6A","Surface Mount","6-UDFN Exposed Pad","6-HUSON-EP (2x2)"
https://assets.nexperia.com/documents/data-sheet/PMC85XP.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/SOT1118.jpg,1727-1236-6-ND,"PMC85XP,115",Nexperia USA Inc.,MOSFET NPN/P CH 30V 2.6A 6HUSON,13637,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","NPN Pre-Biased, P-Channel","General Purpose","30V","2.6A","Surface Mount","6-UDFN Exposed Pad","6-HUSON-EP (2x2)"
https://assets.nexperia.com/documents/data-sheet/BCV61.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4898-2-ND,"BCV61B,215",Nexperia USA Inc.,TRANS NPN 30V 100MA DUAL SOT143B,6000,0,"0.20150","0","3000","Tape & Reel (TR)","-","Active","2 NPN (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV61.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4898-1-ND,"BCV61B,215",Nexperia USA Inc.,TRANS NPN 30V 100MA DUAL SOT143B,8218,0,"0.59000","0","1","Cut Tape (CT)","-","Active","2 NPN (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
https://assets.nexperia.com/documents/data-sheet/BCV61.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT143.jpg,1727-4898-6-ND,"BCV61B,215",Nexperia USA Inc.,TRANS NPN 30V 100MA DUAL SOT143B,8218,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2 NPN (Dual) Current Mirror","Current Mirror","30V","100mA","Surface Mount","TO-253-4, TO-253AA","SOT-143B"
http://www.aldinc.com/pdf/ALD810024.pdf,//media.digikey.com/Renders/Advanced%20Linear%20Devices/8-SOIC%20PKG.jpg,1014-1264-5-ND,ALD910024SAL,Advanced Linear Devices Inc.,MOSFET DUAL SAB 10.6V 8SOIC,246,0,"3.39000","0","1","Tube","SAB™","Active","2 N-Channel (Dual)","Supercapacitor Auto Balancing","10.6V","80mA","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.aldinc.com/pdf/ALD810022.pdf,//media.digikey.com/Renders/Advanced%20Linear%20Devices/8-SOIC%20PKG.jpg,1014-1282-5-ND,ALD910022SAL,Advanced Linear Devices Inc.,MOSFET DUAL SAB 10.6V EE 8SOIC,177,0,"3.39000","0","1","Tube","SAB™","Active","2 N-Channel (Dual)","Supercapacitor Auto Balancing","10.6V","80mA","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.aldinc.com/pdf/ALD810019.pdf,//media.digikey.com/Renders/Advanced%20Linear%20Devices/8-SOIC%20PKG.jpg,1014-1279-5-ND,ALD910019SAL,Advanced Linear Devices Inc.,MOSFET DUAL SAB 10.6V EE 8SOIC,166,0,"3.39000","0","1","Tube","SAB™","Active","2 N-Channel (Dual)","Supercapacitor Auto Balancing","10.6V","80mA","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC"
http://www.aldinc.com/pdf/ALD810022.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/16%20SOIC.jpg,1014-1275-5-ND,ALD810022SCL,Advanced Linear Devices Inc.,MOSFET QUAD SAB 10.6V EE 16SOIC,134,0,"3.81000","0","1","Tube","SAB™","Active","4 N-Channel","Supercapacitor Auto Balancing","10.6V","80mA","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
