Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Filter Type","Number of Lines","Impedance @ Frequency","Inductance @ Frequency","Current Rating (Max)","DC Resistance (DCR) (Max)","Voltage Rating - DC","Voltage Rating - AC","Operating Temperature","Ratings","Approvals","Features","Mounting Type","Size / Dimension","Height (Max)","Package / Case"
https://katalog.we-online.de/pbs/datasheet/744235110.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4219-2-ND,744235110,Wurth Electronics Inc.,CMC 11UH 450MA 2LN 5 KOHM SMD,6500,0,"1.12900","0","500","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","5 kOhms @ 100MHz","11µH @ 100kHz","450mA","800mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235110.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4219-1-ND,744235110,Wurth Electronics Inc.,CMC 11UH 450MA 2LN 5 KOHM SMD,6897,0,"1.69000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","5 kOhms @ 100MHz","11µH @ 100kHz","450mA","800mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235110.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4219-6-ND,744235110,Wurth Electronics Inc.,CMC 11UH 450MA 2LN 5 KOHM SMD,6897,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","5 kOhms @ 100MHz","11µH @ 100kHz","450mA","800mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235601.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4221-2-ND,744235601,Wurth Electronics Inc.,CMC 1UH 1.2A 2LN 600 OHM SMD,5500,0,"1.12900","0","500","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","600 Ohms @ 100MHz","1µH @ 100kHz","1.2A","120mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235601.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4221-1-ND,744235601,Wurth Electronics Inc.,CMC 1UH 1.2A 2LN 600 OHM SMD,5920,0,"1.69000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","600 Ohms @ 100MHz","1µH @ 100kHz","1.2A","120mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235601.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4221-6-ND,744235601,Wurth Electronics Inc.,CMC 1UH 1.2A 2LN 600 OHM SMD,5920,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","600 Ohms @ 100MHz","1µH @ 100kHz","1.2A","120mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235801.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4222-2-ND,744235801,Wurth Electronics Inc.,CMC 1.3UH 1A 2LN 800 OHM SMD,7500,0,"1.23600","0","500","Tape & Reel (TR)","WE-CNSW","Active","Signal Line","2","800 Ohms @ 100MHz","1.3µH @ 100kHz","1A","120mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235801.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4222-1-ND,744235801,Wurth Electronics Inc.,CMC 1.3UH 1A 2LN 800 OHM SMD,7936,0,"1.69000","0","1","Cut Tape (CT)","WE-CNSW","Active","Signal Line","2","800 Ohms @ 100MHz","1.3µH @ 100kHz","1A","120mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/744235801.pdf,"//media.digikey.com/Renders/Wurth%20Electronics%20Renders/Horizontal,%204%20PC%20Pad.jpg",732-4222-6-ND,744235801,Wurth Electronics Inc.,CMC 1.3UH 1A 2LN 800 OHM SMD,7936,0,"Digi-Reel","0","1","Digi-Reel®","WE-CNSW","Active","Signal Line","2","800 Ohms @ 100MHz","1.3µH @ 100kHz","1A","120mOhm","60V","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.177"" L x 0.126"" W (4.50mm x 3.20mm)","0.118"" (3.00mm)","Horizontal, 4 PC Pad"
https://katalog.we-online.de/pbs/datasheet/7427521.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7427521.jpg,732-2358-2-ND,7427521,Wurth Electronics Inc.,CMC 5A 2LN 52 OHM SMD,4800,0,"1.79201","0","2400","Tape & Reel (TR)","WE-CMS","Active","Power, Signal Line","2","52 Ohms @ 100MHz","-","5A","3mOhm","-","-","-40°C ~ 125°C","-","-","-","Surface Mount","0.335"" L x 0.220"" W (8.50mm x 5.60mm)","0.126"" (3.20mm)","0302 (0805 Metric)"
