Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Filter Order","Technology","Number of Channels","Center / Cutoff Frequency","Attenuation Value","Resistance - Channel (Ohms)","Current","Values","ESD Protection","Operating Temperature","Applications","Voltage - Rated","Mounting Type","Package / Case","Size / Dimension","Height"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608ld_en.pdf,"//media.digikey.com/Renders/TDK%20Renders/MEA%20Series,%20MEA1608LE.jpg",445-8941-2-ND,MEA1608LD150,TDK Corporation,FILTER LC 15PF 380MHZ SMD,8000,0,"0.24288","0","4000","Tape & Reel (TR)","MEA","Active","Low Pass","3rd","LC","4","380MHz (Cutoff)","-","-","50mA","C = 15pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608ld_en.pdf,"//media.digikey.com/Renders/TDK%20Renders/MEA%20Series,%20MEA1608LE.jpg",445-8941-1-ND,MEA1608LD150,TDK Corporation,FILTER LC 15PF 380MHZ SMD,8000,0,"0.54000","0","1","Cut Tape (CT)","MEA","Active","Low Pass","3rd","LC","4","380MHz (Cutoff)","-","-","50mA","C = 15pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608ld_en.pdf,"//media.digikey.com/Renders/TDK%20Renders/MEA%20Series,%20MEA1608LE.jpg",445-8941-6-ND,MEA1608LD150,TDK Corporation,FILTER LC 15PF 380MHZ SMD,8000,0,"Digi-Reel","0","1","Digi-Reel®","MEA","Active","Low Pass","3rd","LC","4","380MHz (Cutoff)","-","-","50mA","C = 15pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6733-2-ND,MEA1608PE220TA0G,TDK Corporation,FILTER LC(PI) 22PF 250MHZ SMD,4000,0,"0.24288","0","4000","Tape & Reel (TR)","MEA","Active","Low Pass","3rd","LC (Pi)","4","250MHz (Cutoff)","20dB @ 470MHz ~ 3GHz","-","100mA","C = 22pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6733-1-ND,MEA1608PE220TA0G,TDK Corporation,FILTER LC(PI) 22PF 250MHZ SMD,7619,0,"0.54000","0","1","Cut Tape (CT)","MEA","Active","Low Pass","3rd","LC (Pi)","4","250MHz (Cutoff)","20dB @ 470MHz ~ 3GHz","-","100mA","C = 22pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6733-6-ND,MEA1608PE220TA0G,TDK Corporation,FILTER LC(PI) 22PF 250MHZ SMD,7619,0,"Digi-Reel","0","1","Digi-Reel®","MEA","Active","Low Pass","3rd","LC (Pi)","4","250MHz (Cutoff)","20dB @ 470MHz ~ 3GHz","-","100mA","C = 22pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","6.3V","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6737-2-ND,MEA1608PE440TA0G,TDK Corporation,FILTER LC(PI) 44PF SMD,4000,0,"0.24288","0","4000","Tape & Reel (TR)","MEA","Not For New Designs","Low Pass","3rd","LC (Pi)","4","-","-","-","-","C = 44pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","-","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6737-1-ND,MEA1608PE440TA0G,TDK Corporation,FILTER LC(PI) 44PF SMD,5990,0,"0.54000","0","1","Cut Tape (CT)","MEA","Not For New Designs","Low Pass","3rd","LC (Pi)","4","-","-","-","-","C = 44pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","-","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6737-6-ND,MEA1608PE440TA0G,TDK Corporation,FILTER LC(PI) 44PF SMD,5990,0,"Digi-Reel","0","1","Digi-Reel®","MEA","Not For New Designs","Low Pass","3rd","LC (Pi)","4","-","-","-","-","C = 44pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","-","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6738-2-ND,MEA1608PE540TA0G,TDK Corporation,FILTER LC(PI) 54PF SMD,4000,0,"0.24288","0","4000","Tape & Reel (TR)","MEA","Not For New Designs","Low Pass","3rd","LC (Pi)","4","-","-","-","-","C = 54pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","-","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6738-1-ND,MEA1608PE540TA0G,TDK Corporation,FILTER LC(PI) 54PF SMD,6535,0,"0.54000","0","1","Cut Tape (CT)","MEA","Not For New Designs","Low Pass","3rd","LC (Pi)","4","-","-","-","-","C = 54pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","-","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/3tf_commercial_signal_mea1608pe_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_MEA1608P.jpg,445-6738-6-ND,MEA1608PE540TA0G,TDK Corporation,FILTER LC(PI) 54PF SMD,6535,0,"Digi-Reel","0","1","Digi-Reel®","MEA","Not For New Designs","Low Pass","3rd","LC (Pi)","4","-","-","-","-","C = 54pF","No","-40°C ~ 85°C","Data Lines for Mobile Devices","-","Surface Mount","0603 (1608 Metric), Array, 10 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.024"" (0.60mm)"
