Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Bandwidth","Filter Type","Ripple","Insertion Loss","Mounting Type","Package / Case","Size / Dimension","Height (Max)"
https://www.johansontechnology.com/datasheets/5515LP15A730/5515LP15A730.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.5GHz%20Balun6.jpg,712-1135-1-ND,5515LP15A730E,Johanson Technology Inc.,FILTER LOWPASS 5.5GHZ WIFI,8428,0,"0.52000","0","1","Cut Tape (CT)","-","Active","5.5GHz Center","725MHz","Low Pass","-","0.6dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.johansontechnology.com/datasheets/5515LP15A730/5515LP15A730.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.5GHz%20Balun6.jpg,712-1135-6-ND,5515LP15A730E,Johanson Technology Inc.,FILTER LOWPASS 5.5GHZ WIFI,8428,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","5.5GHz Center","725MHz","Low Pass","-","0.6dB","Surface Mount","0805 (2012 Metric), 8 PC Pad","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.037"" (0.95mm)"
https://www.johansontechnology.com/datasheets/2450LP14B100/2450LP14B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.4GHz%20Filter6.jpg,712-1130-2-ND,2450LP14B100T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ WIFI,168000,0,"0.24000","0","4000","Tape & Reel (TR)","-","Active","2.45GHz Center","100MHz","Low Pass","-","0.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/2450LP14B100/2450LP14B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.4GHz%20Filter6.jpg,712-1130-1-ND,2450LP14B100T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ WIFI,168742,0,"0.54000","0","1","Cut Tape (CT)","-","Active","2.45GHz Center","100MHz","Low Pass","-","0.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/2450LP14B100/2450LP14B100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.4GHz%20Filter6.jpg,712-1130-6-ND,2450LP14B100T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ WIFI,168742,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.45GHz Center","100MHz","Low Pass","-","0.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/2450LP14A100/2450LP14A100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.5GHz%20Balun6.jpg,712-1129-2-ND,2450LP14A100T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ WIFI,24000,0,"0.24000","0","4000","Tape & Reel (TR)","-","Active","2.45GHz Center","100MHz","Low Pass","-","0.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/2450LP14A100/2450LP14A100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.5GHz%20Balun6.jpg,712-1129-1-ND,2450LP14A100T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ WIFI,29621,0,"0.54000","0","1","Cut Tape (CT)","-","Active","2.45GHz Center","100MHz","Low Pass","-","0.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://www.johansontechnology.com/datasheets/2450LP14A100/2450LP14A100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.5GHz%20Balun6.jpg,712-1129-6-ND,2450LP14A100T,Johanson Technology Inc.,FILTER LOWPASS 2.4GHZ WIFI,29621,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.45GHz Center","100MHz","Low Pass","-","0.5dB","Surface Mount","0603 (1608 Metric), 6 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_bpf_dea162450bt-1260b2_en.pdf,"//media.digikey.com/Renders/TDK%20Renders/0608%20(1608%20Metric),%204%20PC%20Pad.jpg",445-6874-2-ND,DEA162450BT-1260B2,TDK Corporation,FILTER BANDPASS 2.45GHZ WLAN SMD,12000,0,"0.26272","0","4000","Tape & Reel (TR)","DEA","Active","2.45GHz Center","100MHz","Band Pass","-","1.7dB","Surface Mount","0603 (1608 Metric), 4 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_bpf_dea162450bt-1260b2_en.pdf,"//media.digikey.com/Renders/TDK%20Renders/0608%20(1608%20Metric),%204%20PC%20Pad.jpg",445-6874-1-ND,DEA162450BT-1260B2,TDK Corporation,FILTER BANDPASS 2.45GHZ WLAN SMD,18276,0,"0.59000","0","1","Cut Tape (CT)","DEA","Active","2.45GHz Center","100MHz","Band Pass","-","1.7dB","Surface Mount","0603 (1608 Metric), 4 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
https://product.tdk.com/info/en/documents/data_sheet/rf_bpf_dea162450bt-1260b2_en.pdf,"//media.digikey.com/Renders/TDK%20Renders/0608%20(1608%20Metric),%204%20PC%20Pad.jpg",445-6874-6-ND,DEA162450BT-1260B2,TDK Corporation,FILTER BANDPASS 2.45GHZ WLAN SMD,18276,0,"Digi-Reel","0","1","Digi-Reel®","DEA","Active","2.45GHz Center","100MHz","Band Pass","-","1.7dB","Surface Mount","0603 (1608 Metric), 4 PC Pad","0.063"" L x 0.032"" W (1.60mm x 0.80mm)","0.028"" (0.70mm)"
//media.digikey.com/pdf/Data%20Sheets/Johanson%20Technology/2450BP39D100C.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/2.45GHz%20Filter4.jpg,712-1092-2-ND,2450BP39D100CE,Johanson Technology Inc.,FILTER BANDPASS 2.4GHZ,42000,0,"0.26400","0","3000","Tape & Reel (TR)","-","Active","2.45GHz Center","100MHz","Band Pass","-","1.2dB","Surface Mount","1008 (2520 Metric), 4 PC Pad","0.098"" L x 0.079"" W (2.50mm x 2.00mm)","0.041"" (1.05mm)"
