Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filter Type","Configuration","Voltage - Rated DC","Voltage - Rated AC","Voltage - Rated AC (Phase to Ground/Neutral)","Voltage - Rated AC (Phase to Phase)","Current","Frequency - Operating","Applications","Approvals","Operating Temperature","Mounting Type","Termination Style","Inductance"
https://www.schaffner.com/products/download/product/datasheet/fn-2010-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2010-1-07.JPG,817-1241-ND,FN2010-1-07,Schaffner EMC Inc.,LINE FILTER 250VAC 1A CHASS MNT,26,120,"15.05000","0","1","FN 2010","Active","Single Phase","Single Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Wire Leads","12mH"
https://www.curtisind.com/wp-content/uploads/F1100-F1150-F1199-RFI-Filters.pdf,//media.digikey.com/Photos/Curtis%20Industries%20Photos/F1150AA06.JPG,364-1179-ND,F1150AA06,Curtis Industries,LINE FILTER 250VAC 6A CHASS MNT,40,0,"15.35000","0","1","F1150","Active","Single Phase","Single Stage","-","250V","-","-","6A","50/60Hz","General Purpose","CE, UR","-","Chassis Mount","Quick Connect","-"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84111F.pdf,//media.digikey.com/Photos/Epcos%20Photos/B84111F0000B030.JPG,495-3479-ND,B84111F0000B030,EPCOS (TDK),LINE FILTER 250VDC/VAC 3A CHASS,33,0,"15.83000","0","1","B84111F","Active","Single Phase","Single Stage","250V","250V","-","-","3A","50/60Hz","General Purpose","cUR, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","1.5mH"
https://www.schaffner.com/products/download/product/datasheet/fn-332-performance-emcemi-filter/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN332-Series.jpg,817-1937-ND,FN332-6-05,Schaffner EMC Inc.,LINE FILTER 250VAC 6A CHASS MNT,94,0,"15.94000","0","1","FN 332","Active","Single Phase","Single Stage","-","250V","-","-","6A","DC ~ 400Hz","General Purpose","CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","800µH"
http://www.schurterinc.com/bundles/snceschurter/epim/_ProdPool_/newDS/en/typ_FMAB_NEO.pdf,//media.digikey.com/Photos/Schurter%20Photos/5500.2631.01.jpg,486-3214-ND,5500.2633.01,Schurter Inc.,LINE FILTER 125/250VAC 6A CHAS,39,0,"16.33000","0","1","FMAB NEO","Active","Single Phase","Single Stage","-","125V, 250V","-","-","6A","50/60Hz","General Purpose","cURus, ENEC, VDE","-40°C ~ 100°C","Chassis Mount","Quick Connect","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1654001_CORCOM_PRODUCT_GUIDE_EBP_EDP_EOP&DocType=CS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/10EOP.JPG,CCM1673-ND,6609064-4,TE Connectivity Corcom Filters,LINE FILTER 250VAC 10A TH,62,0,"16.42000","0","1","EOP","Active","Single Phase","Single Stage","-","250V","-","-","10A","50/60Hz","General Purpose","CSA, UR, VDE","-10°C ~ 40°C","Through Hole","PC Pins","-"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84111F.pdf,//media.digikey.com/photos/Epcos%20Photos/B84111FB60.JPG,495-5790-ND,B84111F0000B060,EPCOS (TDK),LINE FILTER 250VDC/VAC 6A CHASS,92,0,"16.70000","0","1","B84111F","Active","Single Phase","Single Stage","250V","250V","-","-","6A","50/60Hz","General Purpose","cUR, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","1.8mH"
https://www.tdk-electronics.tdk.com/inf/30/db/emc_2014/B84112G.pdf,//media.digikey.com/Photos/Epcos%20Photos/B84112GBxxx.JPG,495-75238-ND,B84112G0000M020,EPCOS (TDK),LINE FILTER 250VDC/VAC 2A CHASS,27,0,"16.73000","0","1","B84112","Active","Single Phase","Single Stage","250V","250V","-","-","2A","50/60Hz","General Purpose","cUR, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Terminal Post","12mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2060-multi-stage-general-purpose-emcemi-filter/,//media.digikey.com/photos/Schaffner%20EMC%20Photos/FN2060-1-06.JPG,817-1285-ND,FN2060-1-06,Schaffner EMC Inc.,LINE FILTER 250VAC 1A CHASS MNT,57,0,"16.77000","0","1","FN 2060","Active","Single Phase","Two Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CE, CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","12mH"
https://www.schaffner.com/products/download/product/datasheet/fn-2060-multi-stage-general-purpose-emcemi-filter/,//media.digikey.com/Photos/Schaffner%20EMC%20Photos/FN2060B-1-06.JPG,817-1779-ND,FN2060B-1-06,Schaffner EMC Inc.,LINE FILTER 250VAC 1A CHASS MNT,16,0,"16.77000","0","1","FN 2060","Active","Single Phase","Two Stage","-","250V","-","-","1A","DC ~ 400Hz","General Purpose","CE, CSA, ENEC, UR","-25°C ~ 100°C","Chassis Mount","Quick Connect","12mH"
