Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Design","Impedance @ Frequency","Material","Inner Dimension","Outer Dimension","Ratings","Mounting Type","Length"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18332,-,1934-1452-ND,2673004801,Fair-Rite Products Corp.,FERRITE CORE SOLID 0.86MM,187740,0,"0.10000","0","1","-","Active","Round","Solid","-","73","0.034"" Dia (0.86mm)","0.080"" Dia (2.03mm)","-","Free Hanging","0.105"" (2.67mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18407,-,1934-1492-ND,2643000201,Fair-Rite Products Corp.,FERRITE CORE 31OHM SOLID 1.09MM,107848,0,"0.10000","0","1","-","Active","Round","Solid","31Ohm @ 100MHz","43","0.043"" Dia (1.09mm)","0.076"" Dia (1.93mm)","-","Free Hanging","0.150"" (3.81mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18434,//media.digikey.com/Photos/Fair-Right/26430xxxx01.jpg,1934-1016-ND,2643023201,Fair-Rite Products Corp.,FERRITE CORE 30OHM SOLID 1.73MM,96835,0,"0.10000","0","1","-","Active","Round","Solid","30Ohm @ 100MHz","43","0.068"" Dia (1.73mm)","0.112"" Dia (2.85mm)","-","Free Hanging","0.147"" (3.73mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18437,//media.digikey.com/Photos/Fair-Right/2643xxx801.jpg,1934-1014-ND,2643013801,Fair-Rite Products Corp.,FERRITE CORE 38OHM SOLID 1.78MM,96262,0,"0.10000","0","1","-","Active","Round","Solid","38Ohm @ 100MHz","43","0.070"" Dia (1.78mm)","0.138"" Dia (3.51mm)","-","Free Hanging","0.160"" (4.06mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18779,-,1934-1483-ND,2843002302,Fair-Rite Products Corp.,FERRITE CORE MULTI-APERTURE,59901,0,"0.10000","0","1","-","Active","-","-","-","43","-","-","-","-","3.45mm"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18347,-,1934-1485-ND,2673000201,Fair-Rite Products Corp.,FERRITE CORE SOLID 1.09MM,46955,0,"0.10000","0","1","-","Active","Round","Solid","-","73","0.043"" Dia (1.09mm)","0.076"" Dia (1.93mm)","-","Free Hanging","0.150"" (3.81mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18440,-,1934-1484-ND,2643001601,Fair-Rite Products Corp.,FERRITE CORE 30OHM SOLID 1.78MM,46210,0,"0.10000","0","1","-","Active","Round","Solid","30Ohm @ 100MHz","43","0.070"" Dia (1.78mm)","0.140"" Dia (3.56mm)","-","Free Hanging","0.122"" (3.10mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18419,-,1934-1533-ND,2643200101,Fair-Rite Products Corp.,43 SHIELD BEAD,34680,0,"0.10000","0","1","-","Active","Round","Solid","41Ohm @ 100MHz","43","-","0.200"" Dia (5.08mm)","-","Free Hanging","0.125"" (3.18mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18443,//media.digikey.com/Photos/Fair-Right/26430xxxx01.jpg,1934-1006-ND,2643001301,Fair-Rite Products Corp.,FERRITE CORE 48OHM SOLID 1.78MM,28426,0,"0.10000","0","1","-","Active","Round","Solid","48Ohm @ 100MHz","43","0.070"" Dia (1.78mm)","0.140"" Dia (3.56mm)","-","Free Hanging","0.234"" (5.94mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18431,-,1934-1524-ND,2643025601,Fair-Rite Products Corp.,43 SHIELD BEAD,23485,0,"0.10000","0","1","-","Active","Round","Solid","55Ohm @ 100MHz","43","0.063"" Dia (1.60mm)","0.138"" Dia (3.51mm)","-","Free Hanging","0.236"" (5.99mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18344,-,1934-1451-ND,2673000501,Fair-Rite Products Corp.,FERRITE CORE SOLID 1.09MM,13985,0,"0.10000","0","1","-","Active","Round","Solid","-","73","0.043"" Dia (1.09mm)","0.076"" Dia (1.93mm)","-","Free Hanging","0.060"" (1.52mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18416,-,1934-1458-ND,2643000701,Fair-Rite Products Corp.,FERRITE CORE 125OHM SOLID 1.30MM,63045,0,"0.11000","0","1","-","Active","Round","Solid","125Ohm @ 100MHz","43","0.051"" Dia (1.30mm)","0.138"" Dia (3.51mm)","-","Free Hanging","0.500"" (12.70mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18422,//media.digikey.com/Photos/Fair-Right/2643022401.jpg,1934-1015-ND,2643022401,Fair-Rite Products Corp.,FERRITE CORE 82OHM SOLID 1.58MM,17473,0,"0.11000","0","1","-","Active","Round","Solid","82Ohm @ 100MHz","43","0.062"" Dia (1.58mm)","0.200"" Dia (5.08mm)","-","Free Hanging","0.250"" (6.35mm)"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=20350,//media.digikey.com/Photos/Fair-Right/5977000201.JPG,1934-1010-ND,5943000101,Fair-Rite Products Corp.,FERRITE CORE,5707,0,"0.11000","0","1","-","Active","-","-","-","43","-","-","-","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18782,//media.digikey.com/Photos/Fair-Right/Multi-Aperture-Core.jpg,1934-1018-ND,2843002702,Fair-Rite Products Corp.,FERRITE CORE MULTI-APERTURE,27919,0,"0.12000","0","1","-","Active","-","-","-","43","-","-","-","-","7.01mm"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=18815,-,1934-1558-ND,2861002302,Fair-Rite Products Corp.,61 MULTI-APERTURE CORE,13675,0,"0.13000","0","1","*","Active","-","-","-","61","-","-","-","-","3.45mm"
