Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Cable Type","Cable Group","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Jacket (Insulation) Diameter","Shield Type","Impedance","Length","Jacket Color","Usage","Features"
https://www.timesmicrowave.com/DataSheets/CableProducts/LMR-400-LLPX.pdf,//media.digikey.com/Photos/Times-Microwave-Systems/MFG_LMR-400-LLPX-Red.jpg,1946-1110-500-ND,LMR-400-LLPX,Amphenol Times Microwave Systems,"LMR-400 LOW LOSS PLENUM, 500'",4,0,"2506.00000","0","1","-","Active","Coaxial - Plenum","LMR-400","-","Solid","Fluoropolymer","0.370"" (9.40mm)","Foil, Braid","50 Ohms","500.0' (152.40m)","Red","-","-"
http://www.alphawire.com/Home/Products/Cable/Alpha-Essentials/Coaxial-Cable/9217?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/9214_BK005.jpg,9217BK002-ND,9217 BK002,Alpha Wire,CABLE COAXIAL RG217 10AWG 500',2,0,"3513.55000","0","1","-","Active","Coaxial","RG-217","10 AWG","-","Poly-Vinyl Chloride (PVC)","0.545"" (13.84mm)","Double Braid","50 Ohms","500.0' (152.40m)","Black","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2021D0309&DocType=Customer+Drawing&DocLang=English,-,A129602-01-ND,2021D0309-0,"TE Connectivity Aerospace, Defense and Marine",2021D0309-0 1',374,0,"1.88000","0","1","CHEMINAX","Active","Twinaxial","-","20 AWG","19 Strands / 0.0075""","Thermorad® F","0.294"" (7.47mm)","-","-","1.0' (0.30m)","Black","-","-"
https://catalog.belden.com/techdata/EN/1525A_techdata.pdf,-,BEL7066-1000-ND,1525A 0101000,Belden Inc.,COAX 75 OHM RG11 14AWG,19,0,"347.58000","0","1","-","Active","Coaxial","RG-11","14 AWG","Solid","Polyethylene (PE)","0.393"" (9.98mm)","Foil, Braid","75 Ohms","1000.0' (304.80m)","Black","-","-"
https://catalog.belden.com/techdata/EN/649948_techdata.pdf,-,BEL7811-500-ND,649948 877500,Belden Inc.,RG59 + 2C18 CMP SIAM,2,0,"370.44000","0","1","-","Active","Coaxial - Plenum","RG-59","20 AWG, 18 AWG","-","Low Smoke Poly-Vinyl Chloride (LSPVC)","-","Braid","75 Ohms","500.0' (152.40m)","Natural","-","-"
http://www.crystek.com/microwave/spec-sheets/bulkcable/CC-SS402.pdf,//media.digikey.com/Photos/Crystek%20Photos/SS402%20Series.JPG,744-1413-ND,CC-SS402-100,Crystek Corporation,CABLE COAXIAL 100',3,0,"764.40000","0","1","SS402","Active","Coaxial","-","-","Solid","Ethylene Tetrafluoroethylene (ETFE)","0.161"" (4.09mm)","Foil, Braid","50 Ohms","100.0' (30.48m)","Blue","-","Flame Retardant"
http://www.crystek.com/microwave/spec-sheets/bulkcable/CC-SS402.pdf,//media.digikey.com/Photos/Crystek%20Photos/SS402%20Series.JPG,744-1652-ND,CC-SS402-250,Crystek Corporation,CABLE COAXIAL 250',2,0,"1767.50000","0","1","SS402","Active","Coaxial","-","-","Solid","Ethylene Tetrafluoroethylene (ETFE)","0.161"" (4.09mm)","Foil, Braid","50 Ohms","250.0' (76.20m)","Blue","-","Flame Retardant"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=162,//media.digikey.com/photos/General%20Cable%20Photos/C1156.21.01.JPG,C1156-50-ND,C1156.41.01,General Cable/Carol Brand,CABLE COAXIAL RG174 26AWG 50',6,0,"19.96000","0","1","-","Active","Coaxial","RG-174","26 AWG (0.14mm²)","7 Strands / 34 AWG","Poly-Vinyl Chloride (PVC)","0.103"" (2.62mm)","Braid","50 Ohms","50.0' (15.24m)","Black","RF Signal, Video","-"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=153,//media.digikey.com/Photos/General%20Cable%20Photos/C1166.18.01.jpg,W300-50-ND,C1166.21.01,General Cable/Carol Brand,CABLE COAXIAL RG58 20AWG 50',13,0,"27.42000","0","1","-","Active","Coaxial","RG-58","20 AWG (0.52mm²)","Solid","Poly-Vinyl Chloride (PVC)","0.195"" (4.95mm)","Braid","50 Ohms","50.0' (15.24m)","Black","Network, RF Signal","-"
https://html5.dcatalog.com/?docid=8e9daddd-82b0-4ed4-a656-a8aa011ea6d3#page=162,//media.digikey.com/photos/General%20Cable%20Photos/C1156.21.01.JPG,C1156-100-ND,C1156.41.01,General Cable/Carol Brand,CABLE COAXIAL RG174 26AWG 100',28,0,"38.04000","0","1","-","Active","Coaxial","RG-174","26 AWG (0.14mm²)","7 Strands / 34 AWG","Poly-Vinyl Chloride (PVC)","0.103"" (2.62mm)","Braid","50 Ohms","100.0' (30.48m)","Black","RF Signal, Video","-"
