Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Cable Type","Number of Conductors","Length - Coil Retracted","Length - Coil Extended","Length","Jacket Color","Wire Gauge","Conductor Strand","Jacket (Insulation) Material","Cable Width","Cable Height","Coil Diameter","Shielding"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-010-000.JPG,H05101C-ND,121-010-023,I.O. Interconnect,CABLE MOD COIL 10COND WHITE 5',692,0,"2.38000","0","1","Bulk","-","Obsolete","Coil","10","2.00' (0.61m)","5' (1.52m)","-","White","26 AWG","12/0.0047""","Polypropylene (PP)","0.415"" (10.55mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x0.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/GLF-121-810-003.JPG,H0783RC-ND,GLF-121-810-000,I.O. Interconnect,CABLE MOD COIL 8COND SILVER 7',242,0,"2.42000","0","1","Bulk","-","Obsolete","Coil","8","2.33' (0.71m)","7' (2.13m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x1.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-610-021.JPG,H1061RC-ND,GLF-121-610-021,I.O. Interconnect,CABLE MOD COIL 6COND WHITE 10',230,0,"3.23000","0","1","Bulk","-","Obsolete","Coil","6","2.67' (0.81m)","10' (3.05m)","-","White","26 AWG","12/0.0047""","Polypropylene (PP)","0.267"" (6.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x2.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-610-022.JPG,H1461RC-ND,GLF-121-610-022,I.O. Interconnect,CABLE MOD COIL 6COND WHITE 14',104,0,"3.23000","0","1","Bulk","-","Obsolete","Coil","6","3.67' (1.12m)","14' (4.27m)","-","White","26 AWG","12/0.0047""","Polypropylene (PP)","0.267"" (6.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-810-002.JPG,H1483C-ND,121-810-002,I.O. Interconnect,CABLE MOD COIL 8COND SILVER 14',838,0,"3.26000","0","1","Bulk","-","Obsolete","Coil","8","4.17' (1.27m)","14' (4.27m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-810-012.jpg,H1482C-ND,121-810-012,I.O. Interconnect,CABLE MOD COIL 8COND BLACK 14',262,0,"3.26000","0","1","Bulk","-","Obsolete","Coil","8","4.17' (1.27m)","14' (4.27m)","-","Black","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/GLF-121-x10-0x3.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/GLF-121-810-003.JPG,H0583RC-ND,GLF-121-810-003,I.O. Interconnect,CABLE MOD COIL 8COND SILVER 5',1876,0,"3.28000","0","1","Bulk","-","Obsolete","Coil","8","1.83' (0.56m)","5' (1.52m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-010-000.JPG,H14101C-ND,121-010-022,I.O. Interconnect,CABLE MOD COIL 10COND WHITE 14',965,0,"3.52000","0","1","Bulk","-","Obsolete","Coil","10","-","14' (4.27m)","-","White","26 AWG","12/0.0047""","Polypropylene (PP)","0.415"" (10.55mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/121-xxx-xxx%20.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/121-010-011.jpg,H14102C-ND,121-010-012,I.O. Interconnect,CABLE MOD COIL 10COND BLACK 14',548,0,"3.52000","0","1","Bulk","-","Obsolete","Coil","10","-","14' (4.27m)","-","Black","26 AWG","12/0.0047""","Polypropylene (PP)","0.415"" (10.55mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x1.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/GLF-121-810-003.JPG,H1083RC-ND,GLF-121-810-001,I.O. Interconnect,CABLE MOD COIL 8COND SILVER 10',455,0,"3.60000","0","1","Bulk","-","Obsolete","Coil","8","3.50' (1.07m)","10' (3.05m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x1.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-610-011.JPG,H1062RC-ND,GLF-121-610-011,I.O. Interconnect,CABLE MOD COIL 6COND BLACK 10',139,0,"3.71000","0","1","Bulk","-","Obsolete","Coil","6","2.67' (0.81m)","10' (3.05m)","-","Black","26 AWG","12/0.0047""","Polypropylene (PP)","0.267"" (6.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
//media.digikey.com/pdf/Data Sheets/IO Interconnect PDFs/GLF-121-x10-0x2.pdf,//media.digikey.com/Photos/I.O.%20Interconnect%20Photos/GLF-121-810-003.JPG,H1483RC-ND,GLF-121-810-002,I.O. Interconnect,CABLE MOD COIL 8COND SILVER 14',505,0,"4.06000","0","1","Bulk","-","Obsolete","Coil","8","4.17' (1.27m)","14' (4.27m)","-","Silver","26 AWG","12/0.0047""","Polypropylene (PP)","0.346"" (8.80mm)","0.098"" (2.50mm)","0.748"" (19mm)","Unshielded"
//media.digikey.com/pdf/Data%20Sheets/IO%20Interconnect%20PDFs/GLF-121-x10-0x2.pdf,//media.digikey.com/photos/I.O.%20Interconnect%20Photos/GLF-121-610-012.JPG,H1462RC-ND,GLF-121-610-012,I.O. Interconnect,CABLE MOD COIL 6COND BLACK 14',189,0,"4.34000","0","1","Bulk","-","Obsolete","Coil","6","3.67' (1.12m)","14' (4.27m)","-","Black","26 AWG","12/0.0047""","Polypropylene (PP)","0.267"" (6.80mm)","0.098"" (2.50mm)","0.551"" (14mm)","Unshielded"
