Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Configuration","Current","Voltage","Voltage - Isolation","Package / Case"
https://www.onsemi.com/pub/Collateral/FSB50250US-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/SPM23BD.jpg,FSB50250USTR-ND,FSB50250US,ON Semiconductor,MODULE SPM 500V 1.1A SPM23BD,450,0,"4.52642","0","450","Motion SPM® 5","Not For New Designs","MOSFET","3 Phase","1.1A","500V","1500Vrms","23-PowerSMD Module, Gull Wing"
https://www.onsemi.com/pub/Collateral/FSB50250US-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/SPM23BD.jpg,FSB50250USCT-ND,FSB50250US,ON Semiconductor,MODULE SPM 500V 1.1A SPM23BD,450,0,"6.53000","0","1","Motion SPM® 5","Not For New Designs","MOSFET","3 Phase","1.1A","500V","1500Vrms","23-PowerSMD Module, Gull Wing"
https://www.onsemi.com/pub/Collateral/FSB50250US-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/SPM23BD.jpg,FSB50250USDKR-ND,FSB50250US,ON Semiconductor,MODULE SPM 500V 1.1A SPM23BD,450,0,"Digi-Reel","0","1","Motion SPM® 5","Not For New Designs","MOSFET","3 Phase","1.1A","500V","1500Vrms","23-PowerSMD Module, Gull Wing"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/ef/64/2e/fa/d4/6c/41/ee/DM00264415/files/DM00264415.pdf/jcr:content/translations/en.DM00264415.pdf,//media.digikey.com/Renders/STMicro%20Renders/26-DIP%20Module.jpg,497-17024-ND,STIPN1M50T-H,STMicroelectronics,SLLIMM-NANO SMALL LOW-LOSS INTEL,485,0,"6.90000","0","1","SLLIMM™","Active","MOSFET","3 Phase Inverter","1A","500V","1000Vrms","26-PowerDIP Module (0.846"", 21.48mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/8d/46/12/a7/2b/d5/4c/a4/DM00345339/files/DM00345339.pdf/jcr:content/translations/en.DM00345339.pdf,//media.digikey.com/Renders/STMicro%20Renders/26-DIP%20Module.jpg,497-17025-ND,STIPN2M50-H,STMicroelectronics,POWER DRVR MOD 500V 2A 26DIP MOD,476,0,"7.74000","0","1","SLLIMM™","Active","MOSFET","3 Phase Inverter","2A","500V","1000Vrms","26-PowerDIP Module (0.846"", 21.48mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/73/89/ee/0f/dd/81/41/cc/DM00312300/files/DM00312300.pdf/jcr:content/translations/en.DM00312300.pdf,//media.digikey.com/Renders/STMicro%20Renders/26-DIP%20Module.jpg,497-17027-ND,STIPN2M50T-HL,STMicroelectronics,POWER DRVR MOD 500V 2A 26DIP MOD,522,0,"8.08000","0","1","SLLIMM™","Active","MOSFET","3 Phase Inverter","2A","500V","1000Vrms","26-PowerDIP Module (0.573"", 14.50mm)"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group0/72/c1/dc/65/19/c2/4b/fb/DM00247497/files/DM00247497.pdf/jcr:content/translations/en.DM00247497.pdf,//media.digikey.com/Renders/STMicro%20Renders/26-DIP%20Module.jpg,497-17026-ND,STIPN2M50T-H,STMicroelectronics,POWER DRVR MOD 500V 2A 26DIP MOD,462,0,"8.08000","0","1","SLLIMM™","Active","MOSFET","3 Phase Inverter","2A","500V","1000Vrms","26-PowerDIP Module (0.846"", 21.48mm)"
https://www.infineon.com/dgdl/Infineon-IKCM15L60GA-DS-v01_02-EN.pdf?fileId=5546d4624fb7fef2014fcb71486178f7,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM15L60GAXKMA1-ND,IKCM15L60GAXKMA1,Infineon Technologies,IFPS MODULES 24MDIP,268,0,"11.31000","0","1","CIPOS™","Active","IGBT","3 Phase","15A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
https://www.onsemi.com/pub/Collateral/FNA40560-D.pdf,//media.digikey.com/Photos/Fairchild%20Semi%20Photos/FNB41060.JPG,FNA40560-ND,FNA40560,ON Semiconductor,MOD SPM 600V 5A SPM26-AA,144,216,"11.44000","0","1","Motion SPM® 45","Active","IGBT","3 Phase","5A","600V","2000Vrms","26-PowerDIP Module (1.024"", 26.00mm)"
https://www.infineon.com/dgdl/Infineon-IKCM15H60GA-DS-v01_02-EN.pdf?fileId=5546d4624fb7fef2014fcb68016c78ec,//media.digikey.com/Photos/Infineon%20Photos/CIPOS-Series.JPG,IKCM15H60GAXKMA2-ND,IKCM15H60GAXKMA2,Infineon Technologies,IFPS MODULES 24MDIP,265,0,"11.97000","0","1","CIPOS™","Active","IGBT","3 Phase","15A","600V","2000Vrms","24-PowerDIP Module (1.028"", 26.10mm)"
