Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Particle Size","Flow Rate","Pressure Range","Inlet/Outlet Size","Height","Diameter","Operating Temperature"
-,-,5602721-ND,5602721,3M,THE 3M AQUA-PURE WHOLE H,0,0,"101.62250","0","4","*","Active","-","-","-","-","-","-","-","-","-"
-,-,Z2UC11PA105U2-ND,Z2UC11PA105U2,3M,ZETA PLUS U SERIES FILTER CARTRI,0,0,"101.76000","0","2","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL10PP010F0K-ND,XL10PP010F0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"102.40267","0","30","-","Active","-","-","-","-","-","-","-","-","-"
-,-,451091410A-ND,4510914 10A,3M,ZETA PLUS A SERIES FILTER CARTRI,0,0,"102.43333","0","15","Zeta Plus™ A","Active","Filter Cartridge","Industrial","3µm (Nominal)","-","35 PSI","-","6.688"" (169.86mm)","8.000"" (203.20mm)","60°C - Max"
-,-,5560907-ND,5560907,3M,THE 3M AQUA-PURE WHOLE H,0,0,"102.62333","0","6","*","Active","-","-","-","-","-","-","-","-","-"
-,-,451091110C-ND,4510911 10C,3M,ZETA PLUS C SERIES FILTER CARTRI,0,0,"102.93867","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP050B0A-ND,XL20PP050B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"103.14400","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL10PP002B0K-ND,XL10PP002B0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"103.88567","0","30","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL10PP002F0K-ND,XL10PP002F0K,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"103.88567","0","30","-","Active","-","-","-","-","-","-","-","-","-"
-,-,5529902-ND,5529902,3M,THE AQUA-PURE PLASTIC WHOLE,0,0,"105.10000","0","4","*","Active","-","-","-","-","-","-","-","-","-"
-,-,XL19PP002DB-ND,XL19PP002DB,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"105.18733","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP025B0A-ND,XL30PP025B0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"105.35333","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP010F0A-ND,XL20PP010F0A,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"106.82933","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP002C0D-ND,XL20PP002C0D,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"107.53000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL20PP050DB-ND,XL20PP050DB,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"107.55533","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,451091430C-ND,4510914 30C,3M,ZETA PLUS C SERIES FILTER CARTRI,0,0,"107.62533","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP010DG-ND,XL30PP010DG,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"107.94000","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP100DG-ND,XL30PP100DG,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"108.30467","0","15","-","Active","-","-","-","-","-","-","-","-","-"
-,-,5585701-ND,5585701,3M,THE 3M AQUA-PURE AP801 W,0,0,"108.49500","0","2","*","Active","-","-","-","-","-","-","-","-","-"
-,-,XL30PP005DA-ND,XL30PP005DA,3M,BETAFINE XL SERIES FILTER CARTRI,0,0,"108.62267","0","15","-","Active","-","-","-","-","-","-","-","-","-"
