Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Stacks","Lamp Type","Light Color","Function","Voltage - Supply","Features","Termination Style","Ingress Protection","Operating Temperature"
https://www.mspindy.com/Specifications/JT028-RYGB-CDL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_4StackRYGBDirect.jpg,458-1501-ND,JT028-RYGB-CDL,Mallory Sonalert Products Inc.,COMPLETE UNIT BL/GN/RD/YL 4STACK,4,0,"227.65000","0","1","JT Stack Light","Active","Complete Unit","4","LED","Blue, Green, Red, Yellow","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYGB-CSL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_4StackRYGBPole.jpg,458-1500-ND,JT028-RYGB-CSL,Mallory Sonalert Products Inc.,COMPLETE UNIT BL/GN/RD/YL 4STACK,8,0,"248.63000","0","1","JT Stack Light","Active","Complete Unit","4","LED","Blue, Green, Red, Yellow","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYGBC-CDL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_5StackRYGBCDirect.jpg,458-1505-ND,JT028-RYGBC-CDL,Mallory Sonalert Products Inc.,COMPLETE UNIT B/G/R/W/Y 5STACK,3,0,"276.95000","0","1","JT Stack Light","Active","Complete Unit","5","LED","Blue, Green, Red, White, Yellow","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700129.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700129.jpg,277-12031-ND,2700129,Phoenix Contact,OPTIC ELEMENT CLR LED DBL FLASH,5,0,"282.00000","0","1","PSD-S","Active","Optical Element","1","LED","Clear","Double Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700134.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700134.jpg,277-12034-ND,2700134,Phoenix Contact,OPTIC ELEMENT BLUE LED DBL FLASH,5,0,"282.00000","0","1","PSD-S","Active","Optical Element","1","LED","Blue","Double Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700130.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700130.jpg,277-12032-ND,2700130,Phoenix Contact,OPTIC ELEMENT CLR LED RNDM FLASH,5,0,"350.00000","0","1","PSD-S","Active","Optical Element","1","LED","Clear","Random Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700135.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700135.jpg,277-12035-ND,2700135,Phoenix Contact,OPTIC ELEMENT BLU LED RNDM FLASH,5,0,"350.00000","0","1","PSD-S","Active","Optical Element","1","LED","Blue","Random Flashing","24VDC","-","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700140_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700140.jpg,277-12046-ND,2700140,Phoenix Contact,ACOUSTIC ELEMENT VOICE OUTPUT,4,0,"435.00000","0","1","PSD-S","Active","Acoustic Element","1","-","-","Voice Output","24VDC","Adjustable Volume","-","IP65 - Dust Tight, Water Resistant","-20°C ~ 50°C"
https://www.mspindy.com/Specifications/JT028-RYG-CS.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_3StackRYGPole.jpg,458-1494-ND,JT028-RYG-CS,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD/YL 3 STACK,0,0,"151.06000","0","1","JT Stack Light","Active","Complete Unit","3","LED","Green, Red, Yellow","Steady","24VAC/DC","-","Wire Leads","NEMA 12","-25°C ~ 60°C"
https://www.mspindy.com/Specifications/JT028-RYG-CSL.pdf,//media.digikey.com/Photos/Mallory%20Sonalert%20Products%20Photos/MFG_3StackRYGPole.jpg,458-1492-ND,JT028-RYG-CSL,Mallory Sonalert Products Inc.,COMPLETE UNIT GN/RD/YL 3 STACK,1,0,"198.27000","0","1","JT Stack Light","Active","Complete Unit","3","LED","Green, Red, Yellow","Steady Lighting, Multiple Tone","24VAC/DC","Alarm","Wire Leads","NEMA 12","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700145.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2700145.JPG,277-12049-ND,2700145,Phoenix Contact,CABLE GLAND,7,10,"12.50000","0","1","PSD-S","Active","Cable Gland","-","-","-","-","-","-","-","-","-20°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700148.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700148.jpg,277-12051-ND,2700148,Phoenix Contact,REPLACEMENT END COVER,10,0,"14.50000","0","1","PSD-S","Active","Replacement End Cover","-","-","-","-","-","-","-","-","-20°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700142.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700142.jpg,277-11042-ND,2700142,Phoenix Contact,BULB INCANDESCENT 24V,0,0,"15.50000","0","1","PSD-S","Active","Bulb","-","Incandescent","-","-","24VDC","-","-","-","-30°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700160.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700160.jpg,277-12062-ND,2700160,Phoenix Contact,SINGLE SIDE MOUNTING BRACKET,3,0,"21.00000","0","1","PSD-S","Active","Mounting Bracket","-","-","-","-","-","-","-","-","-20°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700163.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700163.jpg,277-12064-ND,2700163,Phoenix Contact,FOOT MOUNTING BASE FOR 25MM TUBE,1,0,"22.00000","0","1","PSD-S","Active","Mounting Base","-","-","-","-","-","-","-","-","-20°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700153.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700153.jpg,277-12056-ND,2700153,Phoenix Contact,OUTLET BOX WITH MAGNETIC BASE,3,0,"27.50000","0","1","PSD-S","Active","Outlet Box","-","-","-","-","-","Magnetic Base","-","-","-30°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700091_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700091.jpg,277-12039-ND,2700091,Phoenix Contact,CONNECTION BASE WITH END COVER,3,32,"44.50000","0","1","PSD-S","Active","Connection Base with End Cover","-","-","-","-","-","-","Spring Terminal","IP65 - Dust Tight, Water Resistant","-30°C ~ 50°C"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2700095_Ds.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2700095.jpg,277-12041-ND,2700095,Phoenix Contact,CONNECTION BASE WITH END COVER,2,46,"44.50000","0","1","PSD-S","Active","Connection Base with End Cover","-","-","-","-","-","-","Screw Terminal","IP65 - Dust Tight, Water Resistant","-30°C ~ 50°C"
