Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Applications","Type","Cable Length","Reel Capacity","Cable Type","Cable Diameter","Voltage","Lamp Wattage","Current Rating (Amps)","Features","Approvals"
-,//media.digikey.com/photos/Molex/1301750064.jpg,WM21707-ND,1301750064,Molex,10FLS - RATCHET LOCK & SAFETY LO,2,0,"481.30000","0","1","Aero-Motive 130175","Active","Safety","Retractor","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8013-ND,UMA-24-18-1,Omron Automation and Safety,MAT SAFETY 24X18 M8 BLK,2,0,"513.00000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8021-ND,UMA-36-12-1,Omron Automation and Safety,MAT SAFETY 12X60 M8 BLK,2,0,"513.00000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
//media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/Electric%20Reel.pdf,-,WM24809-ND,1301760004,Molex,TORQUE REEL 15KG 15',3,0,"528.00000","0","1","Aero-Motive 130176","Active","Standard","Torque Reel","15.00' (4.57m)","-","-","0.094"" (2.38mm)","-","-","-","-","-"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=18,-,WM24720-ND,1301080144,Molex,HANDLAMP 40W 25' W/SWITCH,2,0,"560.45000","0","1","Super-Safeway 130108","Active","Industrial","Hand Lamp, Fluorescent","25.00' (7.62m)","-","18/3","-","120VAC","40 Watt","-","-","CSA, UL"
-,//media.digikey.com/Photos/Molex/1301860328.jpg,WM21731-ND,1301860328,Molex,BALLAST CORDSET 110V 50HZ 35' FO,2,0,"562.34000","0","1","130186","Active","General Purpose","Hand Lamp, Fluorescent","35.00' (10.67m)","-","-","-","110VAC","-","-","-","-"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=209,-,WM24811-ND,1301770005,Molex,STATIC GROUND REEL - 50' CABLE,2,0,"564.48000","0","1","Aero-Motive 130177","Active","Heavy Duty","Static Grounding Reel","50.00' (15.24m)","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/Electric%20Reel.pdf,-,WM24810-ND,1301760009,Molex,TORQUE REEL 6.8KG 15',2,0,"568.89000","0","1","Aero-Motive 130176","Active","Standard","Torque Reel","15.00' (4.57m)","-","-","0.094"" (2.38mm)","-","-","-","-","-"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=31,-,WM24721-ND,1301100031,Molex,PORTABLE WORKLIGHT 100W HPS 10',2,0,"569.70000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.molex.com/pdm_docs/sd/1301110101_sd.pdf,-,WM21773-ND,1301110101,Molex,LED STRINGLIGHT 14W 50FT 5SKT,2,0,"572.12000","0","1","130111","Active","Wet Location","String Light","50.00' (15.24m)","-","12/3","-","125VAC","14 Watt","0.6A","5 Sockets","UL"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8010-ND,UMA-12-60-1,Omron Automation and Safety,MAT SAFETY 12X60 M8 BLK,2,0,"583.20000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301740014_TOOL_SUPPORTS.pdf,-,WM24943-ND,1301740014,Molex,CAST ALUM-RATCHET LOCK 2-7LB 8',6,0,"613.11000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,WM24807-ND,1301740001,Molex,CAST-RATCHET LOCK 4-10LB 8',2,0,"613.11000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
-,-,WM24808-ND,1301740005,Molex,CAST AL-RATCHET LOC 8-15LB 8',2,0,"613.11000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8018-ND,UMA-30-30-1,Omron Automation and Safety,MAT SAFETY 12X60 M8 BLK,2,0,"626.40000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8028-ND,UMA-42-24-1,Omron Automation and Safety,MAT SAFETY 42X24 M8 BLK,2,0,"648.00000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8023-ND,UMA-36-30-1,Omron Automation and Safety,MAT SAFETY 36X30 M8 BLK,2,0,"664.20000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/987650-4473.pdf,-,WM24730-ND,1301260188,Molex,STATION 4-PUSHBUTTON 30MM,2,0,"669.08000","0","1","Woodhead Super-Safeway 130126","Active","-","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8032-ND,UMA-48-24-1,Omron Automation and Safety,MAT SAFETY 48X24 M8 BLK,2,0,"680.40000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301040041_LIGHTING.pdf,-,WM20697-ND,1301040041,Molex,HZRDS DTY INCAND HNDLMP INCNDES,3,0,"682.85000","0","1","Haztex 130104","Active","-","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8024-ND,UMA-36-36-1,Omron Automation and Safety,MAT SAFETY 36X36 M8 BLK,5,0,"718.20000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8011-ND,UMA-18-72-1,Omron Automation and Safety,MAT SAFETY 18X72 M8 BLK,2,0,"718.20000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8015-ND,UMA-24-54-1,Omron Automation and Safety,MAT SAFETY 24X54 M8 BLK,2,0,"718.20000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8016-ND,UMA-24-60-1,Omron Automation and Safety,MAT SAFETY 24X60 M8 BLK,2,0,"725.58000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-8062.pdf,-,WM23961-ND,1300910090,Molex,CORD REEL W/BOX 35' 12AWG-3COND,2,0,"731.93000","0","1","Super-Safeway 130091","Active","Standard","Cable Reel","35.00' (10.67m)","-","12/3","-","120VAC","-","15A","Duplex Outlet","CSA, UL"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=8,-,WM24717-ND,1301040045,Molex,LAMP HAND W/50' 16-3 CORD 1447,2,0,"752.91000","0","1","Haztex 130104","Active","Hazardous, Wet Location","Hand Lamp, Incandescent","50.00' (15.24m)","-","16/3","-","120VAC","100 Watt","-","-","CSA, UL"
https://www.molex.com/pdm_docs/sd/1301260207_sd.pdf,-,WM24732-ND,1301260207,Molex,STATION 3-PUSHBUTTON SGL-SPEED,2,0,"768.53000","0","1","Woodhead Super-Safeway 130126","Active","-","-","-","-","-","-","-","-","-","-","-"
https://industrial.omron.us/en/media/UMA_datasheet_EN_201711_F323IE02_Final_tcm849-115576.pdf,-,Z8017-ND,UMA-24-72-1,Omron Automation and Safety,MAT SAFETY 12X60 M8 BLK,2,0,"788.22000","0","1","UMA","Active","Safety","Safety Mat","3.94"" (100.00mm)","-","22 AWG","-","-","-","-","-","CE, cULus"
