Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2814058.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2814058-USA.JPG,277-4850-ND,2814058-USA,Phoenix Contact,MCR PASSIVE ISOLATOR,0,0,"Obsolete","0","1","Bulk","MACX MCR","Obsolete","Passive Isolator"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2316022.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2316022.jpg,2316022-ND,2316022,Phoenix Contact,FOUNDATION FIELDBUS TRUNK IN/OUT,0,0,"Obsolete","0","1","Bulk","-","Obsolete","Device Coupler"
http://select.phoenixcontact.com/phoenix/dwld/db_en_mcr_clp_i_i_00_5105625.pdf;jsessionid=419CA6FFA3D410E46E6FA4CC7404ED61.select2-lin-dmz-app02-download?cp=y&asid2=6040873591262,//media.digikey.com/Photos/Phoenix%20Photos/2814016.JPG,277-4870-ND,2814016,Phoenix Contact,MCR PASSIVE ISOLATOR 4-20MA,0,0,"Obsolete","0","1","Bulk","-","Obsolete","Passive Isolator"
http://select.phoenixcontact.com/phoenix/dwld/db_en_mcr_clp_i_i_00_5105625.pdf;jsessionid=419CA6FFA3D410E46E6FA4CC7404ED61.select2-lin-dmz-app02-download?cp=y&asid2=6040873591262,//media.digikey.com/Photos/Phoenix%20Photos/2814029.JPG,277-4976-ND,2814029,Phoenix Contact,MCR PASSIVE ISOLATOR 4-20MA,0,0,"Obsolete","0","1","Bulk","-","Obsolete","Passive Isolator"
http://select.phoenixcontact.com/phoenix/dwld/db_en_mcr_clp_i_i_00_5105625.pdf;jsessionid=419CA6FFA3D410E46E6FA4CC7404ED61.select2-lin-dmz-app02-download?cp=y&asid2=6040873591262,//media.digikey.com/Photos/Phoenix%20Photos/2814045.JPG,277-4954-ND,2814045,Phoenix Contact,MCR PASSIVE ISOLATOR 4-20MA,0,30,"Obsolete","0","1","Bulk","-","Obsolete","Passive Isolator"
-,-,2814540-ND,2814540,Phoenix Contact,3 WAY ISOLATING AMP 4-20MA,0,0,"Obsolete","0","1","Bulk","MCR","Obsolete","Isolation Amplifier"
-,-,2814524-ND,2814524,Phoenix Contact,3 WAY ISOLATING AMP 4-20MA,0,0,"Obsolete","0","1","Bulk","MCR","Obsolete","Isolation Amplifier"
-,-,2814498-ND,2814498,Phoenix Contact,3 WAY ISOLATING AMP 4-20MA,0,0,"Obsolete","0","1","Bulk","MCR","Obsolete","Signal Conditioner"
-,//media.digikey.com/Photos/Phoenix%20Photos/2814252.JPG,277-5118-ND,2814252,Phoenix Contact,LOOP POWERED ISOLATOR 4-20MA,0,0,"Obsolete","0","1","Bulk","-","Obsolete","Passive Isolator"
-,-,2814553-ND,2814553,Phoenix Contact,REPEATER POWER SUPPLY 24VDC,0,0,"Obsolete","0","1","Bulk","MCR","Obsolete","Isolation Amplifier"
