Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Filament Material","Color","Filament Diameter","Weight","Tensile Strength","Flex Strength","Density","Operating Temperature","Features"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Red.jpg,ABS17RE5-ND,ABS17RE5,MG Chemicals,FILAMENT RED ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Red","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Yellow.jpg,ABS17YE5-ND,ABS17YE5,MG Chemicals,FILAMENT YELLOW ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Yellow","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Green.jpg,ABS17GR5-ND,ABS17GR5,MG Chemicals,FILAMENT GREEN ABS 0.07"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Green","0.070"" (1.75mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Blue.jpg,ABS17BL5-ND,ABS17BL5,MG Chemicals,FILAMENT BLUE ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Blue","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Orange.jpg,ABS17OR5-ND,ABS17OR5,MG Chemicals,FILAMENT ORANGE ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Orange","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,-,ABS17PU5-ND,ABS17PU5,MG Chemicals,FILAMENT PURPLE ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Purple","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Grey.jpg,ABS17GY5-ND,ABS17GY5,MG Chemicals,FILAMENT GRAY ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Gray","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Pink.jpg,ABS17PI5-ND,ABS17PI5,MG Chemicals,FILAMENT PINK ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Pink","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Brown.jpg,ABS17BR5-ND,ABS17BR5,MG Chemicals,FILAMENT BROWN ABS 0.07"" 500G,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Brown","0.070"" (1.75mm)","1.102 lb (500.0g)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
http://www.mgchemicals.com/downloads/tds/tds-3d-filaments-abs.pdf,//media.digikey.com/Photos/MG%20Chemicals%20Photos/MFG_PREM%203D%20FLMNT%20Gold.jpg,ABS17GO5-ND,ABS17GO5,MG Chemicals,FILAMENT GOLD ABS 0.07"" 1KG,0,0,"Obsolete","0","2","-","Obsolete","ABS (Acrylonitrile Butadiene Styrene)","Gold","0.070"" (1.75mm)","2.205 lb (1.00kg)","45N/mm²","77N/mm²","1.05g/cm³","230°C ~ 240°C","-"
