Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Supplier Device Package"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/etd_44_22_15.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66366W1018T1.JPG,495-5482-ND,B66366W1018T001,EPCOS (TDK),BOBBIN COIL FORMER ETD 44X22X15,177,0,"2.61000","0","1","B66366","Active","Bobbin (Coil Former), Horizontal","ETD","ETD 44 x 22 x 15"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_65_32_27.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66388A2000T1.jpg,495-5498-ND,B66388A2000T001,EPCOS (TDK),BOBBIN COIL FORMER E 65X32X27,74,0,"5.03000","0","1","B66387","Active","Bobbin (Coil Former)","E","E 65 x 32 x 27"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/pm_50_39.pdf,//media.digikey.com/Photos/Epcos%20Photos/B65647B1014T1.jpg,495-5145-ND,B65647B1014T001,EPCOS (TDK),BOBBIN COIL FORMER PM 50 X 39,37,0,"6.80000","0","1","B65647","Active","Bobbin (Coil Former), Vertical","PM","PM 50 x 39"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_70_33_32.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66372A2000T001.jpg,495-75924-ND,B66372A2000T001,EPCOS (TDK),BOBBIN COIL FORMER E 70X33X32,89,0,"8.77000","0","1","B66372","Active","Bobbin (Coil Former)","E","E 70 x 33 x 32"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/P11_7.pdf,//media.digikey.com/Photos/Ferroxcube/CP-P11%5E7-1S-C.JPG,1779-1330-ND,CP-P11/7-1S-C,Ferroxcube,COIL FORMER,912,0,"0.21000","0","1","-","Active","Bobbin (Coil Former)","P","P 11 x 7"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E25_13_7.pdf,//media.digikey.com/Photos/Ferroxcube/CSV-E25%5E13%5E7-1S-6P-C.JPG,1779-1423-ND,CSV-E25/13/7-1S-6P-C,Ferroxcube,COIL FORMER VERTICAL,415,0,"0.36000","0","1","-","Active","Bobbin (Coil Former), Vertical","E","E 25 x 13 x 7"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E25_13_7.pdf,//media.digikey.com/Photos/Ferroxcube/CSH-E25%5E13%5E7-1S-8P-C.jpg,1779-1409-ND,CSH-E25/13/7-1S-8P-C,Ferroxcube,COIL FORMER HORIZONTAL,466,0,"0.46000","0","1","-","Active","Bobbin (Coil Former), Horizontal","E","E 25 x 13 x 7"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/E20_10_6.pdf,//media.digikey.com/Photos/Ferroxcube/CSH-E20%5E10%5E6-1S-8P-C.jpg,1779-1407-ND,CSH-E20/10/6-1S-8P-C,Ferroxcube,COIL FORMER HORIZONTAL,252,0,"0.47000","0","1","-","Active","Bobbin (Coil Former), Horizontal","E","E 20 x 10 x 6"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/EP17.pdf,//media.digikey.com/Photos/Ferroxcube/CLA-EP17.jpg,1779-1255-ND,CLA-EP17,Ferroxcube,CLAMP,434,0,"0.53000","0","1","-","Active","Clamp","EP","EP 17"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/EP17.pdf,//media.digikey.com/Photos/Ferroxcube/SPR-EP17.JPG,1779-1435-ND,SPR-EP17,Ferroxcube,SPRING,431,0,"0.53000","0","1","-","Active","Spring","EP","EP 17"
