Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Supplier Device Package","Material","Diameter","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Height","Length","Width"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_14_9_5.pdf,//media.digikey.com/Photos/Ferroxcube/TX14%5E9%5E5.jpg,1779-1496-ND,TX14/9/5-3C94,Ferroxcube,FERRITE CORES ROUND,1188,0,"0.55000","0","1","-","Active","Toroid","TX 14 x 9 x 5","3C94","14.25mm","-","±30%","Ungapped","-","-","2.84","35","12.3","-","430","Epoxy","5.25mm","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/B64290A0038X010_DS.pdf,-,495-76684-ND,B64290A0038X010,EPCOS (TDK),FERRITE CORE,3000,0,"0.56000","0","1","B64290","Active","Toroid","-","-","-","-","-","Ungapped","-","-","-","-","-","-","-","Uncoated","-","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_14_9_5.pdf,//media.digikey.com/Photos/Ferroxcube/TX14%5E9%5E5.jpg,1779-1500-ND,TX14/9/5-3E6,Ferroxcube,FERRITE CORES ROUND,2362,0,"0.56000","0","1","-","Active","Toroid","TX 14 x 9 x 5","-","14.25mm","-","-","-","-","-","-","-","-","-","-","Epoxy","5.25mm","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_14_9_5.pdf,//media.digikey.com/Photos/Ferroxcube/TX14%5E9%5E5.jpg,1779-1501-ND,TX14/9/5-3E65,Ferroxcube,FERRITE CORES ROUND,1590,0,"0.56000","0","1","-","Active","Toroid","TX 14 x 9 x 5","-","14.25mm","-","±30%","Ungapped","-","10000","2.84","35","12.3","-","430","Epoxy","5.25mm","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_14_9_5.pdf,//media.digikey.com/Photos/Ferroxcube/TX14%5E9%5E5.jpg,1779-1497-ND,TX14/9/5-3E10-M,Ferroxcube,FERRITE CORES ROUND,1580,0,"0.56000","0","1","-","Active","Toroid","TX 14 x 9 x 5","-","14.25mm","-","±30%","Ungapped","-","-","2.84","35","12.3","-","430","Epoxy","5.25mm","-","-"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_20_10_6.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66311G0xxxX127.JPG,495-76705-ND,B66311G0170X187,EPCOS (TDK),FERRITE CORE E N87 1PC,1020,0,"0.56000","0","1","B66311","Active","E","E 20 x 10 x 6","N87","-","-","-","Gapped","-","-","-","-","-","-","-","Uncoated","10.00mm","20.40mm","5.90mm"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_10_5_5_5.pdf,-,495-76706-ND,B66322G0000X127,EPCOS (TDK),FERRITE CORE E N27 1PC,3980,0,"0.58000","0","1","B66322","Active","E","E 10 x 5.5 x 5","N27","-","-","-","Ungapped","-","-","-","-","-","-","-","Uncoated","5.50mm","10.20mm","4.80mm"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_13_7.9_6.4.pdf,//media.digikey.com/Photos/Ferroxcube/TX13%5E7.9%5E6.4.jpg,1779-1503-ND,TX13/7.9/6.4-3C94,Ferroxcube,FERRITE CORES ROUND,1425,0,"0.60000","0","1","-","Active","Toroid","TX 13 x 7.9 x 6.4","3C94","13.35mm","-","±25%","Ungapped","2300","-","2.21","31.2","14.1","-","442","Epoxy","7.00mm","-","-"
//media.digikey.com/pdf/Data%20Sheets/Ferroxcube%20PDFs/TX13_7.9_6.4-3C90.pdf,//media.digikey.com/Photos/Ferroxcube/TX13%5E7.9%5E6.4.jpg,1779-1509-ND,TX13/7.9/6.4-3C90,Ferroxcube,FERRITE CORES ROUND,1262,0,"0.60000","0","1","-","Active","Toroid","TX 13 x 7.9 x 6.4","3C90","13.35mm","-","-","-","-","-","-","-","-","-","-","Epoxy","7.00mm","-","-"
https://www.tdk-electronics.tdk.com/inf/80/db/fer/e_16_8_5.pdf,//media.digikey.com/Photos/Epcos%20Photos/B66307G0500X187.jpg,495-76703-ND,B66307G0500X187,EPCOS (TDK),FERRITE CORE E N87 1PC,3988,0,"0.62000","0","1","B66307","Active","E","E 16 x 8 x 5","N87","-","-","-","Gapped","-","-","-","-","-","-","-","Uncoated","8.20mm","16.00mm","4.70mm"
https://en.tdk.eu/inf/80/db/fer/r_9_53_4_75_3_17.pdf,-,495-76689-ND,B64290L0062X046,EPCOS (TDK),FERRITE CORE TOROID 6.4UH T46,1672,0,"0.62000","0","1","B64290","Active","Toroid","-","T46","10.50mm","6.4µH","±30%","Ungapped","-","15000","2.85","20.72","7.28","-","151","Epoxy","4.10mm","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_14_9_5.pdf,//media.digikey.com/Photos/Ferroxcube/TX14%5E9%5E5.jpg,1779-1498-ND,TX14/9/5-3E12,Ferroxcube,FERRITE CORES ROUND,1590,0,"0.63000","0","1","-","Active","Toroid","TX 14 x 9 x 5","-","14.25mm","-","±30%","Ungapped","-","-","2.84","35","12.3","-","430","Epoxy","5.25mm","-","-"
https://en.tdk.eu/inf/80/db/fer/r_6_30_3_80_2_50.pdf,-,495-76790-ND,B64290P0037X049,EPCOS (TDK),FERRITE CORE,3765,0,"0.64000","0","1","B64290","Active","Toroid","R 6.3 x 3.8 x 2.5","N49","6.30mm","330nH","±25%","Gapped","-","1500","4.97","15.21","3.06","-","46.5","Parylene","2.500"" (63.50mm)","-","-"
https://en.tdk.eu/inf/80/db/fer/r_12_5_7_90_6_35.pdf,-,495-76690-ND,B64290L0742X038,EPCOS (TDK),FERRITE CORE TOROID 6.03UH T38,4470,0,"0.65000","0","1","B64290","Active","Toroid","-","T38","13.60mm","6.03µH","±30%","Ungapped","-","10000","2.08","31.17","14.96","-","466","Epoxy","7.15mm","-","-"
-,//media.digikey.com/Photos/Ferroxcube/TX10%5E6%5E4.jpg,1779-1488-ND,TX10/6/4-3C90,Ferroxcube,FERRITE CORES ROUND,3987,0,"0.65000","0","1","-","Active","Toroid","-","3C90","-","-","-","-","-","-","-","-","-","-","-","Epoxy","4.25mm","-","-"
https://www.ferroxcube.com/upload/media/product/file/Pr_ds/T_10_6_4.pdf,//media.digikey.com/Photos/Ferroxcube/TX10%5E6%5E4.jpg,1779-1480-ND,TX10/6/4-3C94,Ferroxcube,FERRITE CORES ROUND,3831,0,"0.65000","0","1","-","Active","Toroid","-","3C94","-","-","-","Ungapped","-","-","3.07","24.1","7.8","-","3.07","Epoxy","4.25mm","-","-"
http://www.fair-rite.com/wp-content/themes/fair-rite/print_product.php?pid=19951,//media.digikey.com/Photos/Fair-Right/4077276011.jpg,1934-1263-ND,4077276011,Fair-Rite Products Corp.,77 ROD,1889,0,"0.65000","0","1","-","Active","Tube","-","77","9.45mm","-","-","Ungapped","29","2000","-","25","7.07","-","-","Uncoated","-","25.40mm","-"
