Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Maximum AC Volts","Maximum DC Volts","Varistor Voltage (Min)","Varistor Voltage (Typ)","Varistor Voltage (Max)","Current - Surge","Energy","Number of Circuits","Capacitance @ Frequency","Operating Temperature","Features","Mounting Type","Package / Case"
https://www.bourns.com/docs/Product-Datasheets/MLC.pdf,//media.digikey.com/Renders/Bourns%20Renders/CG0402MLC.jpg,CG0402MLC-05LGDKR-ND,CG0402MLC-05LG,Bourns Inc.,VARISTOR 0402,16046,0,"Digi-Reel","0","1","Digi-Reel®","ChipGuard®","Active","-","5V","-","-","-","-","-","1","0.5pF @ 1MHz","-40°C ~ 85°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AWD0000/AWD0000C23.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSD%20Series.jpg,P13571TR-ND,EZA-EG2A50AX,Panasonic Electronic Components,VARISTOR 0402,460000,0,"0.09570","0","10000","Tape & Reel (TR)","-","Active","-","30V","-","-","-","-","-","1","-","-","-","Surface Mount, MLCV","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AWD0000/AWD0000C23.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSD%20Series.jpg,P13571CT-ND,EZA-EG2A50AX,Panasonic Electronic Components,VARISTOR 0402,463964,0,"0.44000","0","1","Cut Tape (CT)","-","Active","-","30V","-","-","-","-","-","1","-","-","-","Surface Mount, MLCV","0402 (1005 Metric)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AWD0000/AWD0000C23.pdf,//media.digikey.com/Renders/Panasonic%20Renders/ERBSD%20Series.jpg,P13571DKR-ND,EZA-EG2A50AX,Panasonic Electronic Components,VARISTOR 0402,463964,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","30V","-","-","-","-","-","1","-","-","-","Surface Mount, MLCV","0402 (1005 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/AVX%20Renders/0603.jpg,478-2498-2-ND,VC060303A100DP,AVX Corporation,VARISTOR 5V 30A 0603,101000,0,"0.10802","0","1000","Tape & Reel (TR)","TransGuard®","Active","2.3V","3.3V","4V","5V","6V","30A","0.10J","1","1450pF @ 1kHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/AVX%20Renders/0603.jpg,478-2498-1-ND,VC060303A100DP,AVX Corporation,VARISTOR 5V 30A 0603,102812,0,"0.40000","0","1","Cut Tape (CT)","TransGuard®","Active","2.3V","3.3V","4V","5V","6V","30A","0.10J","1","1450pF @ 1kHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/AVX%20Renders/0603.jpg,478-2498-6-ND,VC060303A100DP,AVX Corporation,VARISTOR 5V 30A 0603,102812,0,"Digi-Reel","0","1","Digi-Reel®","TransGuard®","Active","2.3V","3.3V","4V","5V","6V","30A","0.10J","1","1450pF @ 1kHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0603 (1608 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/photos/AVX%20Photos/VC040205X150WP.JPG,478-2545-2-ND,VC040205X150WP,AVX Corporation,VARISTOR 8.5V 20A 0402,300000,0,"0.10875","0","10000","Tape & Reel (TR)","TransGuard®","Active","4V","5.6V","6.8V","8.5V","10.2V","20A","0.05J","1","175pF @ 1MHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(5.5).jpg,478-2545-1-ND,VC040205X150WP,AVX Corporation,VARISTOR 8.5V 20A 0402,310974,0,"0.50000","0","1","Cut Tape (CT)","TransGuard®","Active","4V","5.6V","6.8V","8.5V","10.2V","20A","0.05J","1","175pF @ 1MHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
http://datasheets.avx.com/tguard.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(5.5).jpg,478-2545-6-ND,VC040205X150WP,AVX Corporation,VARISTOR 8.5V 20A 0402,310974,0,"Digi-Reel","0","1","Digi-Reel®","TransGuard®","Active","4V","5.6V","6.8V","8.5V","10.2V","20A","0.05J","1","175pF @ 1MHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4083_PSO4LTVA1.pdf,//media.digikey.com/Renders/Cooper%20Bussmann%20Renders/TVSA_0402.jpg,283-3019-2-ND,PS04LTVA1,Eaton - Electronics Division,VARISTOR 25V 0402,40000,0,"0.10875","0","10000","Tape & Reel (TR)","Polysurg LTV","Active","-","5V","-","-","-","-","-","1","0.15pF @ 1MHz","-55°C ~ 125°C (TA)","-","Surface Mount, MLCV","0402 (1005 Metric)"
