Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Style","Specifications"
http://downloadt.advantech.com/ProductFile/PIS/96PR-152-USP-I/Product%20-%20Datasheet/96PR-152-USP-I_datasheet20171214175516.pdf,-,96PR-152-USP-I-ND,96PR-152-USP-I,Advantech Corp,PRINTER 203DPI USB/SER/P US,0,0,"941.24000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer - Industrial","Barcodes, Labels","203 dpi (8 dots/mm), Print Speed 6"" (150mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0"
-,-,T22-SWARE-PRINTER-ND,T22-SWARE-PRINTER,TE Connectivity Raychem Cable Protection,T200-LABEL-SWARE-PRINTER,0,0,"999.41000","0","1","T200","Active","Desktop","Thermal Printer, Transfer","Labels","203 dpi, Centronics (Parallel), Ethernet, Print Speed 5"" (127mm/s), Paper Width 4.4"" (112mm), Serial (RS-232C), USB"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00239.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_556-00239.jpg,556-00239-ND,556-00239,HellermannTyton,TT230SM/TAGPRINT PRO 3.0 PRINTER,0,0,"1012.28000","0","1","TT230SM","Active","Desktop","Thermal Printer, Transfer","Labels","300 dpi (12 dots/mm), Print Speed 5"" (125mm/s)"
http://advdownload.advantech.com/productfile/PIS/96pr-102-us-i/Product%20-%20Datasheet/96PR-102-US-I_datasheet20180225090041.pdf,-,96PR-102-US-I-ND,96PR-102-US-I,Advantech Corp,PRINTER 300DPI 4 IPS USB/SER US,0,0,"1110.22000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer - Industrial","Barcodes, Labels","300 dpi (12 dots/mm), Print Speed 4"" (102mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0"
http://advdownload.advantech.com/productfile/PIS/96pr-102-usp-i/Product%20-%20Datasheet/96PR-102-USP-I_datasheet20180225090043.pdf,-,96PR-102-USP-I-ND,96PR-102-USP-I,Advantech Corp,PRINTER 300DPI 4IPS USB/SER/P US,0,0,"1152.11000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer - Industrial","Barcodes, Labels","300 dpi (12 dots/mm), Print Speed 4"" (102mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0"
-,-,7-1768016-2-ND,7-1768016-2,TE Connectivity Passive Product,BZZ-01-DRUCKKOPF,0,0,"1247.88000","0","1","-","Active","-","-","-","-"
http://advdownload.advantech.com/productfile/PIS/96pr-102-uxhl-d/Product%20-%20Datasheet/96PR-102-UXHL-D_datasheet20180225090046.pdf,-,96PR-102-UXHL-D-ND,96PR-102-UXHL-D,Advantech Corp,DESKTOP PRINTER 600DPI LCD US,0,0,"1284.78000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer","Barcodes, Labels","600 dpi (24 dots/mm), 10/100 Mbps Ethernet, Print Spd 4"" (102mm/s), Print Width 4"" (101mm), Serial (RS-232), USB 2.0, USB Host"
http://wpc.AC62.edgecastcdn.net/00AC62/documents/productpdfs/557-00112.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_557-00112.jpg,557-00112-ND,557-00112,HellermannTyton,PORTABLE SIGN PRINTER,0,0,"1332.45000","0","1","OSPLP","Active","Handheld","Thermal Printer, Transfer","Markers","Paper Width 2"" (50.8mm)"
-,//media.digikey.com/Photos/HellermannTyton%20Photos/MFG_557-00113.jpg,557-00113-ND,557-00113,HellermannTyton,PORTABLE SIGN PRINTER KIT,0,0,"1416.08000","0","1","OSPLP","Active","Handheld","Thermal Printer, Transfer","Markers","203 dpi, LCD Screen"
http://advdownload.advantech.com/productfile/PIS/96pr-356-uxph-i/Product%20-%20Datasheet/96PR-356-UXPH-I_datasheet20180225090107.pdf,-,96PR-356-UXPH-I-ND,96PR-356-UXPH-I,Advantech Corp,THERMAL PRINTER 203DPI 14 IPS US,0,0,"1448.37000","0","1","-","Active","Desktop","Thermal Printer, Direct and Transfer - Industrial","Barcodes, Labels","203 dpi (8 dots/mm), Centronics (Parallel), Ethernet, Print Spd 14"" (356mm/s), Print Wdth 4"" (101mm), Serial, USB 2.0, USB Host"
