Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
-,-,DSPXP-100-ND,DSPXP-100,Quatech-Division of B&B Electronics,2 PORT PCIE-BASED RS-232 SERIAL,0,0,"Obsolete","0","5","-","Obsolete","RS-232","ExpressCard","2"
http://advdownload.advantech.com/productfile/PIS/BB-3PCIOU1/Product%20-%20Datasheet/3PCIx_MiPortCards_2517ds20170801014717.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_3PCIOU1.jpg,1165-1006-ND,BB-3PCIOU1,"B&B SmartWorx, Inc.",1PORT OPTIC ISO UNIVRSL PCI CARD,0,0,"Obsolete","0","1","MIPort™","Obsolete","RS-232, RS-422, RS-485","PCI Express","1"
http://advdownload.advantech.com/productfile/PIS/BB-3PCIOU1/Product%20-%20Datasheet/3PCIx_MiPortCards_2517ds20170801014717.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_3PCIOU2.jpg,1165-1007-ND,BB-3PCIOU2,"B&B SmartWorx, Inc.",2PORT OPTIC ISO UNIVRSL PCI CARD,0,0,"Obsolete","0","1","MIPort™","Obsolete","RS-232, RS-422, RS-485","PCI Express","2"
-,//media.digikey.com/Photos/B&B%20Electronics/MFG_3PCIOU4.jpg,1165-1008-ND,3PCIOU4,"B&B SmartWorx, Inc.",4PORT OPTIC ISO UNIVRSL PCI CARD,0,0,"Obsolete","0","1","MIPort™","Obsolete","RS-232, RS-422, RS-485","PCI Express","4"
http://advdownload.advantech.com/productfile/PIS/BB-3PCIOU1/Product%20-%20Datasheet/3PCIx_MiPortCards_2517ds20170801014717.pdf,//media.digikey.com/Photos/B&B%20Electronics/3PCIU2.jpg,1165-1009-ND,BB-3PCIU2,"B&B SmartWorx, Inc.",2PORT MIPORT UNIVERSAL PCI CARD,0,0,"Obsolete","0","1","MIPort™","Obsolete","RS-232, RS-422, RS-485","PCI Express","2"
http://advdownload.advantech.com/productfile/PIS/BB-3PCIOU1/Product%20-%20Datasheet/3PCIx_MiPortCards_2517ds20170801014717.pdf,//media.digikey.com/Photos/B&B%20Electronics/3PCIU4.jpg,1165-1010-ND,BB-3PCIU4,"B&B SmartWorx, Inc.",4PORT MIPORT UNIVERSAL PCI CARD,0,0,"Obsolete","0","1","MIPort™","Obsolete","RS-232, RS-422, RS-485","PCI Express","4"
-,//media.digikey.com/Photos/B&B%20Electronics/3PCIU8.jpg,1165-1011-ND,3PCIU8,"B&B SmartWorx, Inc.",8PORT MIPORT UNIVERSAL PCI CARD,0,0,"Obsolete","0","1","MIPort™","Obsolete","RS-232, RS-422, RS-485","PCI Express","8"
//media.digikey.com/pdf/Data%20Sheets/Assmann%20PDFs/DN-7006GT.pdf,-,DN-7006GT-ND,DN-7006GT,Assmann WSW Components,WIRELESS LAN PCI ADAPTER,0,0,"Obsolete","0","150","-","Obsolete","WLAN","PCI","-"
https://docs.broadcom.com/docs/12357302,-,516-3561-ND,OCE14102B-NX,Broadcom Limited,OCE14102B-NX SH-P2 10GBIT/S ETHE,0,0,"Obsolete","0","20","-","Obsolete","10G Ethernet (LAN)","PCI Express","2"
https://docs.broadcom.com/docs/12356138,//media.digikey.com/Photos/Broadcom/OCE14102-NM.jpg,516-3559-ND,OCE14102-NM,Broadcom Limited,OCE14102-NM 10GBIT/S ETHERNET AD,0,0,"Obsolete","0","10","-","Obsolete","10G Ethernet (LAN)","PCI Express","2"
https://docs.broadcom.com/docs/12356138,//media.digikey.com/Photos/Broadcom/OCE14401-NX.jpg,516-3562-ND,OCE14401-NX,Broadcom Limited,OCE14401-NX 40GBIT/S ETHERNET AD,0,0,"Obsolete","0","10","-","Obsolete","10G Ethernet (LAN)","PCI Express","1"
https://docs.broadcom.com/docs/12356140,-,OCE11101-EM-ND,OCE11101-EM,Broadcom Limited,EMULEXONECONNECT10GBE1-PORTSFP+P,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","1"
https://docs.broadcom.com/docs/12356140,-,OCE11101-EX-ND,OCE11101-EX,Broadcom Limited,OCE11101-EX EMULEX ONECONNECT 10,0,0,"Active","0","0","-","Active","10GbE","PCI Express","1"
https://docs.broadcom.com/docs/12356160,-,OCE11101-NM-ND,OCE11101-NM,Broadcom Limited,OCE11101-NM10GBIT/SETHERNETADAPT,0,0,"Obsolete","0","10","-","Obsolete","10GbE","PCI Express","1"
https://docs.broadcom.com/docs/12356160,-,OCE11101-NX-ND,OCE11101-NX,Broadcom Limited,OCE11101-NX10GBIT/SETHERNETADAPT,0,0,"Active","0","0","-","Active","10GbE","PCI Express","1"
https://docs.broadcom.com/docs/12356140,-,OCE11102-EM-ND,OCE11102-EM,Broadcom Limited,EMULEXONECONNECT10GBE2-PORTSFP+P,0,0,"Active","0","0","-","Active","10GbE","PCI Express","2"
https://docs.broadcom.com/docs/12356140,-,OCE11102-EX-ND,OCE11102-EX,Broadcom Limited,EMULEXONECONNECT10GBE2-PORTSFP+P,0,0,"Active","0","0","-","Active","10GbE","PCI Express","2"
