Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Diagonal Screen Size","Viewing Area"
-,-,PFNDE002-ND,PFNDE002,3M,NOTEBOOK PRIVACY FILTER,0,0,"42.40000","0","5","-","Active","-","-","-","-"
-,-,PFNDE003-ND,PFNDE003,3M,NOTEBOOK PRIVACY FILTER,0,0,"42.40000","0","5","-","Active","-","-","-","-"
-,-,PFNHP013-ND,PFNHP013,3M,PRIVACY FILTER,0,0,"42.40000","0","5","-","Active","-","-","-","-"
-,-,PFTAP007-ND,PFTAP007,3M,PRIVACY SCREEN PROTECTOR FILTER,0,0,"42.40000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/ePrivacy_Filter.pdf,-,PF13.3W9-ND,PF13.3W9,3M,PRIVACY FILTER LAPTOP 13.3"",0,0,"43.52000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","13.3"" (13.28"", 337mm)","294.00mm W x 166.00mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/MPF829547~.pdf,-,MPF829547-ND,MPF829547,3M,SCREEN PROTECTOR MICROSOFT SURFC,0,0,"43.60000","0","5","-","Active","Privacy Filter","-","-","-"
-,-,AG190C4B-ND,AG190C4B,3M,AG19.0 ANTI-GLARE FILTER FOR STA,0,0,"44.64000","0","1","-","Active","-","-","-","-"
-,-,AG190W1B-ND,AG190W1B,3M,AG19.0W ANTI-GLARE FILTER FOR WI,0,0,"44.64000","0","1","-","Active","-","-","-","-"
-,-,PF133W9E-ND,PF133W9E,3M,NOTEBOOK PRIVACY FILTER,0,0,"44.80000","0","1","-","Active","-","-","-","-"
-,-,PFNHP012-ND,PFNHP012,3M,NOTEBOOK PRIVACY FILTER,0,0,"44.80000","0","1","-","Active","-","-","-","-"
-,-,PFNMS001-ND,PFNMS001,3M,NOTEBOOK PRIVACY FILTER,0,0,"44.80000","0","1","-","Active","-","-","-","-"
-,-,PFNHP005-ND,PFNHP005,3M,NOTEBOOK PRIVACY FILTER,0,0,"45.12000","0","5","-","Active","-","-","-","-"
-,-,PFCMM002-ND,PFCMM002,3M,NOTEBOOK PRIVACY FILTER,0,0,"45.60000","0","1","-","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/777589O/privacy-filter-selector.pdf,//media.digikey.com/photos/3M%20Photos/PF12.1%20THRU%2019.0%20SERIES.jpg,3M5589-ND,PF12.1W,3M,COMPUTER PRIVACY FILTER 12.1"" W,0,0,"45.89250","0","16","-","Active","Privacy Filter, Widescreen","LCD Monitor","12.1"" (12.13"", 308mm)","261.00mm W x 163.00mm H"
-,-,AG195W9B-ND,AG195W9B,3M,AG19.5W9 ANTI-GLARE FILTER FOR W,0,0,"46.56000","0","1","-","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/355489O/3mtm-privacy-filters.pdf,//media.digikey.com/photos/3M%20Photos/PF12.1%20THRU%2019.0%20SERIES.jpg,3M5590-ND,PF13.3,3M,COMPUTER PRIVACY FILTER 13.3"",0,0,"46.57375","0","16","-","Active","Privacy Filter","LCD Monitor","13.3"" (13.29"", 338mm)","270.00mm W x 203.00mm H"
-,-,PFNDE004-ND,PFNDE004,3M,PRIVACY FILTER,0,0,"47.20000","0","5","-","Active","-","-","-","-"
http://multimedia.3m.com/mws/media/355489O/3mtm-privacy-filters.pdf,//media.digikey.com/photos/3M%20Photos/PF12.1%20THRU%2019.0%20SERIES.jpg,3M5591-ND,PF14.1,3M,COMPUTER PRIVACY FILTER 14.1"",0,0,"47.95125","0","16","-","Active","Privacy Filter","LCD Monitor","14.1"" (14.06"", 357mm)","286.00mm W x 214.00mm H"
http://multimedia.3m.com/mws/media/777589O/privacy-filter-selector.pdf,//media.digikey.com/photos/3M%20Photos/PF12.1%20THRU%2019.0%20SERIES.jpg,3M5594-ND,PF15.4W,3M,COMPUTER PRIVACY FILTER 15.4"" W,0,0,"48.11125","0","16","-","Active","Privacy Filter, Widescreen","LCD Monitor","15.4"" (15.43"", 392mm)","302.00mm W x 208.00mm H"
-,-,AG200W9B-ND,AG200W9B,3M,ANTI-GLARE FILTER,0,0,"48.32000","0","1","-","Active","-","-","-","-"
-,-,PFNDE001-ND,PFNDE001,3M,NOTEBOOK PRIVACY FILTER,0,0,"49.80800","0","5","-","Active","-","-","-","-"
-,-,PF121C3B-ND,PF121C3B,3M,PF12.1 PRIVACY FILTER FOR LAPTOP,0,0,"49.87000","0","1","-","Active","-","-","-","-"
