Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Keys","Interface","Features","Color","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Pimoroni%20PDFs/KEY0103_Web.pdf,//media.digikey.com/Photos/Pimoroni%20Photos/MFG_KEY0103.jpg,KEY0103-ND,KEY0103,Pimoroni Ltd,MINI WIRELESS BLUETOOTH KEYBOARD,0,0,"22.30000","0","6","-","Active","Keyboard, Mini (Wireless)","59","-","Bluetooth v3.0, Touchpad, USB Charging Cable","Black","7.680"" L x 4.840"" W (195.00mm x 123.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/WIG-14271_Web.pdf,//media.digikey.com/Photos/Sparkfun%20Elec%20%20Photos/MFG_WIG-14271.jpg,WIG-14271-ND,WIG-14271,SparkFun Electronics,MULTIMEDIA WIRELESS KEYBOARD,0,0,"31.25000","0","1","-","Active","Keyboard (Wireless)","83","USB","Touchpad","-","12.400"" L x 4.800"" W x 0.700"" H (315.00mm x 121.90mm x 17.80mm)"
-,-,IPC-KB-6302-ND,IPC-KB-6302,Advantech Corp,KEYBOARD COMPACT 88-KEY ENGLISH,0,0,"50.54000","0","1","IPC-KB","Active","Keyboard","104","PS/2","Compact","-","15.750"" L x 7.400"" W x 1.570"" H (400.00mm x 187.96mm x 40.00mm)"
-,-,IPC-KB-6304-ND,IPC-KB-6304,Advantech Corp,KEYBOARD COMPACT 88KEY TOUCH ENG,0,0,"58.52000","0","1","IPC-KB","Active","Keyboard","88","PS/2","Compact","-","11.300"" L x 5.510"" W x 1.140"" H (287.00mm x 140.00mm x 29.00mm)"
-,-,IPC-KB-6305-ND,IPC-KB-6305,Advantech Corp,KEYBOARD COMPACT 104-KEY,0,0,"75.81000","0","1","IPC-KB","Active","Keyboard","88","PS/2","Compact, Touchpad","-","11.380"" L x 8.940"" W x 1.060"" H (289.00mm x 227.00mm x 27.00mm)"
-,-,IPC-KB-6307-ND,IPC-KB-6307,Advantech Corp,KEYBOARD 105-KEY TOUCHPAD ENG,0,0,"172.90000","0","1","IPC-KB","Active","Keyboard","105","PS/2","Touchpad","-","15.430"" L x 10.040"" W x 1.020"" H (392.00mm x 255.00mm x 26.00mm)"
-,-,IPC-KB-6312B-ND,IPC-KB-6312B,Advantech Corp,KEYBOARD RACK MT 105KEY TOUCH BK,0,0,"251.37000","0","1","IPC-KB","Active","Keyboard","105","PS/2","Touchpad","Beige","14.170"" L x 18.980"" W x 1.730"" H (360.00mm x 482.00mm x 44.00mm)"
-,-,IPC-KB-6312-ND,IPC-KB-6312,Advantech Corp,KEYBOARD RACK MT 105KEY TOUCH BG,0,0,"254.03000","0","1","IPC-KB","Active","Keyboard","105","PS/2","Touchpad","Beige","18.980"" L x 14.170"" W x 1.750"" H (482.00mm x 360.00mm x 44.40mm)"
-,-,2210-320023-ND,2210-320023,Storm Interface,"KEYBOARD 61 KEY, METAL KEYTOPS",0,0,"323.98600","0","5","2210","Active","Keyboard","61","PS/2, USB","Vandal Resistant, Sealed, IP65","Silver","11.400"" L x 4.600"" W x 1.500"" H (290.00mm x 117.60mm x 38.10mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359029.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/2210-452223.jpg,MGR1631-ND,2210-452223,Storm Interface,KEYBOARD 63KEY VANDAL RESIST,0,0,"335.47000","0","1","2210","Active","Keyboard","63","USB","Trackball, Vandal Resistant, Sealed, IP54","Black with White Keys","14.170"" L x 4.670"" W x 2.050"" H (360.00mm x 118.50mm x 52.00mm)"
