Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Convert From (Adapter End)","Convert To (Adapter End)","Interface","Features","Utilized IC / Part"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_USB-COM485-PLUS1.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/USB-COM485-PLUS-1.jpg,768-1038-ND,USB-COM485-PLUS1,"FTDI, Future Technology Devices International Ltd",MOD USB RS485 CONVERTER 1 CH,73,0,"27.93000","0","1","USB-COM-Plus","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male","RS-485, UART","LED Indicator","FT232R"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_USB-COM232-PLUS2.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/USB-COM232-PLUS-2.jpg,768-1033-ND,USB-COM232-PLUS2,"FTDI, Future Technology Devices International Ltd",MOD USB HS RS232 CONVERTER 2 CH,41,0,"40.56000","0","1","USB-COM-Plus","Active","USB to Serial","USB - Mini B 2.0 Female","D-Sub 09 Pos (DB9) Male (2)","RS-232","LED Indicator","FT2232H"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_USB-COM485-PLUS2.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/USB-COM485-PLUS-2.jpg,768-1039-ND,USB-COM485-PLUS2,"FTDI, Future Technology Devices International Ltd",MOD USB HS RS485 CONVERTER 2 CH,38,0,"47.31000","0","1","USB-COM-Plus","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male (2)","RS-485, UART","LED Indicator","FT2232H"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_USB-COM422-PLUS2.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/USB-COM422-PLUS-2.jpg,768-1036-ND,USB-COM422-PLUS2,"FTDI, Future Technology Devices International Ltd",MOD USB HS RS422 CONVERTER 2 CH,37,0,"70.46000","0","1","USB-COM-Plus","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male (2)","RS-422, UART","LED Indicator","FT2232H"
http://www.ftdichip.com/Support/Documents/DataSheets/Modules/DS_USB-COM485-PLUS4.pdf,//media.digikey.com/photos/FTDI%20(Future%20Tech%20Devices)/USB-COM485-PLUS-4.jpg,768-1040-ND,USB-COM485-PLUS4,"FTDI, Future Technology Devices International Ltd",MOD USB HS RS485 CONVERTER 4 CH,66,0,"71.25000","0","1","USB-COM-Plus","Active","USB to Serial","USB - Mini B 2.0 Female","D-Sub 09 Pos (DB9) Male (4)","RS-485, UART","LED Indicator","FT4232H"
http://advdownload.advantech.com/productfile/PIS/BB-232USB9M/Product%20-%20Datasheet/232USB9M&232USB9M-LS_3316ds20170404231939.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_232USB9M-LS.jpg,1165-1154-ND,BB-232USB9M-LS,"B&B SmartWorx, Inc.",CONVERTER USB TO RS-232,53,26,"73.13000","0","1","-","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male","RS-232","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-232USB9M/Product%20-%20Datasheet/232USB9M&232USB9M-LS_3316ds20170404231939.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_232USB9M.jpg,1165-1005-ND,BB-232USB9M,"B&B SmartWorx, Inc.",MINI CONVERTER USB TO SERIAL,50,143,"73.13000","0","1","-","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male","RS-232","-","-"
http://advdownload.advantech.com/productfile/PIS/BB-USPTL4/Product%20-%20Datasheet/USOPTL4-USPTL4-USO9ML4_4117ds20171129112421.pdf,//media.digikey.com/Photos/B&B%20Electronics/MFG_USPTL4-LS.jpg,1165-1197-ND,BB-USPTL4-LS,"B&B SmartWorx, Inc.",CONVERTER USB TO RS-422/485 LOCK,20,49,"79.31000","0","1","-","Active","USB to Serial","USB - B 2.0 Female","Terminal Block","RS-422, RS-485","ESD Protecting, LED Indicator","-"
http://advdownload.advantech.com/productfile/PIS/BB-485USB9F-2W/Product%20-%20Datasheet/485USB9F-2Wx_485USB9F-4Wx_1017ds20170327234647.pdf,//media.digikey.com/Photos/B&B%20Electronics/485USB9F-2W-LS.jpg,1165-1185-ND,BB-485USB9F-2W-LS,"B&B SmartWorx, Inc.","USB TO SERIAL 1PT 485, 2 WR DB9F",14,105,"93.73000","0","1","-","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Female","RS-485","-","-"
https://www.digi.com/pdf/prd_usb_edgeport.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/301-1001-31.jpg,602-1625-ND,301-1001-31,Digi International,SERIAL DEVICE SERVER 1-PORT,13,0,"139.00000","0","1","Edgeport®","Active","USB to Serial","USB Female","D-Sub 09 Pos (DB9) Male","RS-422, RS-485","-","-"
