Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Disconnect Type","Number of Positions","Number of Levels","Terminal - Width","Termination Style","Current - IEC","Voltage - IEC","Current - UL","Voltage - UL","Wire Gauge or Range - AWG","Wire Gauge or Range - mm²","Features","Color","Fuse Type"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044092.pdf,//media.digikey.com/photos/Phoenix%20Photos/3044092.JPG,277-2031-ND,3044092,Phoenix Contact,CONN TERM BLK GROUND 12-26AWG,1897,12500,"4.30000","0","1","CLIPLINE UT","Active","Ground, Earth","-","2","1","5.2mm","Screw","-","-","-","-","12-26 AWG","0.14-4mm²","-","Green, Yellow","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044128.pdf,//media.digikey.com/photos/Phoenix%20Photos/3044128.JPG,277-2032-ND,3044128,Phoenix Contact,CONN TERM BLK GROUND 10-26AWG,1011,54150,"4.76000","0","1","CLIPLINE UT","Active","Ground, Earth","-","2","1","6.2mm","Screw","-","-","-","-","10-26 AWG","0.14-6mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3005073.pdf,//media.digikey.com/photos/Phoenix%20Photos/3005073.jpg,277-1503-ND,3005073,Phoenix Contact,CONN TERM BLK FEED THRU 6-24 AWG,197,0,"5.04000","0","1","CLIPLINE UK","Active","Feed Through","-","2","1","10.2mm","Screw","57A","800V","65A","600V","6-24 AWG","0.5-16mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3205116.pdf,//media.digikey.com/photos/Phoenix%20Photos/3205116.JPG,277-3419-ND,3205116,Phoenix Contact,CONN TERM BLK FEED THRU 16-24AWG,1464,8450,"5.42000","0","1","CLIPLINE QTTCB","Active","Feed Through","-","4","2","5.2mm","IDC","17.5A","500V","10A","600V","16-24 AWG","0.25-1.5mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3214259.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3214259.JPG,277-2544-ND,3214259,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,4418,31200,"5.92000","0","1","CLIPLINE UT","Active","Feed Through","-","6","3","5.2mm","Screw","20A","500V","20A","300V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3001679.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3001679.JPG,277-3386-ND,3001679,Phoenix Contact,CONN TERM BLK FEED THRU 14-30AWG,1456,2600,"6.04000","0","1","CLIPLINE MT","Active","Feed Through","-","4","1","4.2mm","Screw","16A","400V","15A","300V","14-30 AWG","0.14-1.5mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044225.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3044225.JPG,277-3266-ND,3044225,Phoenix Contact,CONN TERM BLK FEED THR 1/0-14AWG,907,16800,"6.20000","0","1","CLIPLINE UT","Active","Feed Through","-","2","1","16.0mm","Screw","125A","1000V","150A","600V","1/0-14 AWG","1.5-50mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3210499.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3210499.JPG,277-3481-ND,3210499,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,1042,13900,"6.69000","0","1","CLIPLINE PT","Active","Feed Through","-","6","3","5.2mm","Push In, Spring","20A","500V","20A","300V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2775375.pdf,//media.digikey.com/Photos/Phoenix%20Photos/2775375.JPG,277-2420-ND,2775375,Phoenix Contact,CONN TERM BLK FEED THRU 12-30AWG,1525,6550,"6.92000","0","1","CLIPLINE UDK","Active","Feed Through","-","4","1","5.2mm","Screw","24A","500V","20A","300V","12-30 AWG","0.2-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2774017.pdf,//media.digikey.com/photos/Phoenix%20Photos/2774017.JPG,277-1491-ND,2774017,Phoenix Contact,CONN TERM BLK FEED THRU 10-26AWG,867,0,"7.44000","0","1","CLIPLINE UKK","Active","Feed Through","-","4","2","6.2mm","Screw","32A","500V","30A","600V","10-26 AWG","0.2-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1414129.pdf,//media.digikey.com/photos/Phoenix%20Photos/1414129.jpg,277-1483-ND,1414129,Phoenix Contact,CONN TERM BLK FEED THRU 14-30AWG,509,1650,"7.72000","0","1","CLIPLINE MTTB","Active","Feed Through","-","4","2","4.2mm","Screw","17.5A","400V","15A","300V","14-30 AWG","0.14-1.5mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3006043.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3006043.JPG,277-3250-ND,3006043,Phoenix Contact,CONN TERM BLK FEED THRU 4-22 AWG,903,1750,"8.38000","0","1","CLIPLINE UK","Active","Feed Through","-","2","1","12.2mm","Screw","76A","800V","85A","600V","4-22 AWG","2.5-25mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3209594.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3209594.jpg,277-2097-ND,3209594,Phoenix Contact,CONN TERM BLK GROUND 12-26AWG,1296,0,"9.21000","0","1","CLIPLINE PT","Active","Ground, Earth","-","4","1","5.2mm","Push In, Spring","-","-","-","-","12-26 AWG","0.14-4mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3214301.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3214301.JPG,277-2549-ND,3214301,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,274,3600,"9.23000","0","1","CLIPLINE UT","Active","Feed Through","-","6","3; 1 Grounded","5.2mm","Screw","20A","500V","-","-","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3031461.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3031461.jpg,277-3359-ND,3031461,Phoenix Contact,CONN TERM BLK GROUND 10-28AWG,624,6300,"10.09000","0","1","CLIPLINE ST","Active","Ground, Earth","-","4","1","6.2mm","Push In, Spring","-","-","-","-","10-28 AWG","0.08-6mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3210541.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3210541.jpg,277-4012-ND,3210541,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,492,3650,"10.20000","0","1","CLIPLINE PT","Active","Feed Through","-","6","3; 1 Grounded","5.2mm","Push In, Spring","20A","500V","20A","300V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1010200000.pdf,//media.digikey.com/photos/Weidmuller/1010200000.jpg,281-1493-ND,1010200000,Weidmüller,CONN TERM BLK GROUND 8-22 AWG,117,30400,"10.38000","0","1","W","Active","Ground, Earth","-","2","1","7.9mm","Screw","-","-","-","-","8-22 AWG","0.5-10mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3038545.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3038545.jpg,277-9566-ND,3038545,Phoenix Contact,CONN TERM BLK FEED THRU 12-28AWG,915,0,"10.41000","0","1","CLIPLINE STTB","Active","Feed Through","-","6","2; Connected","5.2mm","Push In, Spring","22A","500V","20A","600V","12-28 AWG","0.08-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0441504.pdf,//media.digikey.com/Photos/Phoenix%20Photos/0441504.jpg,277-1518-ND,0441504,Phoenix Contact,CONN TERM BLK GROUND 10-26AWG,2596,12400,"10.80000","0","1","CLIPLINE USLKG","Active","Ground, Earth","-","2","1","6.2mm","Screw","-","-","-","-","10-26 AWG","0.2-6mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1010100000.pdf,//media.digikey.com/photos/Weidmuller/1010100000.jpg,281-1492-ND,1010100000,Weidmüller,CONN TERM BLK GROUND 10-22AWG,853,25700,"10.45000","0","1","W","Active","Ground, Earth","-","2","1","6.1mm","Screw","-","-","-","-","10-22 AWG","0.5-6mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1036300000.pdf,//media.digikey.com/photos/Weidmuller/MFG_1036300000.jpg,281-3588-ND,1036300000,Weidmüller,CONN TERM BLK GROUND 12-30AWG,332,3600,"11.16000","0","1","W","Active","Ground, Earth","-","4","2","5.1mm","Screw","-","-","-","-","12-30 AWG","0.5-4mm²","-","Green, Yellow","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/1010300000.pdf,//media.digikey.com/photos/Weidmuller/1010300000.jpg,281-1494-ND,1010300000,Weidmüller,CONN TERM BLK GROUND 6-16 AWG,191,14000,"11.65000","0","1","W","Active","Ground, Earth","-","2","1","9.9mm","Screw","-","-","-","-","6-16 AWG","1.5-16mm²","-","Green, Yellow","-"
