Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Type","Inductance","Tolerance","DC Resistance (DCR)","Q @ Freq","Current Rating (Amps)","Current - Saturation","Frequency - Self Resonant","Operating Temperature","Size / Dimension"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr303050-12f5-id_en.pdf,//media.digikey.com/Photos/TDK%20Photos/WR303050-12F5-ID.JPG,445-174581-ND,WR303050-12F5-ID,TDK Corporation,RX 1 COIL 1 LYR 8.23UH,271,0,"8.43000","0","1","WR","Active","Receiver","1 Coil, 1 Layer","8.23µH","±5%","260mOhm","-","-","-","-","-","1.181"" L x 1.165"" W x 0.034"" H (30.00mm x 29.60mm x 0.86mm)"
https://katalog.we-online.de/pbs/datasheet/760308201.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760308201.jpg,732-4057-ND,760308201,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 10UH 4.5A,362,0,"8.58000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","10µH","±5%","200mOhm Max","50 @ 125kHz","3.5A","8A","15MHz","-20°C ~ 105°C","1.46"" L x 1.46"" W x 0.07"" H (37.0mm x 37.0mm x 1.8mm)"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WT525225-12F2-MA2-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WT525225-12F2-MA2-G.jpg,445-175301-ND,WT525225-12F2-MA2-G,TDK Corporation,"TX 1 COIL, 1 LYR 10.5UH",258,0,"9.08000","0","1","WT","Active","Transmitter","1 Coil, 1 Layer","10.5µH","-","60mOhm","-","-","-","-","-","2.05"" L x 2.05"" W x 0.15"" H (52.0mm x 52.0mm x 3.7mm)"
https://www.molex.com/pdm_docs/sd/1461794011_sd.pdf,//media.digikey.com/Photos/Molex/1461794011.JPG,WM15006-ND,1461794011,Molex,RX TX 2 COIL 1 LAYER 9.6UH 5.6UH,386,0,"9.60000","0","1","NuCurrent, PowerLife, 146179","Active","Receiver, Transmitter","2 Coil, 1 Layer","9.6µH, 5.6µH","±2%","550mOhm, 38mOhm","18 @ 200kHz, 160 @ 200kHz","-","-","-","-","1.063"" Dia x 0.146"" H (27.00mm x 3.70mm)"
https://katalog.we-online.de/pbs/datasheet/760308103206.pdf,//media.digikey.com/photos/Wurth%20Electronics%20Photos/MFG_760308103206.jpg,732-6211-ND,760308103206,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 7.5UH 1.55A,432,0,"9.86000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","7.5µH","±10%","340mOhm","16 @ 125kHz","1.55A","3A","23MHz","-20°C ~ 105°C","1.10"" L x 0.59"" W x 0.03"" H (28mm x 15.0mm x 0.7mm)"
https://katalog.we-online.de/pbs/datasheet/760308102207.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760308102207.jpg,732-6209-ND,760308102207,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 8UH 5A,288,0,"9.86000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","8µH","±10%","60mOhm","30 @ 125kHz","5A","10A","16MHz","-20°C ~ 105°C","1.57"" L x 1.57"" W x 0.05"" H (40mm x 40mm x 1.2mm)"
https://katalog.we-online.de/pbs/datasheet/760308101208.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_760308101208.jpg,732-6205-ND,760308101208,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 13UH 0.8A,303,0,"9.86000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","13µH","±10%","400mOhm","17 @ 125kHz","0.8A","2A","26MHz","-20°C ~ 105°C","0.39"" L x 0.39"" W x 0.07"" H (10.0mm x 10.0mm x 1.68mm)"
https://katalog.we-online.de/pbs/datasheet/760308101303.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760308101303.JPG,732-6207-ND,760308101303,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 47UH 1.5A,381,0,"11.40000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","47µH","±10%","460mOhm","25 @ 125kHz","1.5A","3A","8MHz","-20°C ~ 105°C","1.02"" L x 1.02"" W x 0.05"" H (26.0mm x 26.0mm x 1.3mm)"
https://katalog.we-online.de/pbs/datasheet/760308101105.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/760308101105.jpg,732-8236-ND,760308101105,Wurth Electronics Inc.,TX 1 COIL 1 LAYER 3.3UH 3A,150,0,"12.32000","0","1","WE-WPCC","Active","Transmitter","1 Coil, 1 Layer","3.3µH","±10%","80mOhm Max","30 @ 125kHz","3A","6A","20MHz","-20°C ~ 105°C","0.81"" Dia x 0.10"" H (20.5mm x 2.6mm)"
https://katalog.we-online.de/pbs/datasheet/760308100111.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_760308100111.jpg,732-5284-ND,760308100111,Wurth Electronics Inc.,TX 1 COIL 1 LAYER 6.3UH 13A,435,0,"12.76000","0","1","WE-WPCC","Active","Transmitter","1 Coil, 1 Layer","6.3µH","±10%","48mOhm Max","120 @ 125kHz","6A","10A","24MHz","-20°C ~ 105°C","1.97"" Dia x 0.19"" H (50.0mm x 4.7mm)"
