Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
https://katalog.we-online.de/pbs/datasheet/744025150.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2618-2-ND,744025150,Wurth Electronics Inc.,FIXED IND 15UH 720MA 400 MOHM,4950,0,"0.83000","0","550","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","15µH","±20%","720mA","900mA","Shielded","400mOhm Max","-","32MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025150.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2618-1-ND,744025150,Wurth Electronics Inc.,FIXED IND 15UH 720MA 400 MOHM,5246,0,"1.54000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","15µH","±20%","720mA","900mA","Shielded","400mOhm Max","-","32MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025150.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2618-6-ND,744025150,Wurth Electronics Inc.,FIXED IND 15UH 720MA 400 MOHM,5246,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","15µH","±20%","720mA","900mA","Shielded","400mOhm Max","-","32MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025004.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2615-2-ND,744025004,Wurth Electronics Inc.,FIXED IND 4.7UH 1.35A 120 MOHM,2750,0,"0.83000","0","550","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","4.7µH","±20%","1.35A","1.7A","Shielded","120mOhm Max","-","84MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025004.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2615-1-ND,744025004,Wurth Electronics Inc.,FIXED IND 4.7UH 1.35A 120 MOHM,2835,0,"1.54000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","4.7µH","±20%","1.35A","1.7A","Shielded","120mOhm Max","-","84MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744025004.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-TPC%202828%20Series.jpg,732-2615-6-ND,744025004,Wurth Electronics Inc.,FIXED IND 4.7UH 1.35A 120 MOHM,2835,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","4.7µH","±20%","1.35A","1.7A","Shielded","120mOhm Max","-","84MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744053100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744053221.jpg,732-1043-2-ND,744053100,Wurth Electronics Inc.,FIXED IND 10UH 1.5A 70 MOHM SMD,6000,0,"0.89000","0","400","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","10µH","±30%","1.5A","1.4A","Shielded","70mOhm Max","-","35MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","2323 (5858 Metric)","-","0.228"" L x 0.228"" W (5.80mm x 5.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744053100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744053221.jpg,732-1043-1-ND,744053100,Wurth Electronics Inc.,FIXED IND 10UH 1.5A 70 MOHM SMD,6130,0,"1.46000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","10µH","±30%","1.5A","1.4A","Shielded","70mOhm Max","-","35MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","2323 (5858 Metric)","-","0.228"" L x 0.228"" W (5.80mm x 5.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744053100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/744053221.jpg,732-1043-6-ND,744053100,Wurth Electronics Inc.,FIXED IND 10UH 1.5A 70 MOHM SMD,6130,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","10µH","±30%","1.5A","1.4A","Shielded","70mOhm Max","-","35MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","2323 (5858 Metric)","-","0.228"" L x 0.228"" W (5.80mm x 5.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/74438336022.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-MAPI-2-SMD.jpg,732-5696-2-ND,74438336022,Wurth Electronics Inc.,FIXED IND 2.2UH 2.4A 80 MOHM SMD,9000,0,"0.93000","0","1000","Tape & Reel (TR)","WE-MAPI","Active","Molded","Metal Composite","2.2µH","±20%","2.4A","4.3A","Shielded","80mOhm Max","-","42MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","2-SMD","3020","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","0.079"" (2.00mm)"
