Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Fuse Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Response Time","Applications","Features","Class","Approvals","Operating Temperature","Breaking Capacity @ Rated Voltage","Mounting Type","Package / Case","Size / Dimension"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F12025-ND,0HEV010.ZXPCBL,Littelfuse Inc.,FUSE CERAMIC 10A 450VDC 5AG,240,0,"17.16000","0","1","Bulk","LC HEV","Active","Cartridge","10A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","5AG, 10mm x 38.1mm w/PC Pins","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F12029-ND,0HEV015.ZXPCBL,Littelfuse Inc.,FUSE CERAMIC 15A 450VDC 5AG,240,0,"17.16000","0","1","Bulk","LC HEV","Active","Cartridge","15A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","5AG, 10mm x 38.1mm w/PC Pins","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_HEVxxx.ZXC.jpg,F12034-ND,0HEV040.ZXC,Littelfuse Inc.,FUSE CERAMIC 40A 425VDC 5AG,228,0,"19.24000","0","1","Bulk","LC HEV","Active","Cartridge","40A","-","425V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Holder","Cartridge, Non-Standard","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F11180-ND,0HEV030.ZXPCBL,Littelfuse Inc.,FUSE CERAMIC 30A 450VDC 5AG,277,0,"20.41000","0","1","Bulk","LC HEV","Active","Cartridge","30A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","5AG, 10mm x 38.1mm w/PC Pins","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F12032-ND,0HEV020.ZXPCBL,Littelfuse Inc.,FUSE CERAMIC 20A 450VDC 5AG,240,0,"20.41000","0","1","Bulk","LC HEV","Active","Cartridge","20A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","5AG, 10mm x 38.1mm w/PC Pins","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXBD.jpg,F12027-ND,0HEV015.ZXBD,Littelfuse Inc.,FUSE CERAMIC 15A 450VDC BOLT,240,0,"20.80000","0","1","Bulk","LC HEV","Active","Cartridge","15A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Bolt Mount","Cylindrical, Blade Terminal (Bolt)","0.469"" Dia x 2.559"" L (11.90mm x 65.00mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXBD.jpg,F12024-ND,0HEV010.ZXBD,Littelfuse Inc.,FUSE CERAMIC 10A 450VDC BOLT,230,0,"20.80000","0","1","Bulk","LC HEV","Active","Cartridge","10A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Bolt Mount","Cylindrical, Blade Terminal (Bolt)","0.469"" Dia x 2.559"" L (11.90mm x 65.00mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXBD.jpg,F12031-ND,0HEV020.ZXBD,Littelfuse Inc.,FUSE CERAMIC 20A 450VDC BOLT,238,0,"21.00000","0","1","Bulk","LC HEV","Active","Cartridge","20A","-","450V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Bolt Mount","Cylindrical, Blade Terminal (Bolt)","0.469"" Dia x 2.559"" L (11.90mm x 65.00mm)"
https://riedon.com/media/pdf/Class_T_Fuse.pdf,//media.digikey.com/Photos/Riedon%20Photos/MFG_JLLN.jpg,696-1824-ND,JLLN-110,Riedon,FUSE 300VAC CLASS T 110A CYLINDR,230,0,"22.26000","0","1","-","JLLN","Active","Cartridge","110A","300V","125V","Fast Blow","Electrical, Industrial","-","T","CSA, UL","-","200kA AC, 20kA DC","Bolt Mount","Cartridge, Non-Standard","1.062"" Dia x 0.830"" L (27.00mm x 21.10mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lc_highvoltage50a_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F11920-ND,0HEV050.ZXPCB2,Littelfuse Inc.,FUSE CERAMIC 50A 275VAC BRD MNT,240,0,"22.75000","0","1","Bulk","LC HEV","Active","Cartridge","50A","275V","-","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Holder","Cylindrical, Blade Terminals","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lowcurrenthevfuse_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F12035-ND,0HEV040.ZXPCBL,Littelfuse Inc.,FUSE CERAMIC 40A 425VDC 5AG,350,0,"23.01000","0","1","Bulk","LC HEV","Active","Cartridge","40A","-","425V","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","5AG, 10mm x 38.1mm w/PC Pins","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lc_highvoltage50a_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXPCBL.jpg,F12039-ND,0HEV050.ZXPCBL2,Littelfuse Inc.,FUSE - HEV LC 275VAC 50A PCB 3.9,350,0,"23.01000","0","1","-","LC HEV","Active","Cartridge","50A","275V","-","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","Radial Bend Cylinder","0.406"" Dia x 1.530"" L (10.31mm x 38.86mm)"
https://www.littelfuse.com/~/media/automotive/datasheets/fuses/passenger-car-and-commercial-vehicle/advanced-power-system-fuses/littelfuse_lc_highvoltage50a_datasheet.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/0HEV030.ZXBD.jpg,F12037-ND,0HEV050.ZXBD2,Littelfuse Inc.,FUSE CERAMIC 50A 275VAC BOLT,240,0,"24.15000","0","1","Bulk","LC HEV","Active","Cartridge","50A","275V","-","-","Lift Trucks","-","-","-","-40°C ~ 125°C","10kA","Through Hole","Radial","0.406"" Dia x 1.532"" L (10.30mm x 38.90mm)"
