Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Breaker Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Number of Poles","Actuator Type","Illumination","Illumination Voltage (Nominal)","Mounting Type","Approvals"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W51&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/W51-A122B1-10.JPG,PB677-ND,W51-A122B1-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC 50VDC,2039,0,"4.00000","0","1","W51","Active","Thermal","10A","250V","50V","1","Rocker","Red","-","Panel Mount","-"
https://www.carlingtech.com/sites/default/files/documents/CLB-Series_010213.pdf,//media.digikey.com/Photos/Carling%20Technologies%20Photos/CLB-153-11A3N-B-A.jpg,432-1264-ND,CLB-153-11A3N-B-A,Carling Technologies,CIR BRKR THRM 15A 250VAC 32VDC,197,0,"4.04000","0","1","CLB","Active","Thermal","15A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.e-t-a.com/fileadmin/user_upload/Ordnerstruktur/pdf-Data/Products/Schutzschalter_Sicherungsautomaten/Thermisch/2_eng/D_1658_ENG.pdf,//media.digikey.com/Photos/E-T-A%20Photos/1658-G21-01-P10-xxA.jpg,302-1264-ND,1658-G21-01-P10-15A,E-T-A,CIR BRKR THRM 15A 240VAC 28VDC,495,0,"5.39000","0","1","1658","Active","Thermal","15A","240V","28V","1","Push to Reset","-","-","Panel Mount","CSA C22.2 No 235, IEC 60934, UL1077, UL1500"
https://www.e-t-a.com/fileadmin/user_upload/Ordnerstruktur/pdf-Data/Products/Schutzschalter_Sicherungsautomaten/Thermisch/2_eng/D_1658_ENG.pdf,//media.digikey.com/Photos/E-T-A%20Photos/1658-G21-01-P10-10A.jpg,302-1261-ND,1658-G21-01-P10-10A,E-T-A,CIR BRKR THRM 10A 240VAC 28VDC,445,0,"5.39000","0","1","1658","Active","Thermal","10A","240V","28V","1","Push to Reset","-","-","Panel Mount","CSA C22.2 No 235, IEC 60934, UL1077, UL1500"
https://www.e-t-a.com/fileadmin/user_upload/Ordnerstruktur/pdf-Data/Products/Schutzschalter_Sicherungsautomaten/Thermisch/2_eng/D_1658_ENG.pdf,//media.digikey.com/Photos/E-T-A%20Photos/1658-G21-01-P10-xxA.jpg,302-1257-ND,1658-G21-01-P10-5A,E-T-A,CIR BRKR THRM 5A 240VAC 28VDC,334,0,"5.39000","0","1","1658","Active","Thermal","5A","240V","28V","1","Push to Reset","-","-","Panel Mount","CSA C22.2 No 235, IEC 60934, UL1077, UL1500"
https://www.e-t-a.com/fileadmin/user_upload/Ordnerstruktur/pdf-Data/Products/Schutzschalter_Sicherungsautomaten/Thermisch/2_eng/D_1658_ENG.pdf,//media.digikey.com/Photos/E-T-A%20Photos/1658-G21-01-P10-xxA.jpg,302-1266-ND,1658-G21-01-P10-20A,E-T-A,CIR BRKR THRM 20A 240VAC 28VDC,274,0,"5.63000","0","1","1658","Active","Thermal","20A","240V","28V","1","Push to Reset","-","-","Panel Mount","CSA C22.2 No 235, IEC 60934, UL1077, UL1500"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W58-XB1A4A-10.jpg,PB201-ND,W58-XB1A4A-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC 50VDC,1228,0,"6.00000","0","1","W58","Active","Thermal","10A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W58-XB1A4A%20SERIES.jpg,PB206-ND,W58-XB1A4A-30,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 30A 250VAC 50VDC,967,0,"6.00000","0","1","W58","Active","Thermal","30A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W58-XB1A4A%20SERIES.jpg,PB199-ND,W58-XB1A4A-7,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 7A 250VAC 50VDC,741,0,"6.00000","0","1","W58","Active","Thermal","7A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W58-XB1A4A%20SERIES.jpg,PB202-ND,W58-XB1A4A-12,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 12A 250VAC 50VDC,251,0,"6.00000","0","1","W58","Active","Thermal","12A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W58-XB1A4A%20SERIES.jpg,PB200-ND,W58-XB1A4A-8,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 8A 250VAC 50VDC,302,0,"6.00000","0","1","W58","Active","Thermal","8A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB1025-ND,W28-XT1A-1,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 1A 250VAC 32VDC,811,0,"6.38000","0","1","W28","Active","Thermal","1A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W58-XB1A4A%20SERIES.jpg,PB205-ND,W58-XB1A4A-25,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 25A 250VAC 50VDC,2508,0,"6.61000","0","1","W58","Active","Thermal","25A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W58&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W58-XB1A4A-20.jpg,PB204-ND,W58-XB1A4A-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 250VAC 50VDC,372,0,"6.61000","0","1","W58","Active","Thermal","20A","250V","50V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W28&DocType=DS&DocLang=English,"//media.digikey.com/photos/Tyco%20Potter%20Brumfield%20Photos/W28-XT1A,%20W28-XQ1A%20SERIES.jpg",PB180-ND,W28-XQ1A-0.25,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 250MA 250VAC 32VDC,7013,0,"7.01000","0","1","W28","Active","Thermal","250mA","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
