Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366MPDDB-1#TRMPBFDKR-ND,LTC4366MPDDB-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,420,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366MPTS8-2#TRMPBFTR-ND,LTC4366MPTS8-2#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,0,0,"9.88000","0","500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366MPTS8-2#TRMPBFCT-ND,LTC4366MPTS8-2#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,267,0,"19.96000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366MPTS8-2#TRMPBFDKR-ND,LTC4366MPTS8-2#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,267,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40854,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1668;MS;12.jpg,LT4363IMS-1#PBF-ND,LT4363IMS-1#PBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 12-MSOP,79,518,"6.91000","0","1","Tube","-","Active","27V Adj","External Switch","1","Automotive","Surface Mount","12-TSSOP (0.118"", 3.00mm Width)","12-MSOP"
http://www.linear.com/docs/52707,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4380HMS-3#PBF-ND,LTC4380HMS-3#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10MSOP,95,350,"7.60000","0","1","Tube","-","Active","Vcc + 13.5V","External Switch","1","Automotive","Surface Mount","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/52707,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC4380IMS-2#PBF-ND,LTC4380IMS-2#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10MSOP,34,350,"6.91000","0","1","Tube","-","Active","31.5V, 50V","External Switch","1","Automotive","Surface Mount","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/27756,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1610;S;16.jpg,LT4356MPS-3#PBF-ND,LT4356MPS-3#PBF,Linear Technology/Analog Devices,SURGE STOPPER SMD,57,0,"14.38000","0","1","Tube","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.linear.com/docs/40854,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1610;S;16.jpg,LT4363MPS-1#PBF-ND,LT4363MPS-1#PBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 16SOIC,42,2200,"18.03000","0","1","Tube","-","Active","27V Adj","External Switch","1","Automotive","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC"
http://www.linear.com/docs/52707,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1699;DD;10.jpg,LTC4380CDD-3#PBF-ND,LTC4380CDD-3#PBF,Linear Technology/Analog Devices,IC LOW CUR SURGE STOPPER 10DFN,68,0,"6.02000","0","1","Tube","-","Active","Vcc + 13.5V","External Switch","1","Automotive","Surface Mount","10-WFDFN Exposed Pad","10-DFN (3x3)"
